,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
15,"[-6178.447622289072, -8977.627963188315, -6887.466547097529, 0.4051661643045189, 5.011155310796002, 2.80486317628463, -6.023637670902712, -3.5660894572077284, 10.693988571578231, -6.270250961219439, -5.450123119840253, -10.395937284805008, 31239.828156002535, 79474.26148887668, -122335.07783648674]",0,0,
16,"[-4959.39281995114, 7012.864132715858, -6027.458170505109, 1.6683281968043893, 1.9308054027397608, 5.783235316425331, 9.163428808045463, 9.64126448686715, 2.004702114349815, 6.369800220023659, 2.3367878214761753, -0.6816249407511688, 70577.83476593014, -121930.11241639165, -219041.6706748353]","[array([-136.1663 ,   -3.38845, -101.26538]), array([136.1663 ,   3.38845, 101.26538])]","[array([349131.01938577, 951568.2721004 , 688875.8285337 ]), array([349131.01938577, 951568.2721004 , 688875.8285337 ])]",
17,"[-5018.770982458786, 284.3552886506932, -7085.382676766459, 0.46936718995583915, 4.036677460302483, 0.3988969245084941, -3.42991488673073, -5.180138922635338, 3.1380531897087725, -7.0324120571912365, -2.546619016297523, 2.1214769909172695, 30932.522994225466, -65246.61229541009, -20647.768357452296]",0,0,
18,"[-5942.946968921629, -7949.825403301363, -3772.614135338823, 5.998573090362835, 5.101773571813356, 1.404633346358937, 12.453600708073278, -6.314528622647949, -7.634439044638028, -1.555899101212809, -8.8063236438783, 7.873815828014855, 103485.33749283783, 144325.5738787736, -37460.57331683161]",0,0,
19,"[-4677.506307083685, 248.25731282473134, -7716.356291369226, 4.366117537544676, 1.756387533395241, 3.840523145943356, 6.966382050206292, 12.526632754467975, 5.582044599320147, 1.7183885117487208, 5.310786680680749, -12.509370812405393, 7260.741582596966, -116156.29933972041, -194619.23778184064]","[array([-264.4225 ,   -7.69342, -272.78202])]","[array([ 363868.31191765, 4756487.87326782, 3870311.04198337])]",
20,"[8591.85841712937, -2338.281512702869, -5882.496081432171, 5.043846085123206, 3.931207832241131, 4.315840840573145, -7.057201783080614, 6.320164942601133, -0.16846787396753626, -5.97306806543725, 6.773233628648857, -7.111930443917884, 42014.207209137996, -102876.44077927801, -345630.89153984404]",0,0,
21,"[-3545.629234295595, -5059.097239200139, 6458.6713914405955, 1.0273743987336246, 2.8297991509215046, 0.8925268740355694, -5.854225754113349, 7.464185697915379, 10.510700102124918, 0.11628355629548182, -1.959300224754518, -9.997834509983244, 24947.861360224982, -35482.381073553115, -235253.9262872113]",0,0,
22,"[8794.211389471726, -5281.153956266508, 2734.37174370506, 2.919364148795467, 4.940495486397692, 2.0288435967896463, 11.443177610229874, -5.942048106228693, 3.154747672450066, 6.095154465368076, -11.870721896337999, -4.394019149068891, -41437.00324691189, -120245.42623075104, -303448.98837964935]",0,0,
23,"[-4753.883405782284, -803.1765835056358, -3791.1735319481286, 3.2110928810269077, 4.051393135604323, 5.485258990806574, -8.896436085377685, -7.364847927436399, -0.08208181108775747, 8.467427590989324, -2.2737261982306247, -3.640432544804387, 4340.7095760085795, 54501.45096264113, -10629.92379228893]",0,0,
24,"[3277.1150275516065, 644.5896066318292, 4224.053678000346, 2.0972068617066104, 2.3326085497417592, 5.254329003897006, -11.279970783510155, -1.9353372901027326, 10.065252051205682, 3.127176452978235, 1.3140702463633893, -11.07248370961317, 123504.63476316974, 33265.095072837255, -54490.608785786666]",0,0,
25,"[3841.1688786094746, 3531.985199084551, 7501.505902122655, 1.5190223214266088, 3.187362612409615, 0.9253812362657817, 9.327990738233645, 1.4488833773666823, -2.2033046821481728, -8.207122315409155, 4.510000028758707, 6.514548386108206, 107079.78354457702, -68468.777528606, -7047.783116413397]","[array([-108.6636 ,   94.71796,   29.05393]), array([108.6636 , -94.71796, -29.05393])]","[array([399056.95963379, 149500.97592814, 262099.45729841]), array([399056.95963379, 149500.97592814, 262099.45729841])]",
26,"[-7388.693404381864, -3335.295104310667, -9087.16153304905, 4.793681968111712, 5.118525025749981, 2.407925926330438, 4.677503187597569, -5.091497653950982, 0.09705528903688965, -3.7605836023974177, 3.0250297520021743, 0.650109796713048, 88313.15568997886, -132866.33745468553, -195067.1610208213]","[array([ -91.28232,  -96.62017, -148.94974])]","[array([928406.8656484 , 444361.07572285, 308373.90270875])]",
27,"[5615.389124172116, 6999.910888409337, -4640.8347761152745, 2.2207450713086803, 1.762090540168278, 3.864333976609493, -2.4746489833471355, 11.59021033750312, 4.067650004566872, 7.483429450062104, -6.369413674956791, -2.219376560624843, 130307.58926900645, -111521.49190052529, -336475.3090811118]","[array([-162.14028,   13.63983, -135.38664]), array([162.14028, -13.63983, 135.38664])]","[array([1104712.59156402,  657980.00042064,  399345.22586337]), array([1104712.59156402,  657980.00042064,  399345.22586337])]",
28,"[-6737.525839774463, 8218.886737623616, -683.2368444157601, 3.161672100679622, 5.667504282801344, 4.804458717371243, -1.1807656552615207, 5.703115287107968, 9.113651440105254, 7.556392242606606, -2.8861946549257294, 6.727610415225104, 79659.04794168551, 10926.22657287246, -164731.07368003522]","[array([-66.44221,  51.00663, -54.17965]), array([ 66.44221, -51.00663,  54.17965])]","[array([382746.34894256, 254821.37702097, 228030.92598175]), array([382746.34894256, 254821.37702097, 228030.92598175])]",
29,"[-5268.5286760762765, -8644.760173047427, -3051.6880441538933, 0.36839819434133847, 3.198028728229884, 4.224602704416061, -11.61851161662516, 1.717015612286131, -3.55698540019253, -11.771501953388073, -10.65298701874046, -0.5300291321491315, 41299.66954719406, 112512.45794131543, -216078.26799050678]",0,0,
30,"[-2570.3525497901846, -4838.977709665699, 6205.343993902507, 1.9530415153187284, 5.819621405267576, 4.193034646134686, -6.270477059802263, -5.859974188427731, 7.429080130021912, -10.789588489022218, -10.241616976574168, -10.23625611786159, 15615.252094162628, 59214.7938717955, -392190.96034400177]",0,0,
31,"[6890.01074150416, 353.8789817340912, -8918.099183564267, 0.24944079346986234, 5.538127077078223, 2.7757211563629594, -12.101555050478444, 8.337569095033725, -6.9523701312596815, -4.922043285691557, -0.8446590617212149, -7.748938850309483, -139609.90896664903, 7185.593814760097, -313541.2536370103]",0,0,
32,"[-4062.893997709003, 6619.326454966365, 344.48510343113776, 3.2081008290335133, 3.207720426101809, 4.093844097936489, -2.9687864128743495, 9.798476629364359, -6.446409274636649, -11.40638030495855, 0.05066189880726668, -11.838037994598626, 34582.54524527959, 89293.57991851668, -205123.86211652818]",0,0,
33,"[7197.000362698585, -261.4403129349812, 2099.0461027703586, 4.513995365991195, 1.6329434644125183, 3.8318268036859826, 0.5871735687601696, 1.8566179200956405, -5.76587882754365, 9.412632905895435, -9.199416113783906, -10.068639776555695, -87034.8952527918, 115548.8756557242, -150652.79540729625]",0,0,
34,"[8646.252082646173, 5160.6350947393385, -1380.0630779396142, 0.6485325192629127, 1.350492469809989, 3.040251752738258, 5.032791468975738, 10.535864421548993, -6.525754959891752, 4.231971726742167, -1.371664524485297, 6.5101308213759275, 8863.853089365934, 68520.87045660283, -292808.09472076356]","[array([-286.25657,    7.17328, -190.5147 ]), array([286.25657,  -7.17328, 190.5147 ])]","[array([ 510367.45986943, 1431071.34607511, 2178243.14913369]), array([ 510367.45986943, 1431071.34607511, 2178243.14913369])]",
35,"[3317.9447496918438, -8919.64075335832, -4615.151292056145, 2.531862181203779, 4.1991332189843655, 0.3741286816054926, 10.940003526896604, 10.553968988872157, 1.8703078005505258, -1.1526808644578619, 3.9906273638924397, 0.04357068248903673, -83178.55177088537, 139280.3206502311, -275330.6391961768]","[array([-148.53093,    9.90295, -235.48855]), array([148.53093,  -9.90295, 235.48855])]","[array([2084199.01249527,  861502.34330973,  345386.97562693]), array([2084199.01249527,  861502.34330973,  345386.97562693])]",
36,"[-403.24948812883486, -5387.435251560549, -4542.851678810162, 5.394215846041346, 4.863026454668006, 0.7107628833720967, 9.606198467256046, 1.6661423169724774, 12.217166566380374, -11.713266139541835, 2.860266240959591, -7.632698400455034, -117670.82322704566, 50589.92524786966, -135229.73043989576]","[array([-88.7489 , -68.80577, -62.92102])]","[array([632348.74192111, 273095.4190518 ,  69178.86735236])]",
37,"[-6925.936109605664, -3634.1298882934207, -3866.321820911172, 5.146092919075805, 3.5045102590192916, 2.6814040497336222, 5.655339931704074, 6.426491929776576, 12.16237202282504, 10.88830704801111, -3.997160214406968, -8.288752511108541, -85847.35786077261, 112402.23598417937, -10653.070290570147]","[array([-21.45244, -77.84595,  79.06124]), array([ 21.45244,  77.84595, -79.06124])]","[array([192814.0934293 , 310685.15963448, 337287.56887657]), array([192814.0934293 , 310685.15963448, 337287.56887657])]",
38,"[625.3849991561947, 1553.1902000009995, -5376.437560807556, 5.473199053259706, 1.281555710172186, 0.9115599422413064, -0.10881778339912884, 9.065564005773346, 7.113161323545583, 7.435436003886057, -6.358273179379066, 5.7607050502600075, 131458.99617552565, 43060.698132349586, -362942.93873326946]","[array([ -86.46211,   76.89293, -120.41011]), array([ 86.46211, -76.89293, 120.41011])]","[array([1007281.33224148,  359510.00193719,  252605.44667041]), array([1007281.33224148,  359510.00193719,  252605.44667041])]",
39,"[-4892.655170011269, -2367.5529049605684, 7875.019290233671, 4.158308339858357, 3.4484874225349578, 4.997191484817171, -7.979495156979509, 4.14050832859429, -2.1904519808633705, -5.607669976091704, -5.931957457802931, -3.3454667135868057, -113605.55472325743, -12944.040534969914, -184899.38385635076]",0,0,
40,"[1338.1202434516, 3704.9092852521753, -8649.971335393815, 2.2575000030518484, 5.6379703076506384, 4.801151046555191, 11.145825716231023, -3.847997667343507, 2.209200590136886, 2.411329236810813, 4.345809132629192, -4.558802567739264, 72331.89609172806, -16846.714458691014, -80234.44956409797]","[array([-105.80716,   20.03266,  -83.18844]), array([105.80716, -20.03266,  83.18844])]","[array([141722.841076  , 490431.48791983, 340784.20314013]), array([141722.841076  , 490431.48791983, 340784.20314013])]",
41,"[2914.6749258734, -8687.290666051575, 9016.449679710491, 0.8312018796356784, 2.05775467903788, 1.5680833943467063, -10.08496931067567, 2.0943746141139012, 0.22902678692197753, 10.851524657186502, 6.312399099038252, -0.802815833594428, 52403.83036260656, 112619.19346225349, -157069.38865246577]","[array([-241.27417,   43.21937, -204.56571]), array([241.27417, -43.21937, 204.56571])]","[array([ 326764.93486784,  733489.20813789, 1059752.39410947]), array([ 326764.93486784,  733489.20813789, 1059752.39410947])]",
42,"[402.79366461406244, 6670.419514750258, 9758.011551499818, 0.7800549741135561, 0.9098531316418943, 4.853852972483027, 2.188474975422242, 9.8529711713493, -1.174944812294144, -8.11425457654697, -2.032033884111481, -7.832279119568892, 69040.12389728127, -7666.920824430039, -378505.8512724893]",0,0,
43,"[9618.551502094822, -193.32393372824663, -2909.3850816509303, 1.1274123495067987, 0.46974807459434087, 2.471868203315643, -4.029690236654579, 0.11498374996369165, 9.398403214502999, 7.593683680214976, 6.260261272380681, -6.471619168769661, 130375.74727492174, 101135.5313541111, -232907.24301631792]","[array([-163.77489,   86.76748, -118.19881]), array([163.77489, -86.76748, 118.19881])]","[array([308603.00697131, 503913.82797115, 751946.36836787]), array([308603.00697131, 503913.82797115, 751946.36836787])]",
44,"[7793.505326105431, -7811.516846095379, 1923.6105236528365, 2.645262542124608, 0.5597131530792019, 2.192472883513701, 3.8291367605756577, 10.07577565389797, -7.322100711682857, -1.9845582488068896, -1.7292031212373242, 4.586123226516502, -141687.18146970912, 93173.57297325443, -92607.79353232565]","[array([-155.61057,  -14.35377, -157.00309]), array([-106.8572 , -148.62228,   13.00456]), array([106.8572 , 148.62228, -13.00456]), array([155.61057,  14.35377, 157.00309])]","[array([1015718.16792821,  195877.16201483,  440790.80443992]), array([469860.04445854, 272255.94299853, 201096.49671812]), array([469860.04445854, 272255.94299853, 201096.49671812]), array([1015718.16792821,  195877.16201483,  440790.80443992])]",
45,"[8966.635761834197, -754.2266707863528, 1796.2015126964834, 1.5856631169774864, 5.618306090902582, 0.25274760775708105, 3.080394688737581, -6.872587459649043, 11.920777783540757, 8.807472242123424, 0.7047978776258734, 3.8347880261950884, 42504.7981508901, 125585.33677542413, -51342.22147010238]",0,0,
46,"[-1231.4396570394238, -2207.580116274279, 3057.9311945446807, 4.404433925336418, 3.2629213330911924, 5.282880116466161, -10.794784017215466, 9.794832826934037, -1.6550978206206457, 6.637859124308015, 4.963812998125949, -11.850226262358094, -133980.3393526308, -104175.41456689365, -387561.1108124314]",0,0,
47,"[-3711.8751434493324, -254.21050188100344, -5626.183851767621, 3.4472999992544717, 0.17771432242256527, 1.0862200974159655, 4.225557892330656, 5.60037394991371, 5.088503438906589, 8.812752310032156, -4.125631682235506, -0.9942154791114248, -59369.486568674634, -33908.99632330984, -215767.80306676845]","[array([ -97.74221,  -34.05223, -131.96282])]","[array([617218.34260984, 261370.10075418, 320235.11014279])]",
48,"[7862.600046794105, 2622.4111020237797, 3107.111748653053, 1.4620617887451104, 0.5459255114621688, 5.45312802277035, 9.849123257848152, 4.579079994438093, -4.81739409627785, -2.6405090345758175, 0.38848721564405686, 7.979591708466689, 129375.82132799632, 49123.24756795776, -66294.9348052161]","[array([-90.93246,  89.64919, -54.61886]), array([ 90.93246, -89.64919,  54.61886])]","[array([111080.28386349, 309379.96409243, 361025.23192547]), array([111080.28386349, 309379.96409243, 361025.23192547])]",
49,"[-6533.332330436452, 3829.935680654331, 7825.266395012342, 0.6744159501064478, 2.13231344679671, 1.8324922885177386, 3.385956421061632, -6.1256482272746435, 0.49038896826707834, -6.586476053274706, -8.499080554105484, 7.9514960419508895, -70226.54738157413, 134610.06308676233, -60377.49990516552]",0,0,
50,"[-351.03041171176847, 1058.6325939642666, -2054.0940676556693, 0.3943900870331972, 4.477910473415533, 2.345867702882294, 8.574173061126722, -4.126883781320982, 10.181359152242113, -8.58032225442844, -10.623794010282252, -2.409434705957164, -53326.2407962148, 11031.420938423777, -170605.63035525978]",0,0,
51,"[-3891.253361852054, 4374.001857782481, -1077.2254525054614, 2.5801012505691436, 0.9927293580750827, 2.2582095187927043, -2.654892927347774, 4.346986363919385, -6.672437424305884, 9.175915649837055, -7.6057476810628915, -6.739692861147635, -105415.76682718143, -91431.45621951306, -381938.80304235534]",0,0,
52,"[-8555.959900181344, 9062.01566973349, 587.2406319506317, 5.29110040489467, 4.175437510183549, 4.510404450265047, 9.470015926424786, 2.114356289643439, 6.85393701171726, -3.5909262202114416, 0.9444993977756422, 0.29290463844550985, -20624.060956156274, 66880.23837873543, -298778.752990808]","[array([-87.29339,  32.23425, -98.11761]), array([ 87.29339, -32.23425,  98.11761])]","[array([166145.97934948, 711085.38342775, 591128.55808644]), array([166145.97934948, 711085.38342775, 591128.55808644])]",
53,"[2406.855234721068, -7190.263749855183, 3833.175766366823, 2.2830803528242036, 2.6522046792566045, 5.521689757275392, 1.7306941283311694, 11.01377774465363, -3.5419187670423664, -12.150728731373363, 3.8747005772814695, -12.475951479816496, 96832.06153156687, -126362.092983863, -133844.79230441275]",0,0,
54,"[536.6157904353131, -7009.134042328351, 5190.179016028065, 4.349024718106989, 2.5619953915162097, 4.7945221183176905, 1.6524031985110685, -3.9459569964999526, 1.4744439061067975, -5.4631925719838605, -0.2760126938419081, 2.59354585199317, 21527.782499772613, 144936.3607141383, -27901.157135262678]","[array([-102.38319,  194.69065, -152.90547]), array([ 102.38319, -194.69065,  152.90547])]","[array([1768451.5249659 ,  245229.23364153,  435663.76590211]), array([1768451.5249659 ,  245229.23364153,  435663.76590211])]",
55,"[-4687.519642116054, -1690.4419942879613, -3188.819742608266, 1.778676369812397, 4.256135621439092, 0.30662155222869203, -0.6678850084898826, 8.891971837473534, 5.553397669209851, -10.563340116774835, -5.910991975922005, -7.107760139263909, -35467.96301777114, 74623.66588057033, -203157.27432804374]",0,0,
56,"[7454.20583153961, 7394.92255261368, -7939.548617574006, 1.9549595290350363, 5.309844371170914, 5.084745387154198, -5.5676567711393865, 0.5256175555170355, 3.9624565240457823, -7.709693359300069, 3.0665417639819363, 1.3828670388116588, -89929.15742501034, -127642.24256977138, -381313.4134286387]",0,0,
57,"[-4881.994980894313, 5556.1105144086905, 8835.521018177336, 5.027303899739296, 4.1994670729038654, 1.5225031774641065, -4.740230126945157, 5.037345736852691, -5.730201659454897, -0.1620109131686558, 5.779704477246227, 1.569454602459091, 51438.62291453741, -68331.25126006603, -308466.81607132667]","[array([-291.66511,   -4.73386, -395.64492]), array([291.66511,   4.73386, 395.64492])]","[array([5373228.75520035,  600265.84883214, 2542701.03700009]), array([5373228.75520035,  600265.84883214, 2542701.03700009])]",
58,"[-1361.964247547674, -1149.1639172049054, -1328.6315511581925, 3.474826716889171, 5.988249675423265, 1.7087232027045856, 7.243712023412751, -5.328019502950814, 2.6931150816142626, 10.723187352365688, -2.449419886117978, -11.59314719574417, 139434.53527512104, -51854.99645575475, -319656.7864563038]",0,0,
59,"[596.8303851708151, -481.48119283579035, -2124.409657718189, 1.3268116770163625, 5.489390584678827, 0.2870339218045216, -11.890694055002644, -1.3167101397407368, -6.005347174263053, -4.3036294907171495, -5.205309577641734, -0.10739375582741673, -93169.89490359252, 90635.23077558025, -261169.2471090493]",0,0,
60,"[9792.508530843388, 3074.9137446423083, -9238.401923553547, 2.9078343591304208, 1.070168543558198, 5.691893508192556, -0.03468096875855231, 6.359636383763245, -5.3251466572767026, 8.798205616571458, -9.218396592785709, 2.9094644897951927, -59489.43923914329, -67300.55030352426, -396301.9367457722]","[array([-203.04441,  -42.66794, -172.19578])]","[array([2389382.0370097 ,  832175.81066836,  490526.92447069])]",
61,"[6868.836539419248, -5196.954091918613, -2985.439712832789, 4.608231366491698, 3.314628039835363, 5.396088750066154, 10.447791997986222, -6.068942691265893, 0.08444953952386314, -10.250048784761429, -3.5580262134373903, -0.46518585600307283, -146659.35732453412, 145925.87372866465, -324605.08193586755]",0,0,
62,"[-3688.90236536632, -97.93801494365471, -3805.6728897720295, 1.4892152446026024, 4.698708258733131, 2.9446434442088387, -6.433652524349242, -4.842570531686179, -0.9642219299365058, -0.6240697855092137, 0.7980743921407267, 0.4651939796795439, -77667.37308251223, 54504.55266560844, -373464.1317589833]",0,0,
63,"[-909.7691862870797, -6477.161679550487, -1586.206140432474, 5.111091843562045, 0.9855747840831004, 1.7519631499100374, -12.191538795851772, -0.26256425118272286, -4.8571944657765656, 7.33474745785616, -10.414474240966875, -6.711916378392577, -75727.80116077686, -53308.290641384505, -197034.71262624045]",0,0,
64,"[2255.626044300525, -9904.097920636026, 9026.380474359681, 2.3843940809482533, 3.880846649603688, 0.13373760042237742, 11.708773070185597, 2.4080238060133716, -2.3961036272592358, -2.680003507702814, -4.821970194975758, -6.963911977218102, -49323.60453811752, 48441.99607364027, -250533.2412365061]",0,0,
65,"[-8955.07045984811, 5682.365188856238, -7953.706819128086, 3.6910707308958575, 3.102021232879809, 1.979031373940653, 11.88156564988557, 11.87675871458752, -4.3703621126049566, 4.0990982385233465, -11.60001054329576, 0.500764480991938, -103987.85407512, 18162.52165716121, -241059.68327898724]","[array([-250.04451,  -10.17154, -291.76298])]","[array([ 440486.52995847, 3243956.51442998, 2038844.7375527 ])]",
66,"[-6914.614943291601, 6640.296344463979, 1812.8326325793914, 5.391143078857396, 2.07965115240505, 3.1443965764247928, 7.493264210595942, 1.3883396162311143, 6.107404413167149, 7.900993070573335, 6.134165882186672, 1.916087144739718, -44561.526932478344, 15525.263661489123, -258379.5843115812]","[array([-81.72335,  -6.5189 , -95.74427])]","[array([595381.63666559, 458538.18253943, 321796.36673305])]",
67,"[-1753.3435404375214, -9768.946550751298, 4297.098769559318, 2.6054101608918505, 1.4006124578135415, 1.3742097860289157, 5.276026253403085, 9.324809756850303, -1.9351630000565958, 10.579053382043647, 4.308248080748527, -6.6794460341280555, 19901.42686105662, 40245.0818927091, -28910.66659044713]",0,0,
68,"[9366.935449319975, 8667.290676946068, 1300.228885538274, 4.877492644797659, 3.353285358012391, 2.973764852654923, -1.0608243070350074, 0.010042627512509839, -0.7728345340526293, -3.778031074120303, -8.082517135469418, 0.13001242036672167, 123532.79995441559, 90838.97585882549, -156774.23743996758]",0,0,
69,"[-5542.596402271316, 2938.2376386339693, 1543.641805028814, 4.597610977227226, 5.48284821346381, 4.940076646013247, -6.73102473741225, 11.851774878117975, 3.152603968342545, 0.5891163381556215, -5.776856056418449, 4.57997438426349, -38952.536755065186, 62829.17902384416, -312346.50811493455]","[array([-95.86273,  49.63499, -95.09545]), array([ 95.86273, -49.63499,  95.09545])]","[array([136917.67486185, 623244.91423421, 725775.13338957]), array([136917.67486185, 623244.91423421, 725775.13338957])]",
70,"[-2347.863303231863, 1179.304455516527, -8223.932028478854, 0.2627426745274867, 1.2592599108972644, 4.188468226320895, 1.3794777131186837, -6.250518872174705, 12.511014427438482, 10.793671463135624, -7.761680753181327, 2.6528958653599837, 6123.386905815685, -39174.11428223815, -264717.37221556855]","[array([-118.35131,   -7.53643,  -62.58785]), array([118.35131,   7.53643,  62.58785])]","[array([705107.79324053,  74260.39301682, 255961.09632847]), array([705107.79324053,  74260.39301682, 255961.09632847])]",
71,"[9130.784621704559, 1486.0094296610878, -9881.765656425976, 0.6875853852821452, 1.1329090832056528, 0.17206010185596862, -5.228493432694602, 3.535076935199136, -4.011362772254392, 7.532197054292929, 2.178427582490148, -3.724897218779157, 140348.66563256894, 125208.92112632038, -107019.3909229337]",0,0,
72,"[-5511.833369885088, 60.03301875845682, 6079.974293549156, 3.442409516490172, 2.2467256322393516, 1.6125448128725024, -0.5256942788204491, -3.71865749313479, 9.931392814431891, -5.603138839704777, -1.6985109058655503, 2.302395747639782, 111068.96746942122, 96028.28882717207, -158839.32115431325]",0,0,
