,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[6315.42633485799, 5104.777282433561, 883.404445050468, 2.6971706166748737, 4.391380175108094, 2.3080314113230926, -1.0470199072414719, -1.7938097999718208, -6.347493413457827, -8.322574928204556, 7.557897359124478, 2.919402507392542, -93998.22512889029, -126877.41596643813, -207805.6122301655]",0,0,Time Taken
1,"[6100.448893307415, 2705.6685433238854, 8039.445819838114, 1.0240765626391262, 4.952169835549514, 0.8269662474059223, 10.149013995662624, 0.758569746622646, 6.851284753964512, -5.632672884946367, -0.12804115247469916, -8.099406432528964, 27905.853227036103, 9863.450582737976, -183006.80993981037]","[array([-396.82451,    9.27196, -419.5837 ]), array([396.82451,  -9.27196, 419.5837 ])]","[array([ 393677.63010681, 2429033.7770891 , 1643613.03437507]), array([ 393677.63010681, 2429033.7770891 , 1643613.03437507])]",5006.538
2,"[1281.6578354364865, 5315.262363215406, 239.55912012330919, 2.9068652486799507, 0.6757172099178864, 2.9115934202104565, -1.426064982950077, 8.237508379039035, 10.88985602093475, 11.58543553497788, 0.5145193441833236, -2.3939802650434245, 147020.74904939556, -72591.0586180341, -187474.88876070356]","[array([-90.91242,  35.23454, -67.46953]), array([ 90.91242, -35.23454,  67.46953])]","[array([121208.07743874, 390229.02576209, 444668.8981251 ]), array([121208.07743874, 390229.02576209, 444668.8981251 ])]",
3,"[-3268.0107469122286, -5930.503237446943, 4057.2565334340434, 2.540156331313956, 0.15492457601812767, 5.1746091169987345, -0.18315187793472631, 7.020672471944575, -4.754922340050585, 8.690721993595705, -8.69315493145958, -6.81058807896275, -111137.82050199987, 46789.3923680062, -185308.38940701465]","[array([  -4.35579, -585.83156,  247.13658]), array([   4.35579,  585.83156, -247.13658])]","[array([4446995.06736662, 3021416.84619898,   47460.18948744]), array([4446995.06736662, 3021416.84619898,   47460.18948744])]",
4,"[-7258.42043718937, -9613.867400573065, -3376.9624191919265, 3.988636331534272, 1.5758180504977057, 1.094802223480066, -11.024326284669245, 7.838981701966279, -1.7352086635620942, -2.751717178073193, 6.165328722480144, -0.22972225465869833, 85258.08488987299, 55893.69091971018, -131127.76348672196]",0,0,
5,"[6612.83538205842, -9366.847692089636, 627.4569358379158, 0.37088770777416136, 3.5732956109111527, 5.3427375831765085, -5.837129034758445, -2.0545963146336446, 9.62771609480231, 4.596710301743176, 0.7080119718933329, 1.316604055331533, 10951.595459863194, 23530.08537331407, -67265.19839389552]","[array([-134.50304,   64.96918,  -26.5448 ]), array([134.50304, -64.96918,  26.5448 ])]","[array([456168.3438574 ,  33350.86801095, 164214.95139624]), array([456168.3438574 ,  33350.86801095, 164214.95139624])]",
6,"[-8482.131301276355, 5073.834006272415, -4154.746956502595, 5.118676743596736, 3.807449538545541, 3.115088275067199, -5.2491319388327256, 2.726534743159034, 11.383439232380024, 6.800871566553301, -2.3774274235786432, -4.56241133602648, -139660.31867828264, 80299.7696303364, -29255.748495350534]","[array([-67.42908, -94.85909,  51.48101]), array([ 67.42908,  94.85909, -51.48101])]","[array([542583.48340101, 298609.10156032, 111755.76501284]), array([542583.48340101, 298609.10156032, 111755.76501284])]",
7,"[8374.681070591898, 9044.3040475395, -3275.670962772999, 2.5410667170485617, 4.012222338312718, 1.453616336248343, 2.2533228273280965, 2.0531913924121863, -1.1287995456208044, 4.010596907902183, 0.3399663345425683, -3.659915127814566, -66704.29671596494, 62004.23239319201, -370518.72067820566]",0,0,
8,"[9312.091098334986, 8750.182610002354, 6924.149833313255, 5.115878089751742, 1.1584877526572634, 0.6770478449176223, 5.761195223350171, 2.944425934878616, 10.21475725658242, -11.140019133231757, -11.17481306673617, -10.817698627537107, 116693.07172843593, 67889.4185500954, -399549.7583793384]",0,0,
9,"[-8885.620652356532, -2425.242326325756, -227.29068288704002, 3.1132914155140154, 2.822388133294992, 4.408258780864334, -2.4650437291938125, 5.517497186977616, -2.6556028733159343, 11.589201875990902, -4.614465598448723, 1.628988749167597, 55611.01535618966, -82419.41583782504, -110945.06243992975]","[array([-88.17945, -14.77092, -88.7893 ]), array([88.17945, 14.77092, 88.7893 ])]","[array([542323.6619248 , 213131.62433519, 110889.47631797]), array([542323.6619248 , 213131.62433519, 110889.47631797])]",
10,"[8382.703369658124, -9778.538545139545, -6036.622759856882, 2.5601357168329337, 4.387849813900455, 3.901124219254866, 11.022262213347027, -6.259624663107166, -7.914001316723927, 1.4608802134083057, -0.5639887766821392, 0.4352423542874764, -5400.604626597982, -24910.656242186553, -345117.3627460201]",0,0,
11,"[831.9707789957756, -3646.432570887324, -4069.456946444403, 3.054656645746951, 5.984041511387908, 2.8327631343374273, 2.199523897650696, -0.41380731191772924, 7.935353433361906, -11.661133806658146, 2.6194039393809376, 1.6919275115058294, 26145.71649310339, 60497.824092026305, -233161.3742948045]",0,0,
12,"[2359.2198229657297, -705.723566422681, 4545.662022024413, 0.5384455880550532, 2.6350503977938877, 0.7974201656827506, 0.348066845849921, -2.962878702569599, 5.217582257670793, -3.9240967249954632, 4.462352522171596, -2.5565174833703885, 62425.4776672358, -102393.64323595713, -80164.26375993458]","[array([ -98.37544,  -94.75388, -136.54492])]","[array([ 54053.53093638, 325428.97972282, 233104.6882512 ])]",
13,"[-3243.9357214521624, 6108.77788815452, 88.7089366461496, 4.419626054469167, 5.25030479551891, 2.781823392096305, -7.2469322747843385, -5.660024028485623, 10.755284660449892, 2.48228125347479, 2.9989815904525248, -7.572496457865452, -36835.62527882196, 148396.8571845377, -324684.94642883947]","[array([-148.06088,  160.79558, -186.00331]), array([ 148.06088, -160.79558,  186.00331])]","[array([1826333.84611486, 1123303.60995605,  573756.01038691]), array([1826333.84611486, 1123303.60995605,  573756.01038691])]",
14,"[5692.496777320202, 6942.897634462148, 2335.2674740432503, 3.1627913413512796, 4.389610070989966, 5.3250921690984505, -5.554102014448319, 5.899160874861506, 2.2242495109697824, 2.1637640301122634, 2.5256518993329866, 4.54716499007316, 7860.796974656638, -119460.79527895819, -308118.2075985397]","[array([-116.57069,  -73.41739,  -95.88992])]","[array([273142.93091505, 623967.14751702, 885793.67729877])]",
