,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
18,"[764.7164339264018, 5153.04328061321, -7873.5252181966225, 3.2817700445099662, 3.5773176754209404, 2.724451342982341, 10.73393453325043, -5.661720968861259, 9.658265762843314, 1.7083392020155603, -8.984433243972182, -0.6117088560175521, 121883.02396613464, -31847.52551036216, -55046.52624349424]",0,0,
19,"[-8229.086724230654, 6049.308258103545, -7621.857948393012, 2.6837647280907255, 1.5422283387422324, 3.162448335146445, -4.792406030237849, 8.913816310553738, 1.6023070468267058, -5.684476102472063, 3.3470497999736644, 5.5185454153419435, -26216.638449676975, -137673.95584537825, -42458.50096096512]",0,0,
20,"[2486.708680960368, 3245.864524944136, -4881.998521288618, 4.580894189548886, 2.2216555208597106, 3.5611509112379824, -9.242144060530487, 11.524205082822125, 7.611580017890676, -2.0252634149449307, 0.44234088008940375, -7.327307407777315, -149572.7632893611, 72346.45405833455, -173165.0316246227]",0,0,
21,"[5514.3514489375975, -6724.843201313375, -7245.869618949093, 4.414947398905835, 1.5379969186997267, 0.5725712277317784, 4.546007621236374, 2.7433926943291027, -6.397252264740031, -1.901502099695307, 5.415587289055846, 1.466312606680356, -101518.37630160211, 65019.41622207887, -294672.81366048136]",0,0,
22,"[663.4511924263461, 86.25438566134653, 5579.003959567201, 4.0405627643036945, 4.331506046110881, 2.1766739181993864, -10.944691184946223, 3.1185619369923465, -2.921188604309693, 7.056579013394593, -5.959965646205764, -11.423520679732547, -88588.71576484179, -53812.48246710305, -301952.5063961164]",0,0,
23,"[-8450.918904346452, 7163.006318417843, 8908.420919876415, 1.8001854655962835, 4.9818268669839165, 3.6139327737743168, -10.304708895536985, 7.971381691903934, 8.5016206230191, 12.31441532469708, 1.775494138823726, -0.8562139691376469, -133274.1975124207, 25883.57342931183, -332600.041088968]","[array([-131.81517,  -51.34807,  -97.41021]), array([131.81517,  51.34807,  97.41021])]","[array([251588.58426604, 579042.06261544, 826172.23405268]), array([251588.58426604, 579042.06261544, 826172.23405268])]",
24,"[5414.971272368115, 5149.85147089075, -950.2433260872076, 2.4022567013990628, 2.094409538609635, 4.617703955150286, 10.012036956694963, 5.146939130847693, -5.921323669085661, -9.646151271334146, 0.8653486328923705, -9.964584663334698, -137980.30531080088, 2861.964736245951, -283758.4968150328]",0,0,
25,"[2288.965271765699, 8791.504921435284, 708.3218275140698, 4.169952452683987, 3.907557095645266, 3.67437317389705, -8.018827184105469, 9.219835976340136, 7.4896166700697915, -9.319404457628501, 3.561863413634587, -7.845581283474348, 114158.94573546649, -43464.26679368132, -289072.10756599926]",0,0,
26,"[979.0120645567604, -3373.820796641451, -7113.188037560716, 4.850937507954812, 5.301786742887892, 0.8285447694926836, 3.34956439291326, 11.79830668485631, 2.0100937260178604, -7.8807013783018744, 3.2061745498927596, 7.653987476481497, -137656.9684565746, 25118.960879416845, -198946.24120943475]","[array([-115.07224, -102.6796 ,  -34.40293]), array([115.07224, 102.6796 ,  34.40293])]","[array([1079664.92807966,  586361.96741678,  221508.77198002]), array([1079664.92807966,  586361.96741678,  221508.77198002])]",
27,"[9156.587330058628, 9808.06750498509, -1006.5951326167815, 2.666943042063714, 3.5127784430761575, 3.8058429452858418, -6.815996230795995, 0.5944373203077475, -4.832986929602868, 5.606377819369694, -6.695081226676464, -8.464651462870673, 129888.46017972985, 3018.959119020088, -303968.5410467369]",0,0,
