,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[2732.740668827146, -5670.703029652817, -4178.347334111397, 1.1653872735675677, 4.969177042131274, 5.103682063651704, -10.573818481055051, -7.584886530026643, 10.305710311209317, 6.2274610812518, -7.004410467628015, -4.41147048780654, -63371.10514735621, -37510.512397289596, -60440.93659642438]",0,0,Time Taken
1,"[-3252.77622767099, -21.644100112533124, 3830.1788108655055, 5.073455934849349, 2.782880227414738, 4.596092740668792, -9.548157024615863, -4.980433680389753, 7.0386282525373804, -4.837175212714309, -6.348617760038391, -5.751022724223166, -46152.23653084233, 53627.47107186602, -97676.12952900853]",0,0,5082.292369127274
2,"[-2785.29669725603, -8551.566597094848, -5985.301072191644, 1.8538381635615668, 0.23033505756989117, 1.3656095722022825, 8.441020553542792, 10.790266116105098, -4.862776689141006, 7.883787991068083, -4.20923843744092, -3.4776508867564573, 75370.98153473213, -79636.9740186873, -54957.49880811805]","[array([-18.59203,  79.71393,  51.15043]), array([ 18.59203, -79.71393, -51.15043])]","[array([195437.99799675, 127411.73969285,  67337.85763693]), array([195437.99799675, 127411.73969285,  67337.85763693])]",
3,"[-4905.66476310762, -7779.932564564209, 1459.3128148662709, 3.410200821154565, 3.4928387759713777, 1.051128604912116, -3.6659074419592628, 11.929187946333055, 12.093973614190524, 0.010049861361160595, 3.924409244469441, 6.17781820340106, 136439.06224754464, 42507.481394068804, -155245.02011238408]","[array([-139.70403,  136.27463,  -21.1228 ]), array([ 139.70403, -136.27463,   21.1228 ])]","[array([ 242994.16479668, 1080396.43465731, 1335777.24120176]), array([ 242994.16479668, 1080396.43465731, 1335777.24120176])]",
4,"[-3018.8741390698606, 9286.05375070772, 9601.517931830975, 3.7840862702099605, 4.453629994313799, 0.848667080633915, -3.101748664341045, 8.871991720724395, -5.334755847702414, -4.523922296048836, 0.3912916140084981, 6.9533014804961475, 111394.13144117757, 32793.30085924457, -248984.44548023926]","[array([-323.47077,  308.99249,  -43.28613]), array([ 323.47077, -308.99249,   43.28613])]","[array([6620589.49054857,  229747.4187055 , 2087296.54104918]), array([6620589.49054857,  229747.4187055 , 2087296.54104918])]",
5,"[3474.1926273262598, 1922.5458529719544, 4985.5067209935005, 1.3262650223257277, 4.67916707028713, 0.10142738248477985, 1.5350421024162344, 5.772955575769249, -4.950389848640867, -11.719482993945718, -6.835753625768675, 3.299569657629469, -47900.62232682423, 8754.536745081597, -241460.36299273107]",0,0,
6,"[-858.9994540025655, 9836.95095548968, 7515.389799802666, 5.544588510918599, 4.564707199793236, 1.5535317310401913, 0.93116228638055, -4.661697675047273, 4.929154022955272, 1.798241317529861, -1.7641435172445785, -4.691199724404566, 62600.328739333345, 143779.43921094364, -318414.5721762313]",0,0,
7,"[-5965.873069309617, 5831.1983592377255, -6024.241646251016, 3.7681097037854365, 5.962779141796201, 1.562200871597935, 6.302262917123915, -5.8097035311380125, 6.410296149038, -2.3432367209214817, -5.9622796420076885, -2.201479034366878, 115722.8984240173, -47530.48349977091, -305124.1189981828]",0,0,
8,"[-6781.790084847518, -3839.646469084534, 9755.336235304025, 2.987436046449953, 4.766471019120562, 1.7096541933190792, 0.45007223205925406, 12.15220494328566, -7.071544638284812, -11.216415025313628, -4.007367272185014, -10.466935855225234, 35007.49106506654, -77881.0821545713, -208284.35309121403]",0,0,
9,"[2723.002902389022, 6008.18743490256, -8962.804544748145, 4.931616745909845, 4.482809679710571, 1.5354005256209624, -0.69063251009851, 9.99841224399675, 6.586463291514999, 10.561318382260552, -7.706203362730875, 7.517987611965854, 74092.56960341791, -100101.27347761439, -239353.84921034524]","[array([ -54.01988,  -46.67718, -101.47218])]","[array([587481.7488595 ,  96238.02617507, 326939.94931348])]",
10,"[-7635.825193321617, -1810.2670340885616, 327.01573556382937, 3.8913800671488192, 4.794259450147934, 2.4216086590375574, -12.063462533104875, 12.213948540215497, 3.5709916093364704, -9.635783946503356, -3.7455444114738174, -4.679890046196012, -35991.09476273724, -17872.83613618213, -360401.0877839164]",0,0,
