,Parameters,Minima Found,Cost Function Values,Other Info
18,"[ 1.56308120e+05  1.97162155e+05  2.95642340e+04  5.20212632e+00
  6.68523824e+00  5.19224322e+00 -1.04550541e+01  1.79258439e+00
  3.94906178e+00  5.74533907e+00 -8.53701587e+00 -6.46576729e+00
  1.27544340e+05  8.64763770e+03 -1.67853778e+05]","[array([-328.75538,  337.64781, -333.86163]), array([-254.58986, -260.60263, -264.62924]), array([-229.08976,  245.83811,  213.71871]), array([ 229.08976, -245.83811, -213.71871]), array([ 328.75538, -337.64781,  333.86163])]",4.782476149801173,
19,"[ 1.69992620e+05  1.34007615e+05  1.43893045e+05  2.54832278e+00
  6.65832276e+00  3.38875021e+00  1.20146512e+01  8.39657560e+00
  4.48431886e+00  5.13865250e+00 -9.15306191e+00  6.12654360e+00
 -1.11277605e+05 -7.10571245e+04 -3.93651504e+05]","[array([-157.96594,  -44.30433, -134.73834]), array([157.96594,  44.30433, 134.73834])]",4.810454441297441,
20,"[ 1.01986462e+05  1.06858265e+05  6.58839180e+04  4.03090578e-01
  2.77258819e+00  5.34876260e+00 -8.37098295e-01 -3.31101853e+00
  2.55243048e+00 -3.92706636e+00 -3.31273744e+00  7.36263758e-01
 -9.61153210e+04 -7.34409800e+04 -2.22350190e+05]",0,4.830453069633101,
21,"[ 7.03487559e+04  1.86557505e+05  6.45525162e+04  2.40347946e+00
  5.25261492e+00  5.83956501e+00  4.41316863e+00  1.14790089e+01
  6.70110044e+00 -1.02420082e+01 -8.07039048e+00  2.26813870e+00
 -2.34759339e+04 -3.16787169e+03 -3.01549771e+05]","[array([-349.08537, -293.62014,  -39.60698]), array([-315.42411,  266.47709,  -43.17905]), array([ 315.42411, -266.47709,   43.17905]), array([349.08537, 293.62014,  39.60698])]",4.848468266605944,
22,"[ 9.82658141e+04  1.57335619e+05  3.76309514e+04  2.27366923e+00
  6.53346865e+00  2.63486487e+00  9.10269147e+00 -1.07984501e+00
 -4.72539428e-01 -9.64287270e+00 -8.11458219e-01 -3.90697864e+00
  4.82711269e+04 -3.17589681e+04 -2.70817031e+05]","[array([-878.03054,  388.13075, -852.64304]), array([-862.14225, -378.35373, -839.05032]), array([ 878.03054, -388.13075,  852.64304])]",4.875096775125601,
23,"[ 6.77914098e+04  1.36605050e+04  1.35638991e+05  4.22606009e+00
  3.07313560e-01  2.63449715e-01 -6.59839799e+00  1.24151674e+01
  6.05225077e+00 -3.41811725e-01  6.59600613e+00 -1.22275407e+01
 -2.67384234e+03 -2.17839538e+04 -2.36718679e+05]",0,4.877171469521176,
24,"[ 1.18773219e+05  6.88074784e+04  6.05611797e+04  4.36537875e+00
  6.04223487e+00  1.14606663e+00 -7.63120328e+00  1.46357663e+00
  2.01620119e+00  1.20234591e+01  4.11062908e+00 -7.10666718e+00
  7.35347579e+04 -7.18347430e+04 -3.16963779e+05]",0,4.877959899010354,
25,"[ 1.43733352e+04  1.53686169e+05  2.76489117e+04  6.26164045e+00
  3.00857540e+00  3.38515314e+00  3.02947837e+00 -1.45371885e+00
  4.11328426e+00 -4.98831796e+00  5.53195480e+00 -8.33778473e+00
 -4.72908089e+04 -1.88829563e+04 -2.93395103e+05]","[array([-169.89965, -141.7623 , -178.2053 ])]",4.880102327822376,
26,"[ 5.36779103e+04  2.23061078e+04  1.47870667e+05  3.74908693e+00
  3.53928902e+00  2.83059808e+00  2.94162403e+00  1.10072680e+01
  1.17712261e+01  9.60747090e+00  2.02717520e+00 -2.38230286e+00
  4.98118324e+04 -6.27724596e+04 -2.22392365e+05]","[array([ -75.72007,   -8.16245, -161.14584]), array([ 75.72007,   8.16245, 161.14584])]",4.892849384766843,
27,"[ 1.15076662e+05  9.47041878e+04  1.84074860e+05  2.72460688e+00
  5.65417177e+00  5.05365898e+00 -3.32158988e-01  2.26745893e+00
  1.06247465e+01  2.98789519e+00  4.72101924e+00 -1.16747167e+01
  5.50671114e+04 -1.41411635e+04 -1.62143206e+04]","[array([-164.37498,   26.10995, -146.03172]), array([-154.62696,   43.26581,  136.80699]), array([ 154.62696,  -43.26581, -136.80699]), array([164.37498, -26.10995, 146.03172])]",4.901775022444884,
28,"[ 1.20780092e+04  5.17377175e+04  4.18485161e+04  5.65517592e+00
  2.26416313e+00  1.04723210e+00  1.29536181e-01  2.78418199e+00
 -6.32161081e+00 -1.76069076e+00  7.19909605e+00 -8.69944069e+00
 -1.46153235e+05 -2.38832988e+04 -3.15383399e+05]",0,4.909577198385143,
29,"[ 1.25163425e+05  4.73879752e+04  7.60927760e+04  4.95507955e+00
  5.67787227e+00  3.10393961e+00  7.47846576e+00  1.06617454e+01
  7.24471197e+00  9.34740054e+00 -7.37885885e+00 -1.69144335e+00
  5.80636033e+04  2.02493593e+04 -3.08630375e+05]","[array([-133.52781,   16.52432, -141.03165]), array([133.52781, -16.52432, 141.03165])]",4.9490690354168025,
30,"[ 1.12634619e+05  1.42707518e+05  1.51443498e+05  4.55910640e+00
  2.74715460e+00  2.46590885e+00 -6.97481838e+00 -1.12395357e+00
  3.47952480e+00  2.37332773e+00  7.93366522e+00 -5.00223786e+00
  1.06061790e+05 -2.86924666e+04 -3.87518429e+05]","[array([-230.83592,   58.9404 , -273.63891]), array([230.83592, -58.9404 , 273.63891])]",4.953249901268207,
31,"[ 5.96153731e+04  1.81462360e+05  3.27671451e+04  5.08874372e+00
  5.48370827e+00  4.80139251e+00 -2.00616301e+00  9.06270241e+00
  6.83266935e+00  3.49460247e+00 -6.99805668e+00 -5.99486521e-01
 -7.03859465e+04 -5.10909513e+04 -1.94628188e+05]","[array([-104.56071, -132.80172,  -90.3462 ]), array([-71.73272, 106.99422, -65.81406]), array([  71.73272, -106.99422,   65.81406]), array([104.56071, 132.80172,  90.3462 ])]",4.962654978362645,
