,Roots,Accuracy,Paths,Other Info
47,"[(-2.8698592549372254e-42+1j), -3.503246160812043e-46, 0.8764044943820225, 0.0]","[5.739718509874451e-42, 2.215647414481313e-45, 7.189362745822263e-26, 0.0]",-,
48,"[(2.3581767349690392+4.317600582330385j), (-2.8691351528749847+4.514531751497291j), (-0.0210673768638461+14.911092849879283j), (0.17258110393129197-0.29090472126115113j)]","[2.8258174946552532e-14, 3.1776437161565096e-14, 7.275957614183426e-12, 2.2887833992611187e-16]",-,
49,"[-0.008776862269375315, -1.4327111270651358, (-1.5950386014553617+2.4472252599313618j), -0.014286814761589937]","[7.837985296998962e-23, 9.714451465470121e-17, 1.4901605847800922e-14, 2.710505435196391e-20]",-,
50,"[(7.174648137343064e-43+1j), -3.503246160812043e-46, 0.8764044943820225, 0.0]","[1.0425660574576639e-42, 2.215647414481313e-45, 8.296601877975489e-39, 5.605193857299268e-45]",-,
51,"[(2.3581767349690392+4.3176005823303845j), (-2.8691351528749847+4.514531751497291j), (0.0034657492406260856-14.93868831549969j), (0.17258110393129197-0.29090472126115113j)]","[1.923987993140705e-14, 1.4210854715202004e-14, 5.1448789686149945e-12, 5.551115123125783e-17]",-,
52,"[1.7683168664820733e-15, -1.4142135623730914, (-1.6032902745945838-2.4555322434228506j), (-2.2222056700010083e-05+0.0003135901869762501j)]","[1.7779970603697453e-15, 3.4972224586014403e-16, 9.272854936268372e-15, 1.3360384352536483e-09]",-,
53,"[(-4.591774807899561e-41+1j), -2.2420775429197073e-44, 0.8764044943820225, -8.96831017167883e-44]","[9.183549615799121e-41, 1.5853882345445977e-43, 7.887489507398453e-39, 8.96831017167883e-44]",-,
54,"[-9.333473051128305e-16, 1.414213562373097, (1.2552574046425153-3.0674083476232905j), (0.0002857021995225283-0.000138968988405792j)]","[9.960868731071276e-16, 3.7019793631860857e-16, 5.3290705182006875e-15, 1.3789588778523156e-09]",-,
55,"[1.7981398017448433e-15, 1.4142135623730911, (1.2552574046425167-3.0674083476232945j), (-2.2260331241113796e-05+0.0003141666847631464j)]","[1.8076943490212027e-15, 2.8540017672967874e-16, 4.6491707650995555e-14, 1.3434180949906404e-09]",-,
56,"[-4.707576607668703, 2.0776731476886988e-69, -0.03576660589354887, -0.33087539310099395]","[1.865174681370263e-14, 1.1236250347155598e-66, 2.842170943040401e-14, 2.220446049250313e-16]",-,
57,"[-9.33458013466573e-16, 1.414213562373097, (1.2552574046425145+3.067408347623291j), (0.0002857060424310339-0.0001389708785249078j)]","[9.96204097498479e-16, 3.711373278505935e-16, 1.5280799322857068e-14, 1.3790146416275132e-09]",-,
58,"[1.798214298620267e-15, 1.4142135623730911, (1.2552574046425165+3.067408347623295j), (-2.226042640563239e-05+0.00031416811426287366j)]","[1.8077685323439184e-15, 2.847680497802088e-16, 7.588599744429002e-15, 1.3434364277233002e-09]",-,
59,"[-4.707576607668703, 7.074749280333369e-74, -0.03576660589354886, -0.33087539310099395]","[1.865174681370263e-14, 4.784716878402616e-72, 1.4210854715202004e-14, 2.220446049250313e-16]",-,
60,"[-9.334482959187395e-16, 1.414213562373097, -2.51051480928503, (0.0002857057052014527-0.00013897071266688078j)]","[9.96193808088596e-16, 3.710548717229577e-16, 3.552713678800307e-15, 1.3790097481274958e-09]",-,
61,"[1.7983411808913226e-15, 1.4142135623730911, -2.5105148092850333, (-2.226058858884408e-05+0.00031417054965997445j)]","[1.8078948807960496e-15, 2.8369141800889715e-16, 1.7763568394010354e-15, 1.3434676610997571e-09]",-,
62,"[-4.707576607668703, 0.0, -0.03576660589354887, -0.33087539310099395]","[1.865174681370263e-14, 0.0, 2.842170943040401e-14, 2.220446049250313e-16]",-,
63,"[-1.7200604714689376e-17, 6.526719142749587e-64, -8.666666666666666, (0.00017315902326729015-8.41892981567942e-05j)]","[1.8869584578322815e-17, 2.8592480010979825e-62, 6.745482514433931e-28, 3.0692726118245726e-10]",-,
