,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[9841.582678444429, -8076.660590739031, -3567.7976157076573, 4.013500377223749, 0.6293425027302905, 3.179213164719832, 12.174848902779488, -2.3630331628798906, -4.947966527074003, 3.7611946907713616, 2.1232656344621965, 4.360183419956943, -93565.3252695997, -4685.857943853451, -209988.5103100871]","[array([-126.25441,  -24.00745, -130.36221])]","[array([961769.53848488, 405622.16519892, 535893.83204147])]",Time Taken
1,"[-8327.682324216394, 8616.693351473867, 3584.2712226116237, 4.366080130429073, 5.803914285109207, 4.768500649340555, -8.544970413409825, 3.492042258964698, 6.913796926402918, 5.514112655229475, 3.952254579545084, 6.573611403519518, 54238.950039404765, 114489.35457336955, -263050.9159413683]","[array([-88.71699,  79.57372, -78.06381]), array([ 88.71699, -79.57372,  78.06381])]","[array([318093.6444604 , 723764.6801931 , 628082.47812121]), array([318093.6444604 , 723764.6801931 , 628082.47812121])]",4823.744394540787
2,"[3308.4280149836013, 9405.28208384604, 7114.881617583589, 5.104487425103039, 4.300492631071964, 0.34130646663380637, 10.105150886066106, 1.7004209869783562, 2.7401321548647974, 1.8423782212699962, -11.632244717289172, -0.10028795228052267, -23013.516593180422, -111570.5339316882, -312631.0173819901]",0,0,
3,"[2574.7028731449846, 431.10025524454977, -7401.284977094478, 3.384269352816963, 3.0075465866749256, 1.9156502490312022, 1.8677812413340362, -1.8934625083607406, -2.88619094141176, 11.589770136343986, -8.519963217821147, -5.956488637099322, -93373.88184298806, -10971.127898032864, -309872.4191842728]",0,0,
4,"[5209.383767471996, -6730.259220197138, 2918.1290019022217, 1.6963420136542553, 3.7469104788036987, 2.3133465937079705, 6.213233666011327, -5.8388201114273635, 0.4291195218757089, 6.5905478010776335, -10.547501320687036, -11.601357438127717, 76813.97493720378, 144189.1043049791, -222640.14686265585]",0,0,
5,"[-5956.652180809719, 5287.430388528361, -1956.1320261019819, 0.1257573834934666, 3.492895580979472, 2.2337414243954243, -1.422651697767522, 11.708886314048673, 5.801995722166064, -1.9790253923730976, 3.7531162583696798, 0.02018203515319783, 92227.59893511774, 21173.440557459922, -17350.710798571177]",0,0,
6,"[8199.686561137143, 4700.979039603308, 8055.637758336801, 0.8057730871790761, 4.588519088866403, 2.0977468055315995, 4.598834855368807, -2.1011631884978152, -2.6351262043930284, 7.833898216177879, 1.3588237912299164, -9.050905627196425, 55171.85834642491, 92916.76763532587, -316789.32597068197]",0,0,
7,"[3302.7103079842072, 5448.322732086763, -7392.4179537762975, 5.593118246144695, 1.5535920312466904, 4.336013558969975, 1.8692824429926418, -4.062991871222372, -3.2261054332705665, -9.987877673334435, -3.300281261915865, -6.775402918002947, -126032.26537962822, 120698.8145712894, -205256.57791737627]",0,0,
8,"[-9731.068726382879, -4799.286249949002, -9480.958235795988, 4.023495606312754, 3.4973635926915994, 3.708051260835814, 9.714837745209202, 11.124647891774874, 2.9833947927862994, 12.335876143212015, -2.1271955724764773, -11.524988782492471, -138079.85021032495, -110918.6101053928, -119655.2302273995]",0,0,
9,"[6654.506914451693, 7970.301663013892, -4881.590530846849, 5.702662141244652, 4.49237167441329, 0.8069388825325341, -6.461320915636741, 12.33577465555295, -6.517302735131331, -7.581578115589699, -8.056982574353079, 3.9642978342062314, 103649.38126054156, -24076.69107997966, -212477.63291683706]",0,0,
10,"[4989.7729973702135, 8291.130500317166, 7880.760347071824, 4.273009778523918, 4.0254628180161625, 3.303675856216825, -2.3060721589827633, -2.5156544310980795, -6.8611195805218275, 9.352451483256559, 1.1890073902520744, -8.941328034478143, 40468.327038964606, -11867.740250055445, -14873.309788512764]",0,0,
11,"[-2303.2059750390617, 7131.590010416974, 6575.953835347576, 4.956688485204878, 2.4347274310675826, 2.8275424914568137, 10.037225498934546, 10.829737132791802, -7.472749103241831, 2.9106765515012647, -3.061053937114261, 5.564001531257794, 113499.1343151693, -83372.25653692633, -137391.53896587738]","[array([-104.60257,    3.29757, -122.52795]), array([-23.98879,  75.30252,  34.56876]), array([ 23.98879, -75.30252, -34.56876]), array([104.60257,  -3.29757, 122.52795])]","[array([827802.64160128, 278365.57963395, 449534.24016286]), array([ 11225.05305158, 285562.9387543 , 182507.46444407]), array([ 11225.05305158, 285562.9387543 , 182507.46444407]), array([827802.64160128, 278365.57963395, 449534.24016286])]",
12,"[-1278.5212454352586, -6468.283760888871, -1217.9176329081674, 3.9645772900121563, 2.4682635831442634, 1.6604973481635317, -8.774041062283374, -1.9861928040129495, 7.575569479258535, -4.105881189737035, -5.48604726564575, 3.8694451303071347, -132299.75505939324, -146866.3225952926, -136889.86040930462]",0,0,
13,"[6478.220786139045, 7281.189403083939, 9264.669704848613, 5.470781781476822, 1.4344001951432992, 5.179614176439458, -9.764415765892881, 4.8704817241786085, -4.6598381770134125, -4.293390304508966, -0.0941233259034675, 4.493536857926902, -136476.61216238822, -85404.51745925535, -247336.71922074046]",0,0,
14,"[9819.400232654814, 5693.10984925897, 2594.8430849650595, 3.8289396564606695, 0.2634033348233309, 5.04036503611785, -9.88673287853482, 0.7863938491522493, -1.591987588040472, 1.3291041699345865, 2.4743685217963467, -3.679058186429449, 62348.52048864533, -122803.1639824119, -61896.05573163385]",0,0,
15,"[-175.91730442313929, -7470.7194081311545, -434.6304268104177, 4.954506511354945, 5.240558286571162, 1.960131493097402, 12.247836261735706, -5.727854155962413, 11.474384723499053, -9.467868592170102, -7.408943712350361, -10.229243318751026, -33589.44820536874, 46341.580926648574, -137511.88011354045]",0,0,
16,"[8688.666048270512, -6554.633339187816, -1156.598423848869, 5.755015472469694, 5.941095302650044, 3.837086146993493, 2.052263768578161, 7.100955387494858, 4.21494579174165, -5.468277554280899, 7.901354688429592, 5.2803355953616595, 104179.56476905078, -34803.169226151105, -295226.88191900856]","[array([-92.63735,  34.21461, -84.43058]), array([ 92.63735, -34.21461,  84.43058])]","[array([110889.34638222, 766624.00644269, 605606.41971065]), array([110889.34638222, 766624.00644269, 605606.41971065])]",
17,"[-1300.2134940799497, -4791.011245055758, -6895.75324327913, 1.20821250237782, 3.6447391604101105, 0.8514368105875973, -9.348404813474652, 10.856662645683596, -7.6189763545888445, -10.134657352743782, -6.558700382461312, -7.453657029705988, -135817.80172981526, -86189.91407110367, -63691.65109890408]",0,0,
18,"[6385.3771027324, -7123.14121433026, -8409.510778063877, 4.976889984615605, 0.3947865492821435, 2.258569488303509, -5.439361988182799, -2.2401236628144057, -4.687407748720242, 0.7222283064419983, -4.656878304975208, 5.675512722272799, -58864.53704198552, 128751.19392105349, -349479.68209647835]",0,0,
19,"[-8229.582245568925, 542.2779131622992, 5430.4228881672425, 4.298125002134865, 4.749816043866276, 0.6866339068571915, -5.439086300307875, 7.42669859234992, 8.12031254727587, 2.1959260133385854, 3.7499810431433396, -11.208932944299303, -119605.65676985143, -17418.273494198336, -175029.82622265402]","[array([-402.33808,   -7.34509, -638.60314]), array([402.33808,   7.34509, 638.60314])]","[array([ 319581.21629041, 7718865.58272223, 8226301.98040973]), array([ 319581.21629041, 7718865.58272223, 8226301.98040973])]",
20,"[2638.213164166751, -4258.386283669286, 1930.9957520066255, 3.587765914297822, 3.24715053271736, 5.4278475254318375, 8.124870497793808, -7.92901589251798, 9.213636203046793, -1.9261044384565231, 3.2511380321121646, -5.405023428857964, -122184.74972783655, -5734.24425523731, -286796.63718233304]","[array([-113.99159,  -91.60827, -113.01687])]","[array([997844.35318799, 700502.38810743, 282813.18816827])]",
21,"[7665.529793190875, 1385.953098377966, 7061.582954292233, 2.7116153115293344, 0.6445434927503009, 2.014786258024503, 10.182149057067765, 5.129354461854669, -5.104749197296634, 6.066795920296158, -7.586741784579162, 4.204880637649829, -126476.53008229639, 84345.70920284858, -237334.4001086171]","[array([-176.46469,   -7.63332, -189.18067]), array([176.46469,   7.63332, 189.18067])]","[array([1243117.06377765,  498143.88743071,  822760.45218358]), array([1243117.06377765,  498143.88743071,  822760.45218358])]",
22,"[2343.5052216286895, -492.0961817338284, -9638.515775347372, 3.5666413367780283, 4.6361316294896815, 1.4366602455030175, 10.232019171851586, -1.0736036724441531, -4.203398784940074, -8.573206960816126, 1.6703623986385807, 0.8399570308754232, 143163.95049839508, -132069.9251363957, -40958.72175744199]","[array([-117.86924,  114.87571,  149.12443]), array([ 117.86924, -114.87571, -149.12443])]","[array([175852.9492554 , 615433.727687  , 825572.15296195]), array([175852.9492554 , 615433.727687  , 825572.15296195])]",
23,"[9251.298890168939, 3354.6888121008724, -194.21711075871463, 3.424982533153277, 4.48807499569787, 5.335601657154474, 6.056511851706535, -3.127675116577267, -5.139706146591644, 6.046845678317155, -3.9483179997787836, -6.674857161221298, -43084.3359124461, -87029.42494092521, -51676.74499047425]",0,0,
24,"[-7786.586867857439, 6712.761260493775, -195.85777304837393, 4.107410912014065, 5.463061084695651, 2.8690690082254844, -6.930673873893141, 9.272044067750162, 4.2828123947152115, -8.057859032509644, -4.94140924207907, 0.5155520627949848, 85.94012248737272, -27026.557818582587, -379341.2301809919]",0,0,
25,"[6497.877151872777, 7908.613452063295, 4189.766249308515, 5.312181396840063, 4.688627533246508, 3.9211262973711127, 4.33037126467169, -6.76730070136458, 4.158050712182046, 2.3982396562537183, -11.470887996853005, -5.9200216752859935, 78098.03507119924, 65098.00439080817, -253827.2880697722]",0,0,
26,"[-2812.1914180475314, -8965.455206022652, 3766.318406738161, 1.0619256862643776, 4.093469824997151, 3.023871734426136, -1.9474348262348045, 3.2863439063344497, -0.7967553678703192, 8.371828971497195, 0.4214190018054058, -1.5723458789986822, -62677.897354684435, 98763.92034266205, -158055.4353771484]","[array([-288.83759,    2.7577 , -224.14031]), array([288.83759,  -2.7577 , 224.14031])]","[array([ 299311.98779329, 1979746.50084203, 1434752.99226683]), array([ 299311.98779329, 1979746.50084203, 1434752.99226683])]",
27,"[-8791.21453613472, 2137.8501045963912, 3375.346250991084, 3.9943674302579057, 4.503595359874427, 3.736763466046725, -6.181373255993834, 3.1796382201057494, 9.256863720281565, 1.1081588623280716, -9.531084131222084, -9.184768622079487, -38139.62886768025, -148466.9330103042, -232762.47675217802]","[array([-686.61565, -849.62649, -795.88048])]","[array([43531670.45948502, 16777638.08793212,   545362.93758832])]",
28,"[7497.7937729508885, 6321.888670779157, -6337.703848340439, 1.5410290592139808, 4.41052217852362, 3.3151992747246166, 11.588629632634625, -0.4035390512909922, 12.348073727286348, 5.1648159276416905, -11.4511881805159, 2.0333850149073793, -136219.28448491453, -133287.76367784396, -112291.82280949206]",0,0,
29,"[6081.302026548838, -7943.557274546271, 5250.620816984852, 4.789321319902081, 0.4859294914997693, 0.10092754715923467, -2.8759793264339617, -0.5025427436331196, 1.5666631007512173, -4.582246328625364, -5.912921526660579, -3.9453182930979462, 21522.676217416272, 70844.63931921415, -9340.531913319894]",0,0,
