,Roots,Real Roots,Accuracy,Paths,Other Info
25,"[ 1.32839331-1.46807684j -2.29031001-0.04263457j -1.96173903+0.00968j
  2.36004076+1.34002359j]",,"[4.965068306494546e-15, 7.755684626330685e-15, 6.2803698347351005e-15, 1.8508453422483046e-14]",-,
26,"[ 0.92066802-1.07021666j -2.42022285+0.05412394j -1.83016386+0.45983581j
 -1.72623229+0.5388114j ]",,"[2.914203267236168e-15, 1.0715809139595271e-14, 5.347542221830668e-15, 2.3914935841127266e-15]",-,
27,"[1.24050379+1.34267408j 1.09947214-2.19601547j 0.12113405-2.28213395j
 2.53953076-1.97716211j]",,"[4.849527372528318e-15, 1.2809491335957507e-14, 1.1382899616642114e-14, 2.429537347586207e-14]",-,
28,"[ 0.52143006+1.79711228j  1.2939888 -2.07852985j -0.16322154-1.64188316j
  0.02775014+2.56051288j]",,"[5.625146278219499e-15, 2.968429940443045e-14, 3.2023728339893768e-15, 1.1801832636420705e-14]",-,
29,"[ 1.38622797+1.04693923j  1.17216811-1.98280812j  0.76606485-1.67163161j
 -2.7404245 -0.80536043j]",,"[4.76749985125122e-15, 1.2121276483828486e-14, 4.803559250984066e-15, 1.7798229048217483e-14]",-,
30,"[0.87178244+1.83343158j 1.28990145-2.01142152j 0.75573169+1.66666117j
 2.38157568-1.14774318j]",,"[5.2404408462462845e-15, 1.2560739669470201e-14, 3.972054645195637e-15, 1.4129087473276266e-14]",-,
31,"[ 0.65095277+1.58072307j  1.13142729-2.09008912j -0.15838731+1.74580787j
  0.44455224+2.06538896j]",,"[5.1434009872946005e-15, 1.6881232242081456e-14, 3.972054645195637e-15, 4.782987168225453e-15]",-,
32,"[ 0.41592913+1.31312109j  1.21619077-2.13064939j  0.37390698+1.70292841j
 -1.60549469-0.40158082j]",,"[1.7632984155323095e-15, 1.130466570252318e-14, 2.3914935841127266e-15, 0.0]",-,
33,"[ 1.39422547+1.89925524j  1.1565127 -1.95652338j -1.30257845+0.71002724j
  2.7148998 -1.84369369j]",,"[9.739636741317752e-15, 1.6011864169946884e-14, 1.7763568394002505e-15, 2.932334201094587e-14]",-,
34,"[ 0.81909733+1.92563949j  1.20266787-2.03939075j  0.72650671-0.04976118j
 -0.01685749+2.69144541j]",,"[6.317065505118032e-15, 3.70940781517987e-14, 4.742874840267547e-16, 1.366070671273436e-14]",-,
35,"[ 0.93004915+1.62787524j  1.25908983-2.03959211j -1.21864664-0.41011462j
 -2.36037095-1.06275102j]",,"[4.803559250984066e-15, 2.6125885597286086e-14, 1.7763568394002505e-15, 1.4419228562316118e-14]",-,
36,"[0.79420037+1.06203503j 1.26484379+2.10598089j 0.80102593-1.53727862j
 1.99851083-1.36483957j]",,"[2.3603665272841412e-15, 2.222221696114844e-14, 4.440892098500626e-15, 1.1201704679945691e-14]",-,
37,"[ 0.27831157+1.475249j    1.170725  +2.06327124j  1.30828907-0.44327576j
 -0.14314611+1.7263883j ]",,"[2.729800018467121e-15, 2.1628557899130955e-14, 8.881784197001252e-16, 2.6645352591003757e-15]",-,
38,"[ 0.99651358+0.56742385j  1.16529262+2.0422643j   1.20977929-1.55517556j
 -2.21602329-0.44124979j]",,"[1.0934428697813141e-15, 1.2959208739370123e-14, 6.951095629092365e-15, 7.354337211075899e-15]",-,
39,"[0.35656237+1.60338244j 1.15134523+2.11220918j 1.02553756+0.84796038j
 2.20652675-0.82792578j]",,"[2.9790409838967277e-15, 1.1546319456101628e-14, 3.9968028886505635e-15, 6.6018607235733855e-15]",-,
40,"[-0.08663946+1.23035982j  1.21230063+2.09398685j  0.58470114+0.67568457j
 -0.73833836-0.26549729j]",,"[6.473657049138938e-16, 1.9803092624840078e-14, 1.831026719408895e-15, 6.661338147750939e-16]",-,
41,"[ 0.01815559+1.43620308j  1.19794442+2.0730287j   0.63315268-0.15516073j
 -0.45051782+1.39935848j]",,"[1.5632082117998628e-15, 1.2172014572856101e-14, 3.1401849173675503e-16, 1.4043333874306805e-15]",-,
42,"[ 1.1012799 +1.71824064j  1.13807556+1.89346389j -2.22279256+0.82890535j
  3.02321421-1.5346393j ]",,"[6.393188222769894e-15, 1.517719948885615e-14, 1.0695084443661336e-14, 2.8435583831733384e-14]",-,
