,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
16,"[(0.027645618352584538-0.04006887038232861j), (-1.7784466522452491+3.0803599602390794j), (-1.5967542644475514+0.5331941747665498j), 7.223842161286503e-14]",[-2.44737-2.01872j -1.76188+3.06598j  7.2167 +1.26795j  0.30785-0.37322j],,"[4.4938668397781776e-14, 2.7755575615628914e-15, 4.5496934130773415e-14, 1.2560739669470201e-15]",-,5
17,"[(0.027646071127134318-0.040067374863132554j), (-1.7784499171305064+3.0803639618807788j), (-1.5973915538795727+0.5332033793713195j), (-0.006110217383608257-0.004215986322201484j)]",[-2.44737+2.01872j -1.76188-3.06598j  7.2167 -1.26795j  0.30785+0.37322j],,"[4.4938668397781776e-14, 2.7755575615628914e-15, 4.5496934130773415e-14, 1.2560739669470201e-15]",-,
18,"[(2.5744125033452896-1.3940310981007096j), (-1.7784466522450313-3.080359960239173j), (2.3121115278211715-6.176936062385367j), 2.698802673467014e-79]",[-0.60486-3.61532j  3.5292 +0.00953j  0.44212-7.33683j -0.55133+0.09224j],,"[5.1514348342607263e-14, 1.7798229048217483e-15, 1.2789769243681803e-13, 8.881784197001252e-16]",-,Number of Roots Found
19,"[(2.517190987492386-1.3433596971073294j), (-1.7706202108062628-3.064437303248563j), (2.4346982843612808-6.672738068118678j), (0.2048604332513086+0.3838680268467061j)]",[-0.60486+3.61532j  3.5292 -0.00953j  0.44212+7.33683j -0.55133-0.09224j],,"[4.832213032818602e-14, 1.7772239894833365e-15, 3.552713678800501e-14, 4.440892098500626e-16]",-,81
20,"[(2.5956484402863658-1.4285173510456168j), (-1.7695678922536018-3.0634142928191896j), (2.181402106607557-5.61535625892671j), (-0.2178468537297761-0.3958326762297259j)]",[-0.59817-3.56855j  3.55689+0.j      -0.39163-7.06717j -0.     +0.j     ],,"[3.1776437161565096e-14, 7.105427357601002e-15, 1.943942605610339e-77, 1.104174666741193e-78]",-,
21,"[(2.984722865890856-2.4085022739542246j), (-1.7784466522450313-3.080359960239173j), (4.918785877290256+5.280812000157089j), 3.4211388289180104e-49]",[-0.59817+3.56855j  3.55689+0.j      -0.39163+7.06717j -0.     +0.j     ],,"[2.864289338439558e-14, 7.105427357601002e-15, 7.105427357601002e-15, 4.4082317558258135e-77]",-,Number of Unique Roots
22,"[(3.040566577791026-2.384853993590538j), (-1.7549515775625797-3.057841996294624j), (4.114295404914184+5.840250827924946j), (0.3636868244745598+0.4636820561142318j)]",[-0.57943+3.47042j  3.53138-0.00876j -1.16669+6.77964j  0.52923+0.08836j],,"[2.842170943040401e-14, 2.3321291051203735e-15, 3.552713678800501e-14, 8.881784197001252e-16]",-,80
23,"[(2.8861718837909267-2.390270313227322j), (-1.7552570369491294-3.0603861735367817j), (5.632985743790834+4.690279471086754j), (-0.36451280547563375-0.4401370860122767j)]","[-5.1450e-02-0.00402j  3.5569e+00+0.j      -8.1991e-01-1.50871j
 -6.1000e-04+0.00785j]",,"[6.069846772046872e-16, 9.523821618502499e-15, 1.4377933634684966e-15, 3.3881317890172014e-21]",-,
24,"[(3.644567940769398-1.5983154158992412j), (-1.7784466522450313-3.080359960239173j), (-7.236948380414474+1.003339461342593j), 0.0]",[-0.05145-0.00401j  3.55689+0.j      -0.81935-1.50826j  0.     +0.j     ],,"[1.2412670766236366e-16, 6.747984604192207e-13, 5.499150640401039e-16, 1.7933001925799426e-17]",-,
25,"[(3.594039458452568-1.6640639021384782j), (-1.7669286765419174-3.048172958932724j), (-6.56140173010541+1.7872454596360972j), (0.25376736601821326+0.5480858791329853j)]",[-0.05145+0.00401j  3.55689+0.j      -0.81935+1.50826j -0.     +0.j     ],,"[5.578801654593729e-16, 7.10542735760102e-15, 1.6653340461570921e-16, 1.7998009711327883e-25]",-,
