,Whole Generation
24,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
25,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  4.00000e+00  0.00000e+00  3.20000e+01
  8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
26,"[ 2.51398e+05  1.31229e+05  1.60046e+05  9.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
27,"[ 2.51398e+05  2.29717e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  4.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
28,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.48460e+04 -1.08000e+02 -9.80600e+03]"
29,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
30,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
31,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -6.00000e+00  2.00000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -8.98000e+03]"
32,"[ 2.51398e+05  1.31229e+05  1.60046e+05  7.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  7.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
33,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  6.30000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
34,"[ 2.51398e+05  1.01588e+05  2.12189e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -5.90000e+01 -9.80600e+03]"
35,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.70000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
36,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
37,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
38,"[ 5.63950e+04  1.31229e+05  2.94622e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
39,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.34480e+04 -1.08000e+02 -9.80600e+03]"
40,"[ 2.51398e+05  1.36668e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.30000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
41,"[ 2.51398e+05  1.67027e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.42090e+04 -1.08000e+02 -9.80600e+03]"
42,"[ 2.51398e+05  2.44563e+05  1.60046e+05  8.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -8.00000e+01 -9.80600e+03]"
43,"[ 2.51398e+05  1.31229e+05  1.60046e+05  8.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
44,"[ 1.56500e+04  1.31229e+05  1.60046e+05  8.00000e+00  1.00000e+00
  4.00000e+00 -3.00000e+00  1.90000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
45,"[ 2.51398e+05  1.31229e+05  1.60046e+05  8.00000e+00  1.00000e+00
  7.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  3.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
46,"[ 2.51398e+05  1.31229e+05  1.60046e+05  9.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.32960e+04 -4.30000e+01 -9.80600e+03]"
47,"[ 2.51398e+05  1.31229e+05  8.20280e+04  9.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
48,"[ 2.50619e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  9.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
49,"[ 2.50619e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
50,"[ 2.50619e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
