,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[-5300.810938829328, 1052.8084331273567, 2256.5282220448516, 0.4663587739471462, 0.14260938069494594, 0.9705950227039185, 1.7752141808437667, 6.364692082561639, 8.43347155857537, 1.6049106611984936, 5.290356563177795, -6.903638225955056, -142707.15416647747, 111596.47710631532, -72379.86358606361]","[array([ -98.51442, -179.98557,   16.58013]), array([ 98.51442, 179.98557, -16.58013])]","[array([ 79327.52062576, 314765.47873119, 799517.33273883]), array([ 79327.52062576, 314765.47873119, 799517.33273883])]",Time Taken
1,"[-3598.4513721927833, -5318.675062965559, -8134.452424315544, 2.896889090885107, 1.9885211458297525, 5.105908777832198, -12.321156690318668, 7.940265069347875, 8.111460674483336, 7.909003118651114, 5.537769869789237, -5.75522589857713, -17207.036537382606, 118026.10815287696, -179634.7237566265]","[array([-104.44651,   60.99566,  -83.57687]), array([104.44651, -60.99566,  83.57687])]","[array([698964.47891318, 351784.94989065, 123154.08575803]), array([698964.47891318, 351784.94989065, 123154.08575803])]",36.363768577575684
2,"[-7690.332410684381, -2953.210085762539, -3845.0413976444643, 0.5866336770120252, 1.5830585233300356, 0.6763780202448897, -3.7847337138982873, 0.4435255751954603, -1.4145368551853217, 8.076066329194369, -2.133201775872866, -9.95614055975943, -107301.12481460292, -57871.446995055696, -247374.80879868346]",0,0,
3,"[4421.904611166714, 6229.6532170211685, 2671.886104563484, 2.0092217198608573, 4.3336583450799635, 0.1327855217349957, 5.209306790496534, 4.508997312546828, 7.010879910448839, -1.0205488891126802, -2.049794102594781, -9.150886516872474, -55452.95152932523, -29046.728447233443, -200746.02510322354]",0,0,
4,"[-9365.260093646986, 4137.81700816261, 1376.4396086427696, 1.9835387168384604, 2.7793413507109883, 5.527332236202506, -1.551792014472495, 8.96623257637641, -4.174165738734786, 7.677856579323887, 6.7008513346967575, 7.380501832406853, 125217.44310209923, -9689.559985677624, -394651.9538397912]","[array([-159.10492,   24.03437, -122.62738]), array([159.10492, -24.03437, 122.62738])]","[array([1293726.39963527,  670865.48684561,  727608.5111484 ]), array([1293726.39963527,  670865.48684561,  727608.5111484 ])]",
