,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[8418.002254062234, 97.33888321280574, 5293.080093861943, 2.6428652491220515, 4.769017612085916, 2.6521921121680685, -0.07172294550130864, 11.279762594542454, 5.906804301979159, -0.9778279267743368, 2.709445708048772, -2.653806503043219, -80949.71287650696, -75527.39785430266, -55814.85019394796]","[array([-98.90487, -76.09375, -47.20416])]","[array([503376.21872858, 296341.7833893 , 154979.5403299 ])]",Time Taken
1,"[3735.9482192074847, -6440.9843351434265, -3814.2254675793065, 2.932901679423277, 4.867103529584124, 3.9157123636004028, 8.965076841896387, -5.950281615860237, 4.295555735317386, 3.480067129213591, -1.4566044976547108, -4.523164629652969, -35378.15837809995, -124342.29620296789, -386960.9702112033]","[array([-112.14988, -162.35292, -210.07721]), array([112.14988, 162.35292, 210.07721])]","[array([3008406.50399984,  910490.80734463,   49077.586175  ]), array([3008406.50399984,  910490.80734463,   49077.586175  ])]",4960.654294967651
2,"[2549.581346768977, -7419.537939307844, 639.861594299, 4.811497583156301, 5.571048315013495, 2.3841604835540666, 5.816285582446383, 0.8823774190730713, -7.436738678665107, 10.938821088475262, 6.104907976823203, -0.2439782021028929, 2935.586447311449, 14334.964783832576, -101273.72687241831]",0,0,
3,"[-1425.4894046180543, 6289.972770575316, -9313.387930284496, 3.737101254679191, 3.1401478013855835, 3.1036581957500204, -5.05620082525004, -0.5912668490261783, -3.980686193866367, 0.5789615084629478, -6.045091527869129, -2.573279535085602, 23805.004340641666, 22270.80822547598, -171548.25292725672]",0,0,
4,"[7402.664335373567, 946.7210133580829, 4536.440456152706, 4.5237711770436535, 4.769964031394189, 2.9604021165003496, 11.86422697211388, -7.276873752277463, -4.629501156974936, -0.037659716155209466, -3.894432922792733, -9.570599360308949, 78792.58008792627, -1490.847890488687, -188010.46335083863]",0,0,
5,"[3461.934533049407, -8920.359910056686, 7462.394118975433, 1.6624290283491931, 2.886599460583536, 4.488514503427552, 10.919809094741154, 11.154916346746795, -2.630893754530626, 6.188558967251819, 5.443762640498708, -5.189408325469406, -37474.129116822325, -45887.22545632663, -74254.30129292764]",0,0,
6,"[-7873.577570805565, 496.32830699642, -9115.297015307155, 3.900483016208775, 4.033056641269478, 3.799758623598862, -12.124188900378323, 5.687273217285313, 4.75260862580712, 5.464466731662501, -3.034434984234215, 2.126910617278895, 68594.35147581558, 17098.238626175327, -120204.88278364058]","[array([-157.46474,  156.57762,  -41.86244]), array([ 157.46474, -156.57762,   41.86244])]","[array([1594661.94791332,  129152.09207219,  583994.54777516]), array([1594661.94791332,  129152.09207219,  583994.54777516])]",
7,"[8388.698276699986, 1411.1035921807998, 3582.031067138132, 1.6250690204648275, 1.7325971464577072, 4.0876895619461155, -10.741173044764496, 9.043751948702386, 0.3692184972948791, -6.165052099771555, 1.1700811563829188, 0.5649448197605693, -34730.92648343937, -12012.020764148765, -303815.92057504854]",0,0,
8,"[-541.5859091136826, 5877.841282128056, -580.2420660970492, 4.920884689512329, 3.4326800358648932, 2.225481870672818, 7.879768195834515, -6.126692245784851, -0.7476820312867671, 7.893332632150486, -5.884908677657962, 4.107879247145394, -59995.29808272519, 144137.3359295305, -393166.2118152001]",0,0,
9,"[-9130.593127050768, -2133.9600735991553, -2914.54725112509, 0.9053543414786634, 0.5813630799137748, 1.100889424193064, -11.387017624822873, 11.77226330868633, 5.6441010577838355, -4.03668678728768, -3.5652964787336447, -5.965598046305198, 86121.6194181696, -7335.480750155373, -215603.2788162582]",0,0,
10,"[-6429.009574944542, -3243.872305501878, -6160.996778153847, 2.692522929426928, 1.5907177789285851, 0.5091705122787924, -3.961047966927275, 11.29090049921448, -3.2350358176422462, 6.685420971825764, -5.896171579368298, -9.368142581191393, 39857.164679506095, 74412.2808864729, -99959.974134786]",0,0,
11,"[-9709.840236263924, -2503.59578377048, -9831.042810119592, 5.866775770750353, 0.7727438372561135, 5.084302567443987, -2.195386650074008, -6.0344302214929195, -6.286685207375807, 6.9674452723959845, -0.06911586836537253, 7.852437310960358, 99097.29156970084, 145265.15002856735, -238284.9335265488]",0,0,
12,"[1779.8093510636972, 8609.112049833253, 9977.20832713012, 3.4088738942900294, 1.7867127736575994, 1.9457788318826703, 12.4383554305548, -5.6934723375553045, 4.558420225682701, -8.138678395805766, 4.712789687295992, 6.283124587888139, 138336.84697619156, 133152.02830153954, -47204.7817324092]","[array([ -37.86234,  171.55487, -160.37248]), array([  37.86234, -171.55487,  160.37248])]","[array([1023636.9108677 ,  684601.30050859,  287223.70806044]), array([1023636.9108677 ,  684601.30050859,  287223.70806044])]",
13,"[5431.3626823014965, -1765.4662683611623, -9227.891298839006, 2.8832065841175054, 0.7721819701545937, 1.9151931136272569, -9.070337216794712, 5.100574502781228, -7.7516444024985365, -4.9996952039292015, -9.844445808178186, -11.861984075568891, -133170.64334701592, 2907.0063968824106, -15183.508839259623]",0,0,
14,"[-5003.460421231552, -7058.049602530392, 7718.76880549407, 5.386367518886308, 5.656415882005926, 4.932541407899419, 9.086899627546732, -4.426247710900967, 9.029401649983484, -3.520607294239209, 1.6970583135331285, -10.087813662558606, -42490.16573567134, 106243.95991275302, -245646.42228539503]","[array([-107.17205,   62.89532, -127.4287 ]), array([107.17205, -62.89532, 127.4287 ])]","[array([1223972.20713422,  522496.86676259,  237262.40137274]), array([1223972.20713422,  522496.86676259,  237262.40137274])]",
15,"[-2009.8902719781163, 450.53916847755136, 4609.450459840706, 3.3669201208805033, 4.523007172936648, 4.068368938759004, -8.829395425554441, 9.460803478038535, 5.792080221908805, 3.2050776264141394, 5.709607787738623, -7.673620948342263, 64621.63489081021, -98074.94456388472, -38843.89720025187]","[array([-123.45027,  116.56794,   18.88183]), array([-50.71406, -27.64281, -64.68142]), array([50.71406, 27.64281, 64.68142]), array([ 123.45027, -116.56794,  -18.88183])]","[array([913354.27153775, 122084.76771122, 369239.28530477]), array([ 44302.83166055, 235277.86443654, 151128.25157909]), array([ 44302.83166055, 235277.86443654, 151128.25157909]), array([913354.27153775, 122084.76771122, 369239.28530477])]",
16,"[-9224.102966035392, -5280.112013188107, -7375.602029851676, 1.2834233612099533, 1.63709204596461, 5.651495073292812, -10.669468535748013, 4.006654952389056, 7.443284014305718, 11.33482192409518, 0.5547115585779387, -4.294301011473273, 30333.98130151906, 104309.06667845248, -96556.9796103214]","[array([-91.76579,  86.91016, -71.27085]), array([ 91.76579, -86.91016,  71.27085])]","[array([482180.73725496, 186923.51135409, 218747.14650299]), array([482180.73725496, 186923.51135409, 218747.14650299])]",
17,"[-5191.090070497268, 9295.996387645944, -8574.802256966042, 5.249935835107988, 2.216676574646983, 1.20869107725655, 2.433110965595727, -7.837577427840796, 0.23924675231177694, 4.867529247030507, 0.9016820740828404, -0.5215703065815891, 92304.42049851938, -145853.90608564304, -151873.5560160976]",0,0,
18,"[-5059.052290535901, 7482.661906820002, -8417.54349732129, 1.029485152081457, 4.567350638261217, 1.7319203426057224, -5.509666889289161, -0.938014662916026, 0.8997919507791856, 3.9299397291075664, 0.7837097221261331, 1.8610865482341783, -100155.90378250493, -104737.52190505547, -126274.18344832188]","[array([-177.3102 , -137.25047, -125.30755])]","[array([1064174.04305897,  294963.0087809 ,  490831.19969658])]",
19,"[-5813.240342188175, -6092.621873423743, 1497.6446415035352, 4.099601418151517, 0.9365984999626064, 0.24054306533231126, 6.167245441804415, 5.881614308287441, 7.084108082823835, 5.01056693179795, 5.6372927056554225, -11.479214904184612, 84285.04431144233, 112985.17031936283, -133641.05682069424]",0,0,
20,"[7529.872008844701, 143.22792237357862, 8575.582429972681, 0.4874904118237693, 3.9635166149417764, 0.9488713967128953, 7.642310631965145, 10.32434193329091, 4.924978112076927, -3.284733938902553, -7.602652175730074, -0.24172480142227393, 139310.67000905587, -21099.745125420566, -98303.42014595435]","[array([-150.59483,   68.3413 ,  -57.30857]), array([150.59483, -68.3413 ,  57.30857])]","[array([469918.06684357, 151412.11496951, 263215.8977458 ]), array([469918.06684357, 151412.11496951, 263215.8977458 ])]",
21,"[7487.381817547626, -3707.510383058112, -2024.0623729884373, 0.8143744746943062, 3.984037502401175, 3.6072775829939543, -4.304051795208295, 0.28518843587967346, -3.7156322765634853, 6.097917113044957, -7.3703072225318715, -9.192637176600453, -4571.961028202291, -97549.03462950607, -260300.3196333694]",0,0,
22,"[348.61109378958645, -9539.990827078585, 9191.172308250243, 3.1094114697291175, 2.2547662256880314, 1.6838261769969032, -6.6313764017427514, 7.025225572470031, 1.6675347969096954, 1.2528904875434108, -8.442893037547169, -11.08815593201313, 21349.792482844874, -44640.922086312654, -137949.42720058802]",0,0,
23,"[-2530.075884402663, -9850.830309552337, 5387.264277670245, 1.5338069900382971, 1.9375095675734473, 2.6126804301880857, 2.748657706610226, 0.5021838185217025, 4.705400525324579, 9.289435614833124, -8.594485521797274, -7.983045625589129, -147179.74008619972, -120388.31524231125, -86632.70754278562]",0,0,
