,Cost Function Values,Minima Found,Other Info,Parameters
10,5.324647248937534,"[array([-114.87795, -186.89533, -106.75453]), array([-114.87795, -186.89533,  106.75453]), array([-114.87795,  186.89533, -106.75453]), array([-114.87795,  186.89533,  106.75453]), array([ 114.87795, -186.89533, -106.75453]), array([ 114.87795, -186.89533,  106.75453]), array([ 114.87795,  186.89533, -106.75453])]",29999.914768917748,"[1.30778256e+05 1.41484317e+05 1.13171430e+05 4.95486885e+00
 2.02526295e+00 4.96517072e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
11,5.334539367615811,"[array([-337.17181, -225.2114 ,  -77.71877]), array([-337.17181, -225.2114 ,   77.71877]), array([-337.17181,  225.2114 ,  -77.71877]), array([-337.17181,  225.2114 ,   77.71877]), array([ 337.17181, -225.2114 ,  -77.71877]), array([ 337.17181, -225.2114 ,   77.71877]), array([337.17181, 225.2114 , -77.71877])]",,"[1.74341764e+05 1.14009615e+05 5.23385703e+04 7.66776743e-01
 1.12390795e+00 4.33251462e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
12,5.334539367615811,"[array([-62.53961, -85.99959, -48.97735]), array([-62.53961, -85.99959,  48.97735]), array([-62.53961,  85.99959, -48.97735]), array([-62.53961,  85.99959,  48.97735]), array([ 62.53961, -85.99959, -48.97735]), array([ 62.53961, -85.99959,  48.97735]), array([ 62.53961,  85.99959, -48.97735]), array([62.53961, 85.99959, 48.97735])]",Standard Deviation,"[5.00818935e+04 4.92973901e+04 1.53798150e+04 6.40236497e+00
 3.33273763e+00 3.20575656e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
13,5.334539367615811,"[array([-124.80753, -111.75045,  -49.31015]), array([-124.80753, -111.75045,   49.31015]), array([-124.80753,  111.75045,  -49.31015]), array([-124.80753,  111.75045,   49.31015]), array([ 124.80753, -111.75045,  -49.31015]), array([ 124.80753, -111.75045,   49.31015]), array([124.80753, 111.75045, -49.31015])]",99498.20334679965,"[1.69542906e+05 1.11762184e+05 1.43058180e+04 5.44211909e+00
 4.47472483e+00 2.94177847e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
14,5.341063023947878,"[array([-109.7365 ,  -75.4259 , -111.75246]), array([-109.7365 ,  -75.4259 ,  111.75246]), array([-109.7365 ,   75.4259 , -111.75246]), array([-109.7365 ,   75.4259 ,  111.75246]), array([ 109.7365 ,  -75.4259 , -111.75246]), array([109.7365 , -75.4259 , 111.75246]), array([ 109.7365 ,   75.4259 , -111.75246]), array([109.7365 ,  75.4259 , 111.75246])]",,"[4.89340282e+04 5.83649897e+04 7.93988313e+04 2.03178960e+00
 5.12957490e+00 3.17884926e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
15,5.347732307709575,"[array([-282.27046,  -59.28615,  -92.05566]), array([-282.27046,  -59.28615,   92.05566]), array([-282.27046,   59.28615,  -92.05566]), array([-282.27046,   59.28615,   92.05566]), array([282.27046, -59.28615, -92.05566]), array([282.27046, -59.28615,  92.05566]), array([282.27046,  59.28615, -92.05566])]",,"[1.15519010e+05 4.72982388e+04 8.46496424e+04 7.24924178e-01
 6.72834948e+00 4.99452456e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
16,5.347732307709575,"[array([ -86.28027, -254.03866,  -72.31073]), array([ -86.28027, -254.03866,   72.31073]), array([-86.28027, 254.03866, -72.31073]), array([-86.28027, 254.03866,  72.31073]), array([  86.28027, -254.03866,  -72.31073]), array([  86.28027, -254.03866,   72.31073]), array([ 86.28027, 254.03866, -72.31073])]",,"[1.18682476e+04 1.86085988e+05 2.98851269e+04 7.97138109e-01
 1.44173040e+00 2.85771969e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
17,5.357004529638332,"[array([-152.53782, -132.71197,  -92.16362]), array([-152.53782, -132.71197,   92.16362]), array([-152.53782,  132.71197,  -92.16362]), array([-152.53782,  132.71197,   92.16362]), array([ 152.53782, -132.71197,  -92.16362]), array([ 152.53782, -132.71197,   92.16362]), array([152.53782, 132.71197, -92.16362])]",,"[1.45970523e+05 8.98471463e+04 1.09091307e+05 3.13675133e+00
 2.55066885e+00 6.42156845e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
18,5.357004529638332,"[array([-253.37727, -116.75089,  -94.55536]), array([-253.37727, -116.75089,   94.55536]), array([-253.37727,  116.75089,  -94.55536]), array([-253.37727,  116.75089,   94.55536]), array([ 253.37727, -116.75089,  -94.55536]), array([ 253.37727, -116.75089,   94.55536]), array([253.37727, 116.75089, -94.55536]), array([253.37727, 116.75089,  94.55536])]",,"[1.55063136e+05 7.83864562e+04 2.27336317e+04 1.20765605e+00
 2.87534967e+00 1.27135414e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
19,5.357004529638332,"[array([-203.24706, -232.25526, -168.79379]), array([-203.24706, -232.25526,  168.79379]), array([-203.24706,  232.25526, -168.79379]), array([-203.24706,  232.25526,  168.79379]), array([ 203.24706, -232.25526, -168.79379]), array([ 203.24706, -232.25526,  168.79379]), array([ 203.24706,  232.25526, -168.79379])]",,"[1.89576483e+05 1.04581078e+05 4.26478986e+04 2.29459446e+00
 9.69375431e-01 7.48436039e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
