,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[2929.1038796035446, -9527.217457961098, -2192.865999848461, 5.88185783956956, 4.637275767934939, 2.8715529800345987, -10.173071625299835, 3.273954849780223, -0.8736708443150158, 11.990395628994122, -5.14543160595252, -7.8329057650336145, -39452.98999780246, 108119.9211951865, -96710.33606253768]",0,0,Time Taken
1,"[-6768.219353887302, 9067.424756522785, -5962.525307610702, 5.646609880421107, 3.939792674450222, 2.305779403350254, 7.346138926615595, -6.832828736094488, 8.339834282239412, -3.244867392625329, -10.340926464393261, 5.110400498342674, 31774.875855845487, -141664.43036397945, -35234.63600514375]",0,0,4988.941942453384
2,"[4549.5396375276105, -923.8787815690303, -2174.7457533950483, 4.10071133893119, 2.2507296110691324, 3.539830151664058, -10.531959865851057, -6.5065529121771215, -6.313811092249735, 6.951089266876938, -8.913329915255943, 6.188535693288234, 93086.71687928948, 101348.10354698278, -339150.01047216856]",0,0,
3,"[1438.9651229345309, -8019.736205813626, -9578.104946235495, 3.798095383461846, 1.7455887712947769, 3.6344958883617706, -2.8245367912885406, 3.4807333167038426, -1.6924903973069085, 9.683234259513437, -7.74920551606923, -5.638190172190643, -18472.55398961535, -138153.27070981692, -361527.81745772297]","[array([-1321.06772,   -23.92704, -1335.59609]), array([1321.06772,   23.92704, 1335.59609])]","[array([1.04924513e+08, 7.06390563e+05, 8.72885756e+06]), array([1.04924513e+08, 7.06390563e+05, 8.72885756e+06])]",
4,"[4253.694298551589, -5724.792033737305, 8348.231387363467, 3.126088230784486, 1.48490938710534, 0.6862364478861899, -5.075586328864613, -6.43568070370187, 4.05890114904347, 5.837910769404374, 4.092115045451916, 2.4468094769211675, -119358.14810397888, 126717.32531343971, -47199.741888240795]",0,0,
5,"[-1017.6227299493457, 5075.569032330011, 6148.335368015856, 0.7725117247702183, 1.6449050009525255, 3.460119490235453, -11.566382753860859, -0.7961575886679446, 4.116206848684376, 5.812883472670666, -3.0079022592266007, -5.138704334714159, 10844.916210659809, 126595.93397435301, -92422.40507874358]",0,0,
6,"[2659.821973734648, -1349.8013305257082, -4743.1693576609705, 1.7497930177039096, 1.4037063882048022, 4.197362826674483, -4.17247004494779, 1.8498454714384707, -3.6232006882038448, -6.007021304615875, 2.8354132752099144, -2.7964843547675233, -19237.342884948826, -78861.73658770174, -162892.94070918605]",0,0,
7,"[-8943.810896564932, 4088.2512482183665, 5681.672111723341, 4.681997346117446, 1.0403642559728923, 1.968455973633734, -12.476731759931383, -5.897144692191708, 2.7727983397366565, 12.331220300760481, 5.3775195806746545, 1.1541565133638212, 108037.62882746352, 85574.30097450028, -147624.17425238638]","[array([-107.8878 ,  196.08587, -150.20664]), array([ 107.8878 , -196.08587,  150.20664])]","[array([932571.67623831, 578699.67210412, 344648.04188049]), array([932571.67623831, 578699.67210412, 344648.04188049])]",
8,"[-8663.007518836515, 3222.0572843569244, -9737.660186559915, 3.841616770317253, 1.1258318854645495, 3.124909300811589, 0.19505738640852321, 9.628036125274033, 0.011465013844443206, 8.156461712007502, 5.684582939569413, -0.6838501442844578, 40829.88534481186, -9647.87524804793, -295158.6571849681]","[array([-145.23073,    4.22595, -152.22917]), array([145.23073,  -4.22595, 152.22917])]","[array([ 550606.43515969, 1277929.33335503, 1046697.60020706]), array([ 550606.43515969, 1277929.33335503, 1046697.60020706])]",
9,"[9986.300802980833, -7976.917330564695, 9343.831737028293, 2.650579238360672, 1.6583574232909433, 0.1011256311471936, -10.68615559399305, -4.398658770060711, 5.950579079298716, 5.432133371168359, -2.352661580104858, -10.19791951328288, 58810.11003408523, 59903.68139619255, -210462.27189600925]",0,0,
10,"[-5305.191580292086, -6860.789312705399, -7284.07039717047, 4.9028533086335475, 3.464880392251834, 2.190355258174511, 12.202207294523301, 4.925370481834664, -5.846109334712612, -11.447126227178053, -7.781331363501847, -10.12141173300415, -102539.28755291115, -86914.78198323792, -357179.32533150323]",0,0,
11,"[7725.88869747315, 7173.139304573579, -4169.587986857366, 3.9094735856733744, 2.6025217773123863, 0.33974952944466363, -12.060270477142137, 1.6801396156932373, -5.290864990011354, 6.914611848149949, -11.21858755706141, -10.551740670361543, -140199.31002651577, -95239.99154935186, -35805.00638908747]",0,0,
12,"[9523.721310801211, 5814.213771568826, -3312.866762206235, 4.007769475237176, 3.1337083436078066, 0.9350986710463327, 5.87994356329186, -0.4160251424661423, -7.344872968254555, 9.509543075337717, 2.9017388146246557, -4.478803880737271, 112134.34871138076, 81143.10719647814, -191581.8039111137]",0,0,
13,"[-7701.771848860608, 6302.387815881291, 8233.690571980838, 4.181073424781027, 2.9049771804823954, 1.7219511538760501, -0.0966264746854204, 6.77327909205451, -3.530320890216948, 4.218513658749995, 0.5518314854969688, 7.922691202554599, -17110.768020201445, -87961.90693519222, -137676.8547651582]","[array([ -70.84691,  -48.47089, -103.35603])]","[array([208127.25474193, 393811.16265979, 328463.59696196])]",
14,"[-350.80889041337286, -6957.122229119983, -2909.5626410928753, 5.757873954168124, 0.36605066414671816, 5.941497739564387, -4.697804428621758, -6.039140240245815, 2.136763110446209, -4.190281998448176, 0.7336736041260945, -1.5707856456952012, -133957.03625354948, -149116.124049966, -178367.05545473823]",0,0,
15,"[-8702.707528317502, 3323.0816326333643, 3557.843034388792, 5.940910248442208, 1.9442726002697683, 0.8040635520784034, 10.2465614263328, 6.921293897997121, 0.5263548768977202, 6.341107694097804, -8.481762446724254, 7.245725121207624, 88500.6207746543, -135416.00461743076, -218680.20998364332]","[array([ -13.14986, -244.80698, -309.40837]), array([ 13.14986, 244.80698, 309.40837])]","[array([3553662.15522252, 1506545.50605239,  276645.026348  ]), array([3553662.15522252, 1506545.50605239,  276645.026348  ])]",
16,"[5612.502117839564, -892.6130235163982, 6946.380227407095, 3.9425993639544066, 2.2550155411310464, 3.4928485848070983, -4.043942837749819, 10.905013724687652, -5.5610631114569085, 5.581230537054285, 5.744172726016213, -3.403923055863544, -64713.57714169742, 138335.75738252886, -75515.02007784991]","[array([-59.22248, -77.01534,  42.38996]), array([ 59.22248,  77.01534, -42.38996])]","[array([304417.25899603, 121475.48030743, 143783.49906297]), array([304417.25899603, 121475.48030743, 143783.49906297])]",
17,"[455.83870368356475, 2249.047143538108, -1072.9551088653006, 4.151999463401441, 4.29802933219187, 4.85616076392428, 7.131880881001212, 2.0185001538927665, -6.628754418404109, -7.614794784308, -5.914413294000307, -8.519582049371095, -141507.23140601534, -4234.269095085707, -83761.11921325128]",0,0,
18,"[-7854.785502323344, -7295.652124986434, 3068.085598415899, 0.12172716044441882, 0.8400878062458992, 4.8871822035029115, -10.4069225524247, 5.344231003715796, 4.338195443434376, 1.8460074602191323, 7.301357505255584, 2.0151752472762148, -30471.982144580412, -63226.0341422809, -256531.73535023164]",0,0,
19,"[3141.9029361630655, 3057.368395439855, 4543.556315615911, 4.498461031426339, 4.995636814023798, 2.1220409941667473, 11.822325751958225, -4.868346221197536, 1.7964661090184375, -8.680955366271785, -9.455825110375581, -5.791394570409463, -83742.52504906661, 66730.69475850533, -383133.92283180146]",0,0,
20,"[2630.402434273021, -4932.760478174667, 4455.817553294486, 0.928851539076129, 3.7746073205160906, 1.7224301561809356, -2.5369113843373423, -1.401335474177345, -2.234481822490137, 7.93952320188896, 5.311680098294286, 2.1760457956674575, -34172.80429379457, -1739.5799580358726, -383397.3724395872]","[array([-303.47035,   -7.04982, -260.20498]), array([303.47035,   7.04982, 260.20498])]","[array([ 754606.83912001, 1641143.00781272, 1534997.38252888]), array([ 754606.83912001, 1641143.00781272, 1534997.38252888])]",
21,"[-8217.205336494022, -7520.403658447967, -6590.953204045265, 2.5020297885209577, 3.523933205939021, 1.3962618283796104, -7.835339742297476, -4.347257740213669, 4.815289979574695, -11.613567646894882, -9.227627486741051, 7.27736674188894, -147563.8455764974, 1033.6062961006537, -41497.598752283666]",0,0,
22,"[6748.380494743025, -7340.683810176462, -1935.4164905918951, 5.663819577556513, 0.5164990265276819, 5.244420342200663, 1.7829650799998085, 11.956724302836367, 0.4873467177304711, -2.7222522035647554, -2.05236118504515, -7.741874195755847, 110863.4787439066, -59458.0260748741, -136724.99221716943]","[array([-139.8529 ,   20.36035, -138.29508]), array([-110.02747,  184.44549,   -8.09689]), array([ 110.02747, -184.44549,    8.09689]), array([139.8529 , -20.36035, 138.29508])]","[array([1715840.57446905,  258971.28906841,  354042.08074171]), array([897144.63041548, 425121.50196148, 132513.33637549]), array([897144.63041548, 425121.50196148, 132513.33637549]), array([1715840.57446905,  258971.28906841,  354042.08074171])]",
23,"[-5426.417222596189, -7606.228065975114, 7670.284636219803, 5.7450079054894525, 1.3975154701319483, 4.595086965483887, 3.6788667045650634, 8.483153196123691, 7.564758033239686, 4.826794652310433, 3.7157590754921195, 0.5003731089115355, -100674.96074353416, 128230.57480729459, -253986.7504220697]","[array([-77.13672,  12.06211, -90.3052 ]), array([ 77.13672, -12.06211,  90.3052 ])]","[array([247197.06050388, 645859.70922157, 513710.77696614]), array([247197.06050388, 645859.70922157, 513710.77696614])]",
