,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
10,"[8049.228636023861, 4647.037052365444, -4646.241040593429, 3.869971617468614, 4.56673858617118, 3.795263315612426, -4.499041493729898, 4.518412253049991, -0.7620686963197691, -6.66665559403995, -3.630745572269136, -12.025149044198558, -138272.37834728768, -143329.17286140565, -155638.49143151304]",0,0,
11,"[3779.004460324195, 9898.381416035798, -3302.1364837003375, 1.7512346090488018, 2.9039707832526354, 2.493744643494332, -1.761629176588034, -1.9096351012705934, 11.905126985583067, 11.447428941051626, -1.0773897765675677, 1.7905498414229761, 89174.1532133882, 115439.28427700349, -127590.52836244425]","[array([ -29.10824,  158.1544 , -160.38881]), array([  29.10824, -158.1544 ,  160.38881])]","[array([ 237749.55863534, 1227915.49593344, 1098517.10850036]), array([ 237749.55863534, 1227915.49593344, 1098517.10850036])]",
12,"[-3559.8071155498646, -2684.0556459732024, 9250.379045428777, 5.917386815859708, 2.244520014255693, 1.924991122074991, -4.994216374087985, -5.91012550220332, 4.138112824050252, 0.29412963080804566, -2.60260916811456, -11.836837207921217, -121337.91413412141, -79098.97067527582, -209971.14086987008]",0,0,
13,"[-9616.682686086617, 8512.901238796778, -4620.359182775389, 5.787729879032567, 2.376135567989739, 3.8500063881086493, -1.8840662199272824, -0.0513305103408177, 8.55524373033273, 4.58549747999043, 5.794263455532246, -4.807001420562718, -26264.41648981154, 128473.36447224952, -249312.54341742911]","[array([ -84.98142,   61.12818, -105.08367]), array([ 84.98142, -61.12818, 105.08367])]","[array([740149.9230378 , 522838.05507766, 232629.10449957]), array([740149.9230378 , 522838.05507766, 232629.10449957])]",
14,"[1728.6244478541103, -3696.3253938054577, 9773.598122481813, 5.922409167719378, 0.4470669241247446, 4.797720599490219, -11.675570301014204, -2.3440855218150887, -5.6229932818654245, 8.72689637382327, -10.368283180505845, -1.865282471600752, -114724.05037456524, -133459.70837101797, -197782.99026880026]",0,0,
15,"[-8148.044586499741, -2962.513387501056, -6240.514811776497, 4.81171541950975, 3.3429012652294308, 5.517081134662445, -4.389852998476883, 4.471022713627612, 5.295751146992325, 3.9582884374291787, -9.417141947769725, -8.572848355813216, 42037.39727966246, 144591.5183837479, -135047.82876859553]","[array([-158.60101,  203.9868 , -193.58465]), array([ 158.60101, -203.9868 ,  193.58465])]","[array([ 406006.78225882, 1300350.65808874, 2680556.9376199 ]), array([ 406006.78225882, 1300350.65808874, 2680556.9376199 ])]",
16,"[6008.860926096531, -2223.329772811986, -2752.4551027120588, 1.6221918278945047, 4.002808222670341, 1.9023820637332853, 10.723493452331802, 12.042542477102888, -5.49307480542177, 4.057964268055187, -12.470070072037277, -6.86295943846469, -72025.05592806138, -39520.45649507319, -253237.3752031576]",0,0,
17,"[-3975.0191367069256, 9750.490759916407, 2962.349518265659, 0.1766283472212121, 5.8017816187497, 2.592346443864498, -12.005826131052773, 10.64450178635164, -7.00712111668308, -3.243716269957485, -2.2899755534486044, -6.838404792145399, 59472.5652133149, 67891.77533428278, -218733.30883157742]",0,0,
18,"[-1350.147274623805, -9335.032590674593, 7179.160442925462, 4.660731730834679, 1.6855354846475552, 2.031830699076754, 8.33539357087039, -6.6798795896301675, 12.469066695232303, 11.68933363554589, 6.90493559978448, -7.468877400843965, 75250.28121501507, 66315.36630203921, -108312.06101074402]","[array([ -46.89049,   71.01957, -102.58079]), array([ 46.89049, -71.01957, 102.58079])]","[array([549754.93758316,  90425.59006089, 272672.74969016]), array([549754.93758316,  90425.59006089, 272672.74969016])]",
19,"[-6549.716648093875, 8290.936441757636, -1242.194716679518, 3.661190054325778, 2.7402705390362594, 4.587947994531777, 2.9016238827231255, 9.982421927532481, -6.108845146825874, -6.289768404130863, -4.791979361422012, -4.4410400922713205, -103660.79762114491, -112126.03716990237, -391199.71410960035]",0,0,
20,"[-9209.10559079626, -1398.5968074106058, -392.7451134676776, 2.1171952600275654, 4.643057627009068, 1.072059867156077, -7.440481175393711, -7.014398883497031, 4.343909398838143, -0.040977636346447355, 4.414558465928888, 1.24231017040022, -126825.2972617805, -8467.180597915867, -339934.47884628095]","[array([-154.71678,  139.31876, -173.48412]), array([ 154.71678, -139.31876,  173.48412])]","[array([1309310.93160534,  100128.11754475,  387028.41096688]), array([1309310.93160534,  100128.11754475,  387028.41096688])]",
21,"[-5231.327373170409, 4754.830254056575, -5461.971458929766, 3.9364126082144097, 0.8647862531557586, 5.103899075216461, 4.670965998156632, 2.788740909025183, -2.8361415630663833, 5.683233164365419, 5.2552085870982275, -9.591993057349285, -24776.746410954685, 45462.798446182016, -142264.20878979636]",0,0,
22,"[-9491.539054556422, 2274.4263135741585, 7387.1410853851885, 1.4369780189637986, 1.7388798942433148, 4.676507273969028, -4.701024221431321, 6.845169450561272, -3.900752395799417, -2.730041023589612, -3.778866128954798, 1.6985353366284102, -124881.25481953056, -12279.491265326098, -395108.0684555827]",0,0,
23,"[7089.702946154524, 5077.788568470682, 8542.778771092904, 2.1048857123308125, 1.8937896198001192, 2.389081288904379, 7.727034384527403, -3.2406353320396404, -7.986503590618617, -2.0419954080856595, -11.817168866349462, 5.816276516225493, -102062.26951339855, 80514.85845667528, -73567.28995703871]",0,0,
24,"[-3100.44995461098, 1527.347428137722, -3851.2979819171414, 1.7620681727555532, 3.142337940086409, 4.8248700389765755, 2.468531631170425, 6.963814813570298, -5.962253158252226, -6.578316645410086, -0.17796541125935228, -10.39588503899271, -132784.94650687947, 32098.48826391957, -61765.366640089545]",0,0,
25,"[-6513.562164015964, -7549.668535084881, 5738.135757036023, 0.23286277005864944, 2.0608138601212214, 1.1893972545889266, 2.860820668991554, 3.199760453889052, -3.0352611915127214, 0.0011170036819532214, -2.196689908420499, -2.3169994766044617, -83205.76196067128, 62522.84918388049, -27982.91895900923]",0,0,
26,"[7648.419663702385, 7597.200781850381, 4706.4482128166255, 5.567387941849953, 1.0196755263066022, 5.657828125586428, -10.53341540349689, 3.633995542404106, 5.040022886489222, -0.3593087817844989, 7.963724074693754, -3.9118033562275603, -24231.347610904762, 34645.837775324995, -399573.00843304093]",0,0,
27,"[-4394.729034487228, -7143.354655192653, 9889.001917986436, 0.44166187570607307, 3.47785911060941, 4.3079721891835305, -7.363488566293941, -2.0970193132187207, -0.05265761059275764, -5.077489711301084, 0.5342698622503459, 7.669391744358801, -84552.84931575925, 40095.52071206411, -132920.66127882642]",0,0,
28,"[-5975.492138012144, -3241.285002340166, 5639.148278503677, 5.247217960871887, 4.576153261171647, 1.4841596207760852, -0.24243565937673672, -6.191137456548889, -5.689859956237253, 4.3404609396536635, 7.978023589262687, 2.550690020068913, -45237.06649682607, -65800.12650236144, -268549.6915102985]","[array([-200.38031,  -42.42086, -278.43098])]","[array([2676532.82095557,  497567.1716318 ,  729331.49499421])]",
29,"[-9086.198697621961, -1497.9236989934925, -6058.158552294506, 3.3437471115341615, 1.5559255823975913, 1.7459273645030755, -2.485777125412797, 10.200635086250397, -6.671895157424162, 6.503173700486556, 7.709012326138094, -2.4248811680642355, -122063.04969478809, -39235.4464812323, -279679.38520182105]",0,0,
30,"[1996.8832904344836, 2458.603626475395, 1273.4453617504369, 1.5894866264133822, 2.7797586615889966, 3.73285286725392, 11.38465214471804, -0.9812893296925633, 6.409238761220395, -6.840023542269322, -6.016990357404034, 7.365697524053058, 17699.6209540453, -72420.5579294439, -63022.43914798647]",0,0,
31,"[-1675.7659332116673, 7604.184497122929, 1347.765472627565, 1.4815808334561502, 2.932620279437652, 0.5786987357726671, 9.684562836956587, 2.819262136236027, -7.1938833817658905, 9.928929217095671, -7.409218304758625, 6.223818250840896, 34053.335393674846, -37080.56785515734, -153246.9898967406]","[array([-261.72824,   -2.071  , -332.80567]), array([261.72824,   2.071  , 332.80567])]","[array([ 294568.46971198, 1320577.66445215, 1680188.04807935]), array([ 294568.46971198, 1320577.66445215, 1680188.04807935])]",
32,"[8760.931089376674, -9211.495913987561, 7647.526658606734, 3.855629438906314, 1.2719877330263887, 4.41358887881067, -9.645556080098963, -4.842683655636067, -5.6914315416488055, 7.3253407459297755, -3.9324401014903287, -9.078517427771061, 48122.101457619516, -130227.91397909443, -217725.32953950265]",0,0,
33,"[-7361.031713787381, 4426.395527832461, 2028.4172580601407, 1.3874547276663747, 1.8302853780284751, 1.7719244381569792, -12.13896583363784, -4.186014457556654, 10.379630702939462, -0.10821848167583958, -3.880054793714038, 6.699870160155516, -43620.748386924824, 58999.451118472876, -348096.84302494186]",0,0,
34,"[-8839.21474385912, 4262.750640461847, 4243.503403111163, 3.204743765827836, 3.5841986376383907, 5.32052197632236, 3.8783626162812084, 2.170153550929136, 4.892482848092683, -6.287248503174005, 1.0439147279048608, -2.0722558405757354, 138514.03938758187, -61326.253650663115, -281913.6102047834]","[array([-147.99991,  114.98939,  -91.58524]), array([ 147.99991, -114.98939,   91.58524])]","[array([1136740.31329999,  649780.25443124,  301288.22364711]), array([1136740.31329999,  649780.25443124,  301288.22364711])]",
35,"[6511.842864060152, -3361.618211311541, -7902.999847292196, 5.128198145977718, 2.238474450306519, 0.38631676659459435, -9.490798299447313, 2.5466666350000935, 4.7651186441692825, -7.793653181644219, -8.881992296940599, -6.092751818322031, 148810.6381746246, -123277.41861755104, -194734.40121500927]",0,0,
36,"[6754.734964560932, -6390.894069184458, -176.4260404777633, 5.140820496672117, 2.0430120055226775, 3.167948350244015, -12.041663457939718, -7.677751042982822, 10.851775080375916, -11.201387964919167, -8.526492896820546, 5.1103932095521145, 68952.64449846509, -53016.06495680474, -41330.227794390696]",0,0,
37,"[5791.871580101568, 815.9451548862016, -3222.521932397979, 2.9954760930481674, 4.326914780868221, 0.25236460126001825, 1.1788352791666057, 4.872017329037472, -3.1744435380225307, -2.7137853449222327, -4.809264021907596, 5.159529607119868, 84423.69163667253, 105289.6338721404, -188744.65234914204]","[array([-140.09772,  139.4295 , -262.75986]), array([ 140.09772, -139.4295 ,  262.75986])]","[array([1160904.2416363 ,  726907.94717971,  272643.62707956]), array([1160904.2416363 ,  726907.94717971,  272643.62707956])]",
38,"[-6156.783678342133, -2735.195116236897, 8758.144657929362, 5.220126249540105, 1.7776928503482705, 4.475812333401331, -6.676777701323817, -0.22495824340551973, -2.7629164737383674, -11.987353958328027, -2.556159827641874, 1.1068571591771672, 15910.627410608082, -14373.979110364511, -389343.46719956695]",0,0,
39,"[8156.1228803272425, -1042.2884217062838, -9357.471710552903, 4.669188222268075, 1.417364607963321, 2.5446946486780275, 8.072807304063318, -5.415784436287442, 3.9277228102314314, 3.1228143396704624, -1.0740487442872304, -10.392678405533896, 7486.6172361935605, 61942.56586465688, -217222.96827550652]","[array([-462.00571,   35.75613, -538.19717]), array([462.00571, -35.75613, 538.19717])]","[array([13955561.59016203,   420174.72825019,   981830.70364614]), array([13955561.59016203,   420174.72825019,   981830.70364614])]",
40,"[5050.718976406044, -9130.440620546608, -8006.238935197236, 1.517521998149608, 5.9575668357335045, 5.502265051991166, 3.3237297449810956, 2.4421166873508025, 11.602871546410409, -9.681783208534661, -3.579406065340999, -8.711478656868636, -23165.69711774694, -148709.83754046584, -20474.864815289562]",0,0,
41,"[-8846.959195132717, -8317.546630716206, 5232.5452326435425, 0.8082316935420415, 1.731641305456606, 1.094930230290669, -6.165503839697239, 9.233488574329701, -5.297148374677162, 11.817904011570949, 6.467521451241517, 7.906046299018616, -112032.4980703479, -60377.607612929, -119498.9439857559]","[array([-120.88797,  -36.66861, -105.97876])]","[array([237861.59595648, 165004.34251169, 648425.58040182])]",
42,"[42.01167567347693, 6286.364345384878, -9143.733824428242, 3.602315801956922, 1.552760066660602, 4.479365936662151, 1.1742144980658562, -7.329172356044271, -5.4088065668299805, 10.641613750169444, -4.786107333889906, -3.385620989936669, -104010.80650553948, -20280.9213691935, -314954.8961524307]",0,0,
43,"[-2172.257283345438, -3640.2186384870474, 6221.529735406419, 0.19128587707678568, 1.005018635669888, 4.3468806082299345, -9.122058464671559, 5.954858679999742, -0.0034495091088082575, 5.201948339961618, -1.8465566823098492, -1.0237289279555934, 43959.306106494856, -4400.039981661859, -206367.49305697015]",0,0,
44,"[4263.384127962327, 4335.086824275362, 2507.9506367445647, 5.330525843781286, 2.86122225722338, 4.359145138910921, 12.335890483957218, -3.531190859046924, 8.00521898471116, 5.656498278844197, -3.5159954045134363, 0.899186582105262, -8835.306549861125, -141406.01236808102, -251712.93358493497]","[array([-2.06269000e+00, -2.26382371e+03, -2.03761524e+03]), array([2.06269000e+00, 2.26382371e+03, 2.03761524e+03])]","[array([2.58327036e+08, 2.62109123e+08, 2.95318535e+05]), array([2.58327036e+08, 2.62109123e+08, 2.95318535e+05])]",
45,"[-7036.2058584279885, -1990.2769630240755, 4738.687115139739, 0.9790858000495193, 3.961463953307952, 2.328914045692854, -2.8769475450622704, 2.812648048759172, 1.422991938467046, -5.462415688365362, 6.6703393179546495, -4.7045253480537115, -74988.32075760343, 99504.96596587246, -63539.10085984564]",0,0,
46,"[7657.659441876469, 2710.1562229676383, 1696.5197872539338, 2.7980688928435717, 5.033718242054548, 3.437787532547283, -8.25413298367657, -5.161295904790772, 6.199792939739151, 8.49490673219998, -7.351426902713982, -3.31224538918843, 1161.964229925943, -130154.14627338559, -193860.51916755186]",0,0,
47,"[8803.210930976547, 2273.003208238082, -6026.9643443466575, 2.945866834978204, 1.9766650156831342, 4.617641592674305, -12.433222708665598, -5.136801397646925, 12.420248747422669, -12.496898435929943, -12.329703411799338, -12.485399695157916, 9154.211417181621, 65231.43609107373, -114392.56835372944]",0,0,
48,"[8600.62933358896, -5319.59857082509, 9756.32066444623, 1.352298807179147, 5.071034819485443, 1.3035812080658309, 11.28411997873014, 0.3546503260616589, -6.355466886289247, 7.687851811194019, -3.8028816826266194, 3.497452281919081, 2983.524570566078, -48175.87393072144, -237482.39230454573]",0,0,
49,"[9036.461953367107, 6547.453957404843, 5285.672735245636, 3.9730436509758555, 4.040094606184849, 3.4036275403317227, -0.48781002623688074, 5.509973083759711, 0.21820718605918898, -6.583890915083237, 1.4384396929861616, -7.377980861938657, -133397.87713708694, -105419.65503698157, -318320.9721397273]","[array([-929.68339, -251.49223, -933.09659])]","[array([52907489.67724174,   682191.1613985 ,  1218998.69200927])]",
50,"[533.9278477281114, 8744.671651654546, -710.2685406116852, 1.2048907207201196, 3.6353703050803476, 4.2991979965366065, 2.3669112485908474, -5.618774459465902, 5.574583541694384, -4.307554120353169, -10.004980625314314, -11.698044115450754, -36146.86719118229, 30481.759971214313, -290552.44660277606]",0,0,
51,"[-276.22819866635655, -5603.435779024259, -1024.9800934228333, 2.981703029261903, 0.10930817573935264, 0.38509215739019087, -4.398511815446909, -3.618429136431013, -7.252954712716984, 8.276584810967918, -1.5175897968560896, -9.175515308828842, -49190.61856450573, 140435.14821133716, -290942.5473484525]",0,0,
52,"[5545.157580822255, 7494.59409172809, -3192.8655617040613, 0.4719940076738758, 2.9696358239008807, 2.867525682104511, -6.2693549622080225, 9.517958497511888, -7.770505671115602, 5.349982456115207, -0.5094250574065189, -10.21939887212353, 136926.05478142638, -35082.58287969412, -212654.49069181242]",0,0,
53,"[2139.1051267448165, -9212.74961636646, -4355.2619594984935, 2.095402665404823, 4.673143943118629, 1.197167846507, 5.616264487966962, -0.04000525912821651, 6.485399208890426, 2.8604231853799753, 7.4557658723934175, -6.446431093505038, 103626.36151695412, -105094.33548312336, -101766.5166886524]","[array([-116.83475,   -3.41758, -131.70025]), array([116.83475,   3.41758, 131.70025])]","[array([614355.27909353, 301145.46327204, 191884.54847244]), array([614355.27909353, 301145.46327204, 191884.54847244])]",
54,"[-1145.635147114408, 1093.2990465341572, 6944.808916463178, 2.4994903089251026, 5.590291542776367, 3.641439545162319, -10.032280513700057, -2.4645738900999827, 9.263820368696976, -1.4234305170899972, 4.194514528712805, 3.5828643765917825, -112549.84162593956, -109748.12424387647, -145300.61025141508]",0,0,
55,"[741.4414776994272, -1004.8095834137403, -9301.658450273308, 2.9711296565344907, 3.846437348763931, 3.787736879353154, -0.4991175770299332, 11.843916178863626, 11.472240830714377, 7.194090798216553, 3.607181369949263, -3.61033350119844, -139715.82497807578, -77782.27703694423, -324445.409791886]","[array([-114.63114,  -47.68096,  -94.77321])]","[array([847485.92121329, 637245.93220252, 418143.08427126])]",
56,"[-7877.33163586396, 2080.9321989970413, 9001.205380791998, 3.8612253953723057, 1.5993075265543564, 5.919165814819273, 1.2833330997848567, -2.7986805176809098, 5.465441602319245, -8.826780092353333, 7.847224957590395, 4.511487145707562, 61595.54810652207, -118714.42590161841, -103733.6188325368]","[array([-52.62254, -90.57983, -69.32018])]","[array([ 49453.39926783, 221741.88030896, 466424.50355113])]",
57,"[5566.569676196101, 2157.38381443477, 6388.4309643767665, 2.000537001472463, 4.86776392801052, 1.8461011322902088, -2.008630469226226, 9.738412289578005, 3.951192867327194, -3.232583755076032, 5.022436807103329, -10.797434733138646, -77367.41305774786, 130994.12855717033, -121879.9779034718]","[array([-233.89409, -182.78022,  -20.069  ]), array([233.89409, 182.78022,  20.069  ])]","[array([2254707.55581969,  179845.65339138,  130881.87726919]), array([2254707.55581969,  179845.65339138,  130881.87726919])]",
58,"[5330.9693630798265, 6866.796857142403, 9973.768002749966, 5.6248974573831925, 0.34263046962609245, 2.131469244156437, 9.49572712564244, -7.436599946158644, 1.2033097512587325, 12.394165413611756, 5.40368953740926, -11.027067873892996, 126890.7822295372, 102583.04036942733, -308953.0764871193]",0,0,
59,"[118.50180255230953, 3838.2475531341533, 8244.528430788658, 0.1815233670918133, 4.790185449541654, 2.924917716159941, 5.134377582237558, 9.5016773235529, 1.1832038070674535, 7.757087715291281, 4.7081085701799275, -7.3311011645840995, -28128.873387904852, -111042.74292517362, -385852.3607260757]",0,0,
60,"[-3156.3573644287235, -3251.666066613383, -899.1941360399269, 0.8204754166525997, 3.2166787809434543, 3.6622067910306093, -8.584647414480415, 4.284248952194707, 10.19069723708353, -5.7200433971901266, -11.676701335034751, 0.2964004173982566, -83049.09393582752, 89651.98324789456, -362432.36683281953]",0,0,
61,"[-2607.7978653139744, 669.6739871303707, -3364.813488853427, 3.076298766187843, 2.4575323728818805, 1.9604172024221211, 6.2140527383351625, -6.891770684507372, 6.8536571642477515, -1.5092346748905445, -4.7368771411646415, 7.730146824142857, 146707.5097589965, 114939.88148432068, -68358.70085499733]",0,0,
62,"[6381.04759199185, 2986.70963871003, -2039.4744900508103, 3.766436706252109, 0.5005605880745814, 1.6985049516364266, 1.4195721524000824, 4.006746580547002, -7.7582962110299585, 1.2695184327867572, -10.825926274647763, -12.263485374299407, -107881.12927844844, 122150.74446162017, -110125.91496533522]",0,0,
63,"[4831.809293500321, 2857.604439351786, -1899.8778546656367, 2.7919586215339054, 2.0537987493512713, 4.920566819656787, 2.0055568286594454, 0.0758325245768372, 12.339499421581856, 5.297424632382235, 7.116133174129008, -2.8467523027119928, 3937.996611571987, -58746.71385862175, -95689.91819003568]","[array([-53.37522, -33.92696, -53.92422])]","[array([ 68621.55302447, 193171.46997855, 248242.08650256])]",
64,"[-7670.758995261728, 9316.737783601275, 6851.670592123479, 3.0635577083291126, 2.2374929270362736, 1.221552793090003, -1.2597417475600174, -2.282826871512552, 2.2249186979272757, 9.25070452556751, -0.575148034754795, -0.6573983010328366, -53876.61758670201, -88909.76008340501, -64831.12036911625]","[array([ -19.98547, -316.81538, -369.18526]), array([ 19.98547, 316.81538, 369.18526])]","[array([2050124.95131059, 3119718.21989655,  207043.31887624]), array([2050124.95131059, 3119718.21989655,  207043.31887624])]",
65,"[-3521.920968378272, 8518.998026757617, 8094.727896165958, 1.6411461325940824, 1.1622697528686132, 0.8158967909774375, -10.592952451819361, 6.6475084936590925, 3.2288168210865074, 8.69940008470246, 7.6918488371958205, -11.525995268733245, -64922.018784530126, 70196.37014127712, -14896.94673056592]","[array([-191.67269, -213.18201,   17.84583]), array([191.67269, 213.18201, -17.84583])]","[array([140488.11492785, 992235.0232316 , 587886.94754523]), array([140488.11492785, 992235.0232316 , 587886.94754523])]",
66,"[-4189.969323524385, 3825.6101852682095, -7024.8305343845495, 4.310680611835341, 2.780030414296825, 4.819220114936071, 10.589801882630095, -3.1338027096888013, 2.971573496840966, -8.535391419523933, -2.285388467004177, 1.6963935221361126, 16634.514687587507, -60855.02217965764, -44299.25179979595]","[array([ -13.6377 , -134.81162, -115.55766])]","[array([928629.15096614, 218077.33043547, 116368.65884731])]",
67,"[-5024.880585390361, 4998.8744906899665, -314.6156261164797, 1.9465276409974517, 1.1351392350167961, 3.577485356003785, 11.468763696111253, 4.3292026954147165, 5.77210188897833, -11.117440792591335, -3.1219181224484753, -12.061115861595352, -148259.05414437136, 6158.914528967638, -156321.07152430422]",0,0,
68,"[1711.4484583392514, -7889.8594515655395, 9200.61230317365, 5.855170746691537, 1.395541822690558, 1.2028372346884417, 8.216767528788704, -2.882845202027542, 6.147605465816223, -8.065248069387565, 0.247682277259047, 3.9921767262966945, -27850.564503798538, -24664.547164745585, -385275.7825093176]",0,0,
69,"[4326.032137139155, -896.2394539554061, 1162.0675934722167, 3.0584198841737655, 0.17891613250065752, 3.8266487312485227, -2.9644159562703596, 0.2115940516406951, -5.37251468847112, 9.007990149667936, -2.5514792883476023, -11.827754512145523, -5677.64417975457, -72316.86556731076, -271511.4484640564]",0,0,
70,"[1260.6825468179522, 7061.668493380523, -4138.767533137884, 4.960878418582963, 4.13622571612274, 2.7829006208810525, -8.479739120450537, 6.04768496551762, -4.292291034918915, -6.5566401147627955, 1.6739635984600998, -7.6412779065475585, -39602.52362789972, 127685.79695410456, -137613.19802087935]",0,0,
71,"[4024.182969728512, 8095.128178979638, 7100.6348932701585, 4.395909605270271, 2.4441165399953144, 4.7546159939200825, -1.1734040670199164, -5.883164070480243, 7.480352919459435, 3.340572138781793, 3.871424855217729, -8.74599457390475, -126361.1688111066, 131580.5275677921, -214774.00736287027]","[array([-124.57989,  -43.82653, -113.69284]), array([ -99.17779,   98.5429 , -132.91429]), array([ 99.17779, -98.5429 , 132.91429])]","[array([1037459.23763506,  440558.59321035,   39934.21895624]), array([1172307.83408127,  390975.87788349,  114864.38386274]), array([1172307.83408127,  390975.87788349,  114864.38386274])]",
72,"[-9242.273285298312, -53.96677993312733, -8739.639256816225, 0.38525056417905434, 3.3345153216642567, 0.19103890827003228, 1.594334412679542, 3.8330663349238687, 10.307743962000202, -0.9177366103942877, 5.787877916395221, -8.133592028438933, 5381.31625066491, -96450.19977221677, -172557.75046138122]","[array([-155.59037,  -24.56143, -182.75191])]","[array([156276.36727852, 317766.21349708, 712967.75467629])]",
73,"[-9188.345253704676, -1089.9631776235692, 1474.8727090452448, 4.6058808687761985, 1.4606506596402535, 0.22500946437050115, 1.1800380697659651, -2.775250786991964, 0.5398491623890429, 0.8379136540461776, -4.370599501010226, -4.108447443754448, 50151.47386972027, -95404.25608842212, -129065.16065640596]",0,0,
74,"[3807.309221799125, -9244.710864951223, -48.09111489986208, 1.3864933828331683, 1.409521905360565, 1.7561973271848543, -12.03043506590438, 10.353821507380687, 10.55585597514964, -8.809591275334677, 5.756497344522412, 5.042283727371316, -38645.221887319494, 53606.193784605304, -29058.89937759121]","[array([-11.73774,  24.2395 , -44.24471]), array([ 11.73774, -24.2395 ,  44.24471])]","[array([27426.17119329, 97267.67692243, 56904.8064492 ]), array([27426.17119329, 97267.67692243, 56904.8064492 ])]",
75,"[-3560.2654830532, -4616.041304853613, 8647.318349350473, 2.5219461060430994, 2.802316580410106, 2.311588847281481, -6.963077416454598, -2.398609391567388, 4.728258095405476, -6.939307501621529, -5.265332199790675, -9.940810888332734, -115312.81573656734, 46444.125131560315, -253448.34703494792]",0,0,
