,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[5957.708035169177, -2745.7283780239795, 2084.634731062526, 3.057792179697174, 5.471948034099262, 4.3432189542549375, 8.513112467508197, 1.1832071151341932, 7.240096098876409, 7.587481203669778, -6.8375928758847975, -11.378788497520633, -124636.16084486956, -70750.14007903477, -67632.62113088794]","[array([-103.70719,  -71.45029, -120.26613])]","[array([1114225.75766541,  115972.76008315,  323585.9505745 ])]",Time Taken
1,"[8128.73260845153, -7421.089883500452, -6412.374243061064, 4.1259803255404, 5.460071009843694, 0.7121662575228412, 9.946414146763704, 12.460732144447292, 0.05708801021250842, 8.630104440339334, -1.6423037346960125, 2.326311695809311, 49798.27257141622, 26919.64350233198, -161533.81132836887]","[array([ -97.25554,   10.92173, -138.75632]), array([ 97.25554, -10.92173, 138.75632])]","[array([218716.89047038, 549021.55559123, 796214.61526301]), array([218716.89047038, 549021.55559123, 796214.61526301])]",5418.03804397583
2,"[-2986.0671930782564, 8949.335263982022, 5552.83459221776, 2.19440812098066, 2.6604407833208357, 5.562744119272574, -2.44777074955444, 6.583539617586219, 10.97954377789754, 4.882210694061314, -6.376723872974112, 5.702505542328161, -140047.48169026425, -86964.49763542628, -324290.2802745229]","[array([-106.78191, -118.02004,  -84.23182])]","[array([1040420.05410465,  415563.51131385,  488711.02795134])]",
3,"[5904.205199686678, -1248.2700877797197, -9249.648824562357, 0.8445228069388109, 2.4794929674368604, 1.179820158240318, -10.591983795160365, 9.661321968047083, 1.7461660731306168, -1.1591158248205247, -6.763981506583854, -8.38652512980347, -111123.372951315, 116468.08719427977, -264171.6304747949]",0,0,
4,"[-490.66903015376556, 1363.0277415324417, -9920.7555183135, 5.5649082976764985, 5.336498210852733, 3.710923942282554, 7.01404297461006, 7.330049008569569, 11.119709054923817, 2.2020549056728083, 1.6749675609707264, -6.986114913716326, 124574.68658879807, 72239.57267598034, -231657.11677180603]","[array([-91.40848,  50.02815, -93.74369]), array([ 91.40848, -50.02815,  93.74369])]","[array([370272.90570543, 719443.83635526, 583177.13392281]), array([370272.90570543, 719443.83635526, 583177.13392281])]",
5,"[-8329.793506046113, -8217.054030376019, -2577.503796102381, 4.536718555202625, 0.3972280382848574, 0.1449078585063934, -2.2734500895345118, 7.359612455715553, -5.595190309328478, 7.865458788525004, -2.958507050695408, 7.73712124630822, -112950.77970038098, -61825.52027147272, -215657.58710126855]","[array([-111.14384,  -40.20997, -246.21965])]","[array([967813.10046703, 153822.50727251, 718961.68960677])]",
6,"[7604.789342721375, -6375.442768211931, 1592.8109208562564, 2.1354093592209527, 5.661675977747115, 5.5226686533870515, 9.564189364848566, 0.06984515199199492, -7.248525776900713, -6.096576127509357, -5.681866796673296, -1.4213173744658256, 82721.00836141827, 94668.81179776261, -104978.84908134205]",0,0,
7,"[-456.0489764102713, 4113.284710228789, 6877.319410309217, 4.934380769698829, 1.5067578983961556, 1.280162891605143, -8.395707798028411, 8.065237893420836, 8.519176486103262, 5.402208551963412, 2.3483529481125203, -1.0021664329129454, 133282.28268855088, -34958.22418008966, -179266.43435381193]","[array([-145.38312,  193.29415,  -17.81256]), array([ 145.38312, -193.29415,   17.81256])]","[array([ 249232.7836185 , 1418892.73515667,  999835.18877392]), array([ 249232.7836185 , 1418892.73515667,  999835.18877392])]",
8,"[9516.391703939047, 2556.752344357081, -9341.150799480229, 0.20243560786247525, 3.1613918779359604, 1.502095434154722, -10.52434193952857, -0.4976643928448583, 3.444158224454924, 7.202892263741376, 4.4818040122078635, 0.5854982660225208, -66080.05489489414, -28282.44952149692, -352128.34655129415]",0,0,
9,"[-209.86885972739583, 3147.4464033504846, 5661.252655342856, 5.736108422963315, 5.873741248525339, 1.6661113165666552, -5.627710722485488, -1.9497444000899309, 1.7608612535171364, -1.3484284479023483, 0.8699187817600293, 4.214663966652406, 104277.95971593226, -51538.50365974005, -1581.6980661840062]","[array([-103.86506,  110.04805,   50.71656]), array([ 103.86506, -110.04805,  -50.71656])]","[array([1094551.60021302,  238670.15103392,  105660.86744648]), array([1094551.60021302,  238670.15103392,  105660.86744648])]",
