,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
1669,0,0,,"[3918.621485530426, 892.1647294548075, 3997.8607151596207, 3.4240666781967377, 3.1023153291565877, 4.439736265579283, -11.618905884559481, 4.554784581081181, -3.6572489922002456, 5.549019038968122, -7.89644204832422, 2.7333393894660265, -43632.894886441325, 79463.9813826762, -362373.9898900689]"
1670,0,0,,"[7587.395875482678, 8935.699600215514, 8899.128395195617, 0.8628372409681601, 3.408792792208272, 1.4230683385160194, 4.320523616957413, 8.067080679275438, -3.441263009534869, 7.8254608249349005, -6.793804690084154, 0.7523268448254132, -5616.336708042014, 91209.64774107968, -247635.94795011575]"
1671,0,0,,"[-2294.0788787747015, 1245.8880820933591, -4259.081037164811, 2.3358449084064095, 2.7635169827802075, 3.2708525942533706, 2.9796614130148544, 0.027702676390489955, -7.01739814370727, 0.16521020183543556, -8.697148701943208, -3.8798967905894983, 53328.10758340958, 49228.611548013054, -387661.69034002564]"
1672,0,0,,"[-6155.403252050075, 4767.800976371162, -6147.4346942030315, 4.492552848028623, 3.256407272860656, 1.9403918540745633, -10.133011293328197, -5.710319331110767, 8.208144469738958, -8.836764962679856, -7.856989537716733, -2.1133655990831635, -101722.79108044878, 18902.33928238839, -156422.1825158186]"
1673,"[array([173051.83846811, 734590.71103403, 522185.31256488])]","[array([-120.5544 ,  -21.45728, -143.36833])]",,"[-5736.736229411145, 8072.203625963695, -6168.569829163391, 2.591745910605049, 5.948296779846023, 0.9228931424105374, 3.617190986273968, 7.639202782792999, 1.9516476949970496, -6.777822025115334, 1.9727044493979182, 3.7548045507755425, -88187.21693930426, 29542.394865369395, -317950.6674736099]"
1674,0,0,,"[-9984.773397622494, 7537.743987500333, -1238.8495737059566, 1.3210316441486052, 3.9075500592904717, 3.581290218916295, -4.7040934470157, 7.2966970098595745, -7.3886914698081085, 0.23748451570092044, -8.701286001405647, 6.767778744666945, 78872.17237055209, 3619.402408160997, -245924.66797303729]"
1675,0,0,,"[8692.75741284772, 3345.455476131401, -6199.782153397599, 5.745256356247286, 3.3571962541738127, 5.196255787180629, 9.578396569925815, 8.545407287001915, -7.5952420786495844, -6.018257144846856, -10.353010893937896, -6.019894686306281, -142066.3366078311, -123015.28593760816, -137803.14192765346]"
1676,0,0,,"[4560.132390034862, 3726.8684942308482, -5370.644816747034, 1.218793827974715, 3.5998403079415326, 2.8117617391221885, -8.122942970703622, 2.441689481823749, 6.973737723094365, -10.117471295018747, 7.148901885518825, 4.7996737153358175, -48139.005000562014, -102105.82078146074, -35596.92101041286]"
1677,"[array([ 242620.50882274, 1343387.89705179, 1494512.45720096]), array([ 242620.50882274, 1343387.89705179, 1494512.45720096])]","[array([ -10.26536,  196.33137, -197.95855]), array([  10.26536, -196.33137,  197.95855])]",,"[-110.59571712041907, -2423.8869709991186, -4801.240563297959, 4.2216536572761685, 2.427770317847557, 2.327089650537433, 0.257167519689661, 6.930978110378458, 10.828776977657839, 4.608618860558003, -10.121590059026829, 1.4268665183775457, 5945.599895449646, 128753.92896127404, -63468.73671089014]"
1678,"[array([104540.77449549, 229490.16375122, 393613.4613317 ]), array([104540.77449549, 229490.16375122, 393613.4613317 ])]","[array([-60.02055,  44.79751, -66.85522]), array([ 60.02055, -44.79751,  66.85522])]",,"[-8418.665644178993, 195.25364941341468, -8773.276481659566, 3.129873678407235, 4.098990425184742, 5.598298038432835, -5.583970650300327, -4.722328866832797, 4.373776511385582, 9.4774421321498, 6.7848000614548525, 1.1375279692951157, -23210.6379950103, 73774.68676622014, -129418.75633742008]"
1679,"[array([7291150.03921225,  553334.06630775, 3506517.26290688]), array([6315449.97659345,  470809.1659543 , 2758916.49191618]), array([6315449.97659345,  470809.1659543 , 2758916.49191618]), array([7291150.03921225,  553334.06630775, 3506517.26290688])]","[array([-323.7751 ,  243.31391, -405.97808]), array([-297.5013 , -217.68907, -383.97909]), array([297.5013 , 217.68907, 383.97909]), array([ 323.7751 , -243.31391,  405.97808])]",,"[-7529.479297000184, -5834.654203416454, -4285.954812926378, 5.619338927216017, 5.791636967826281, 2.3293975987159383, 8.949936178353628, -2.807811765294592, -1.7697160447553806, -11.332913848694464, 0.29372786069031953, -2.9895625313781373, 106596.81677232869, -52159.50925274129, -351128.92541354767]"
1680,"[array([1255862.01319065,  718639.90334863,  372511.09928207])]","[array([-158.79961,  -62.34869, -126.48458])]",,"[-6399.132916432731, 9153.179803742227, -9256.082007763333, 2.569179522462009, 5.396563855212408, 4.936561942139071, 2.8041222918271345, -3.6126003363550785, -2.520912712831888, -2.022224930965585, 7.688794959366582, 4.334091720820247, -104500.58496183026, 15129.235353616677, -370386.87875630194]"
1681,0,0,,"[-9634.687599835255, -1415.7841876890761, 5387.782923073879, 3.3450035706346726, 1.4648820541357028, 4.825361188118331, 5.888185286958553, -4.232547363855426, 3.87935095970993, -6.300800238446132, -9.17971938754459, -1.5101902520830102, -29362.178063768777, -115139.59274463254, -210588.65631399525]"
1682,0,0,,"[9017.886688516468, -3792.246952628717, -16.971580657786035, 1.0045617484295364, 4.124380063183624, 2.5843478585602937, -9.223160426890425, 10.841246684077493, -3.761455229200667, -4.787057008929298, 2.9857624287714426, -11.564699868961293, 123499.16163278738, 70311.69596078919, -238969.75448079084]"
1683,0,0,,"[4794.468754750016, -5634.149143907572, 82.7262046691576, 1.3238662990232333, 2.435127558009534, 2.481688922832909, -6.076386465912297, 5.57043692251831, 2.2268152602712377, 0.7999728078724253, -8.172979582035653, 4.355304277728592, 59088.29136477172, 149552.41499219724, -129881.0412023958]"
1684,0,0,,"[-7898.472319642853, -2415.979259083705, -360.6456279618669, 0.8374272736645185, 1.6080665024939427, 3.234169258904341, 2.5500303160575903, -6.121608823636297, -7.799575719578067, -1.6924698482118838, 5.457770899041982, -11.149075046692978, -45796.950345918915, 143291.6573871816, -352762.26357883855]"
1685,"[array([195771.32377126, 779515.60222458, 587095.42239659]), array([195771.32377126, 779515.60222458, 587095.42239659])]","[array([ -58.47475,   94.18751, -125.61302]), array([ 58.47475, -94.18751, 125.61302])]",,"[-7120.551759998232, 3322.6158026679896, 3351.148978544081, 1.0232681920471063, 4.326198012971851, 2.088734483540745, -5.158370492795694, 10.980240465326787, 9.121353954280753, 8.755874103875911, -12.439160648606013, 7.728392245542288, -12560.42091243816, 99899.5045583579, -299805.1333680063]"
1686,0,0,,"[-1308.857265341945, -4889.00470772537, 7533.06743508613, 5.749233459084063, 5.520149584180786, 1.1061418259498486, -12.075214360313835, -6.705470049335759, -5.654374884342422, -12.428146971882287, -2.164261407884707, -8.684665697982544, 102669.05513086723, -144298.46824466396, -339253.11405091436]"
1687,0,0,,"[9983.473947464667, 5070.171436811661, 605.5352260633044, 5.361183464905228, 3.616428640878239, 3.5039751825496364, -2.334593450099174, 9.212113655267423, -4.645755769588126, -8.254585841347021, -3.412251747870407, -8.199113313743053, -89655.56819383147, -30509.494741977614, -357777.42489798]"
1688,"[array([733196.2203343 , 103613.71969264, 236060.51119366])]","[array([-105.18764, -102.52394,  -95.90597])]",,"[2580.5430327475806, 8234.567096331284, -2295.50393329466, 1.9964854754802377, 5.533152515742779, 1.032646334582174, -11.360110895287363, 9.376852431410981, 1.8119636102318672, 8.291217562795808, -8.519094657794282, 0.9406221257526273, -63676.80423986782, -105518.3691863679, -7957.850959755655]"
1689,0,0,,"[3413.266744091421, -9175.946202883812, -539.4713523478549, 3.0915001315175306, 2.419852583477662, 0.5160485357959755, -9.580741770009844, 6.548636441122136, -5.948908873106125, 1.7382071645674344, -0.8573319222430005, -12.527604004175789, -146101.0279304767, 60942.758376163256, -219454.51354003034]"
1690,0,0,,"[6122.771805517807, 9751.192715205809, -5949.777767887043, 3.599791959193493, 0.5623399727399653, 4.784627157491225, -6.654876981338612, 8.146069873963736, -7.734123386313936, 3.759232515589634, -4.0291224698991925, -5.4907990857486615, -41812.9459050282, 89696.84650009396, -357919.185174663]"
