,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
0,0,0,Time Taken,"[-499.6748310628136, 420.3211005637986, -6948.772767295463, 3.7329812366564283, 1.0497417251993768, 2.630942530745906, -11.524016659254405, -0.32478477561463404, 10.024857898696702, 8.379310191993273, -12.056750408051105, -0.36193981963082855, -109080.66292447556, -62315.49422747914, -384532.8030001167]"
1,"[array([801821.21201157, 201967.35324764, 402434.73048115])]","[array([125.12047,  -8.05022, 104.71919])]",25888.06716609001,"[-3826.9324755198086, -239.35978887920464, -8123.166167083482, 1.6609597852789557, 5.830569729341153, 3.7698821392383564, 9.486332762384112, -3.1625681159210757, 11.299050140373918, 9.052860796756761, 4.06141427235838, -11.92846898362748, -83433.42735218303, 145979.3322638122, -126209.28803159366]"
2,"[array([551884.21150696, 280437.3226216 , 123905.72726986]), array([551884.21150696, 280437.3226216 , 123905.72726986])]","[array([-80.18134,  44.63944, -79.74407]), array([ 80.18134, -44.63944,  79.74407])]",,"[-2179.9842291308714, -8922.812371451317, -1301.5761665034825, 3.0620401801014725, 1.5534611591774743, 5.993646416472697, -0.05726135317832082, 4.37741447345274, 10.660000620616643, 0.47719509260852, 2.2582430263693887, -7.424357100308992, -51688.733662131504, 119158.10338550055, -155554.2626990329]"
3,"[array([537203.73830096, 359743.35860049, 239393.11575135]), array([537203.73830096, 359743.35860049, 239393.11575135])]","[array([-84.83479, -96.53361,  59.83705]), array([ 84.83479,  96.53361, -59.83705])]",,"[-9444.513153988548, 8470.242526736223, -6968.708297893811, 4.136257357475069, 3.4009197268406086, 5.274549821962457, 10.430772025605805, 6.756358702994044, -1.937814070353924, -8.005092362817983, 1.3900442729875984, -4.278256218733077, -143277.92773133042, 124488.8552864872, -34562.05331196607]"
4,0,0,,"[2331.1127371766943, -6236.634701586743, -8455.697836941905, 0.6520764536760146, 4.818045049805131, 1.5617437890402215, 5.397221759799063, -5.719865441482977, 12.099309052886962, 1.6997333396397423, -0.16646177182053812, -5.744134367409455, 112338.01672676968, 135941.98028924706, -399451.5277206952]"
5,"[array([ 483594.99667897,  857727.91594953, 1633263.38990133]), array([ 483594.99667897,  857727.91594953, 1633263.38990133])]","[array([-245.94516,  -14.15322, -218.19518]), array([245.94516,  14.15322, 218.19518])]",,"[4071.2216208072896, 353.5900478526419, -539.1923764287949, 0.8798321794468885, 5.810473867105175, 1.2900610898663418, -0.03852437756885152, 8.976456601975535, -1.421101747612922, 0.5596728449123258, 6.6875391286781465, 1.5676980928255446, -95199.97792634187, 6215.786659130274, -240570.97012581845]"
6,"[array([ 82559.78179614, 491843.87078724, 913573.70357883]), array([ 82559.78179614, 491843.87078724, 913573.70357883])]","[array([-104.6487 , -152.94856, -112.80056]), array([104.6487 , 152.94856, 112.80056])]",,"[-2912.336638523001, -6315.114002011631, 6780.2527074429745, 0.744255923472387, 0.5845815484366891, 5.352000049509767, -8.308366042994852, 8.827667554408176, 11.654257268073852, 11.608741420369213, -10.543396704744147, -5.292717151654236, -65119.67982396511, -69695.98216096108, -240795.67097106396]"
7,0,0,,"[9645.879850891895, 9356.021263824972, -7012.315475278268, 5.184596620230387, 1.8235966844224445, 1.8073705704001162, 1.5870276950953013, 4.484214485975537, 6.980648679523041, -9.092056805341098, 6.6651782485134845, -1.2902162425663963, 12958.039814366552, -98027.97394523333, -186688.0683257848]"
8,0,0,,"[5821.509090742904, -394.04938083846173, -9338.150700689685, 0.41112287543459214, 0.135697031116775, 5.582479472297651, -9.859567588199457, -6.992596794091577, 0.15949668046914667, -0.4573397992891177, -10.551074332909678, 0.2870267967235396, -32744.530101855227, 89415.92631673659, -234752.50063891485]"
9,"[array([ 87388.00990518, 291458.39252246, 158259.53793385]), array([ 87388.00990518, 291458.39252246, 158259.53793385])]","[array([-46.09076,  62.36378, -58.83688]), array([ 46.09076, -62.36378,  58.83688])]",,"[-2699.6726516532462, -355.3464244557508, 4466.221618685786, 3.106972981148156, 2.6672306875633502, 5.865579547952077, 9.98703363747276, -1.3241570083296974, -5.2694747330882805, -11.683698288487028, 7.067377374655326, 7.824680569690681, -12980.162169396062, 89409.14033359662, -42189.915584033995]"
10,0,0,,"[2588.45482498013, -7668.91377485867, 8570.922031419173, 4.868756514967609, 5.044858287860644, 1.121735943641696, -6.35613563413903, 5.98258231560318, -7.187198273280652, 1.2875596313838713, 5.166176154549014, -2.9656710215238498, 130723.5898942438, -139365.08569702267, -373371.3973202501]"
11,0,0,,"[-3568.76012431218, 1745.1031420916934, 6303.504399978538, 2.4551333644908637, 0.9023508526133618, 2.8394106910236143, -0.7674251415682054, -5.955269157335802, 3.4223402973515835, -0.9925936965550264, 3.083252570746451, -9.516862195994634, 98337.690810537, 2129.16184963219, -82488.56551191903]"
12,"[array([305645.59371569, 699286.66822174, 541948.59803384]), array([305645.59371569, 699286.66822174, 541948.59803384])]","[array([-116.2276 ,   20.55831, -134.06253]), array([116.2276 , -20.55831, 134.06253])]",,"[9133.740108714912, 4522.2090245723175, 1901.3077510883886, 3.3789130800571425, 4.449321958946697, 2.0144534978053317, 7.066381820182741, 6.902650928655852, -3.5568081292098785, -4.808493653107401, -0.010210869559145408, 7.634316851141499, -55218.688060783345, 94986.44582930073, -279646.0990033711]"
13,"[array([184447.3558871 , 126992.43129462,  90851.99561864]), array([184447.3558871 , 126992.43129462,  90851.99561864])]","[array([-31.80706,  40.4414 , -22.81842]), array([ 31.80706, -40.4414 ,  22.81842])]",,"[-5490.846597934383, 6681.472372334178, -5452.007029445218, 5.610400213474933, 4.880262401668869, 1.1208187677764763, 11.915040165742447, 12.313663193523649, 11.55211601043803, 5.233387605372556, 5.405720815708992, 6.612778011972281, 66485.90933808257, 34423.46631402621, -33677.65108525008]"
14,0,0,,"[-8966.788072306226, 5487.440870646384, -7779.788842073467, 4.928504443740806, 0.5651522528682705, 5.027461736494923, -4.6424082571601595, 6.080613749549, -3.459417358850904, -3.860555597052757, -3.983268131326877, -10.199306268342658, -53569.25162597721, 63483.75560087277, -324861.0095131696]"
15,0,0,,"[-8217.908621312723, -8012.6365347903475, 7543.745016724042, 1.6005770140835789, 5.753965437023404, 3.8418704639214076, -2.497858281834521, 2.8816300513075994, 2.8138827123094448, -0.20990135346103322, 6.824954776890156, -8.297512212219118, -58142.27306423486, 26435.874038918264, -61322.480282264994]"
16,"[array([1056586.23151827,  229852.50616646,  393720.51672143]), array([1056586.23151827,  229852.50616646,  393720.51672143])]","[array([ -65.03438, -138.11049, -164.47572]), array([ 65.03438, 138.11049, 164.47572])]",,"[8045.620753467705, 4218.557004050401, 8054.3150197930845, 2.1062835874744645, 4.082503679534863, 1.8245737390239813, -8.16242073921906, -0.6406812913954054, 1.1324511929949992, 6.589138786302438, -1.2394571853700924, 4.204599945730443, -25060.58808976313, -147969.567053741, -77128.34293062915]"
17,"[array([ 375483.81404924, 1546794.70830305, 2756786.00670315])]","[array([-264.31475,   -7.73941, -129.8618 ])]",,"[-2710.27739872284, -8240.803156329224, 5624.342627573307, 0.3187904637778922, 0.5673913290643453, 5.724715640836431, 5.85897350622891, 10.731676888940566, 7.009307653566475, 11.88949564131952, -3.606424936048338, -4.01689622755204, -141233.45684761868, 124352.06778190972, -393689.6019531352]"
18,0,0,,"[3480.98854573077, -9076.545577942734, 4556.930226206077, 4.32922172520454, 3.528990142299923, 0.6797918740927164, 4.646032477683871, 0.012427902031840077, -6.210202278967548, 1.2500802550804675, -7.519978073609187, 6.151515373225472, -141667.56644620944, -61880.227702711636, -128979.27709477325]"
19,0,0,,"[-4155.937013809279, -649.2274161667283, 8032.484561957659, 0.5810459588135967, 2.0286167140546314, 2.906503622277344, -9.353468098101825, 9.846084828642457, 10.942749719084627, -6.785134065589373, 6.109516821904553, 5.625140674604143, 89015.01261326054, 85446.47470711378, -70217.18640656362]"
20,0,0,,"[-9274.576031028928, 2402.9018449926116, -7544.156255920174, 4.368830641074215, 0.7032965954653981, 0.9219249239275796, 0.11732995608170782, 4.183946384798999, 9.327607034113878, 6.721989564335594, -9.44382650447399, 0.9514775689318071, -98081.28976518149, 117059.45042221242, -363723.5830158932]"
21,0,0,,"[-843.9237303492246, -2176.0530475703963, -6373.130243389273, 0.513071343836832, 4.935482368929606, 4.904351722525263, 0.753808871369376, -4.559680995162949, -0.6443411066335392, 1.7367154109767053, -0.7871867930067431, -4.340572865244377, -110932.59041743333, 135581.56635005563, -80999.87121841958]"
22,0,0,,"[-9066.2683508158, -8644.12061437753, 61.813108697953794, 1.7155447007378137, 3.5534631795213083, 4.725885614322568, -2.6253654529352843, 5.019343075100048, 1.1402976069162492, -10.045786154660929, -5.266741388032879, -1.0398548149197762, 7383.853262039687, -130090.30926636104, -387648.4690720041]"
23,0,0,,"[2654.0713126115097, 9288.20343425951, 8079.608538892007, 2.610466545044129, 2.617583932483566, 1.1532508580604353, 8.734610072008447, 4.9367023870214926, -7.599209762499171, -6.181983453450129, -10.265183101785656, -1.709237027645349, 39212.22971601054, -144320.29098125102, -268389.76705842296]"
24,"[array([ 36221.36551592, 580432.3894198 , 898758.92749807]), array([ 36221.36551592, 580432.3894198 , 898758.92749807])]","[array([-103.87335,   99.23517, -147.69993]), array([103.87335, -99.23517, 147.69993])]",,"[-3911.762939933403, 3618.7878498142163, -376.0568447542555, 1.240931388375862, 2.410175189073907, 2.615059644334216, -4.586551187749245, -2.4822976073333143, 4.6514119538994425, 10.18643562201581, 0.156786765417257, -0.048689974158843796, -52802.93635432294, 109077.99208321236, -297439.36351054127]"
25,0,0,,"[6444.025705127595, 5445.502424596545, 8525.556896059556, 3.0555577371515787, 0.23358659716649205, 2.174054015283074, -1.7640343144556674, -7.4346300832479795, 9.872974373545162, -5.868643490814393, -9.226000895146477, -9.208120016450051, -109440.67614968415, -52380.96793816192, -53352.32279995299]"
26,0,0,,"[-6961.173575879182, -3513.7237162054344, -2158.313543820749, 0.4958182132332526, 4.770766429098739, 0.5917245514333822, 1.1615505271471331, -1.183641553561423, -3.3736282059548346, 1.6506016944063084, -6.152339960235411, -9.021447643611287, -140676.023210476, 77360.36354279323, -342900.8006125629]"
27,"[array([226576.03520761, 358965.85856223, 548182.45120479]), array([226576.03520761, 358965.85856223, 548182.45120479])]","[array([-97.23019,  75.44266, -77.93846]), array([ 97.23019, -75.44266,  77.93846])]",,"[-8100.766631503218, -9903.284592732964, 9566.890125514605, 1.2199836770441328, 5.83585386746628, 3.7288512814174815, -5.93351173535921, 8.038871017625521, 2.4247249479366086, 10.036956960805721, -3.8286676000129827, 0.302227215698343, 130005.7647016379, 110205.5861163465, -51523.673213566246]"
28,0,0,,"[2001.9590792933832, 5377.073800829825, 9004.300263567791, 2.0972744298627575, 3.832702278896123, 1.295454098878003, -10.319029002038407, 7.445099711680438, 11.51320833436117, 3.029888138810538, 5.128579798657764, 3.512755851705922, 83099.17141742559, -24359.777190372304, -58741.99110717978]"
29,0,0,,"[8707.425165702713, 3276.776637391913, 9365.712573563302, 1.610883318655861, 5.53930486966765, 1.5214702467490553, -6.861867184565458, -5.965005837895474, 12.186010979641011, 0.47149367637002726, -6.762495736929013, -8.73947692292898, -56984.480721230706, -140020.05662673077, -198072.74083091968]"
30,"[array([624584.26640798,  65313.89173805, 148931.06736007]), array([1046531.77642524,  547020.15157375,  190299.01965621]), array([1046531.77642524,  547020.15157375,  190299.01965621]), array([624584.26640798,  65313.89173805, 148931.06736007])]","[array([ -93.38613,  -62.32033, -111.86803]), array([ -88.09559,  134.70176, -214.56978]), array([  88.09559, -134.70176,  214.56978]), array([ 93.38613,  62.32033, 111.86803])]",,"[8734.501999531662, 889.2302344169275, -4278.87934539233, 5.389545387156851, 5.001925107384632, 0.7792810610046412, -7.957621688752147, 10.045532238970942, 10.14488997359192, 4.221736253528281, -12.436789997475044, -7.603078684631653, -58483.93853312776, 76165.67454770752, -138666.91562812155]"
31,"[array([ 367124.4591911 , 1222471.86172882,  837105.60747052])]","[array([-141.49328,   -1.36366, -149.18554])]",,"[-2963.814775376508, -7857.603622061859, 4834.167413618667, 3.829570836799974, 0.33665691834632905, 3.251988950686545, 10.25308069481635, 4.169958398119503, 8.466265764891983, -1.3375777090383654, 7.013648265579327, -11.171182411749355, -81854.06824305301, 69676.4330189128, -181574.9944247132]"
32,"[array([992984.95941332, 165286.83221008, 225099.84557376]), array([992984.95941332, 165286.83221008, 225099.84557376])]","[array([-113.08787, -123.71692,  -28.31986]), array([113.08787, 123.71692,  28.31986])]",,"[1095.6435087783739, -474.8229824941791, -4723.6275269360185, 5.477038442740615, 3.377399762002741, 1.8246062295247558, -7.959543781314401, -3.123196651970714, 10.014044446782169, 2.6120695625742627, -3.488721586811856, 5.077528075318089, -90607.59218965854, 98201.62216532347, -157242.39175419777]"
33,0,0,,"[-1372.381805924988, -6818.372232155072, 7881.766168923983, 3.403694129443133, 3.7907206006218104, 4.317851745339244, -10.632002710726262, 6.2454859605230535, 2.974605405907946, -0.7183310591211924, 7.281106916569506, -2.6070525056605014, -94818.16457475297, -107274.46300153395, -361031.8709850528]"
34,"[array([25343437.53230709,   179119.7738725 ,  8173827.97984263]), array([25343437.53230709,   179119.7738725 ,  8173827.97984263])]","[array([-637.76639,  669.9906 ,  -33.60508]), array([ 637.76639, -669.9906 ,   33.60508])]",,"[6856.132997530614, -3355.431081256015, 7939.478429226776, 4.089872441824382, 3.314102659094695, 0.7296325077753306, -9.645187052159313, 11.426945743693857, -1.4639481796090141, 2.3874812145103483, 2.769073802929123, -4.005885894156947, 87324.47143203707, 43865.882116710505, -390342.0636718091]"
35,0,0,,"[-4691.874215092135, -8822.212506998654, -1733.504162631085, 2.7905405014082687, 0.1676401367326788, 0.2910257334659029, -1.9633590313997065, -3.839288080705943, -5.816749330046504, 3.8762969281318327, -3.8419876461714573, 0.962358825403788, -140985.57216605652, 112512.39407055447, -147778.5381672254]"
36,0,0,,"[-4476.757398751485, 6945.938296069824, 9436.352871634797, 1.0238578983109234, 3.6945892604626347, 2.391463216654175, 7.45409760227863, -6.222747363718096, -7.459541423931982, 5.269337577291282, 4.3464086859187745, -3.7101396769801074, 137664.99314428482, -101146.58993872564, -19011.255451620556]"
37,"[array([ 53549.12068933, 227461.41703991, 321687.45036714]), array([ 53549.12068933, 227461.41703991, 321687.45036714])]","[array([-113.90537,  -18.1732 ,  -57.66281]), array([113.90537,  18.1732 ,  57.66281])]",,"[6642.555624195342, 5292.90776161099, -6740.5473353034085, 0.43052431511032585, 5.1272858498090645, 3.5352257376372735, -1.698878021664667, 2.718059786455669, 3.0984911332442557, 11.099695901987776, -9.0801628268888, 2.45515293960362, -18413.78131338043, -25971.634003512896, -97309.71684908017]"
38,0,0,,"[8824.299853483819, -338.2454995205935, 1868.8683037585997, 0.49128796192905433, 4.7877280575026555, 3.473017287650043, -5.191442997342867, -7.758744598917958, 4.34188707271441, -8.589056968809393, 0.11913831487112958, 3.0611433103804977, -9343.336561939796, -64810.86179333352, -218091.31489601595]"
39,0,0,,"[-8130.23981930079, 4414.792400989738, -6317.804025835798, 0.5558294935923839, 4.30327009512869, 1.6832692442503094, -12.093733161188108, 3.291145873173937, -0.0029714240383285073, -10.449426749491014, -10.878807478481713, -0.22189736452607178, 146935.18235627294, -3432.021567461721, -182514.34192260832]"
40,0,0,,"[-6628.39074694282, 2039.8985423452723, 6332.822026819442, 0.7259504067243076, 5.567781534280693, 4.937493034366575, 0.49735656448926235, -1.9146935100648363, -2.6918871321786515, -11.749371855651257, 5.635692259593657, 3.8330227739001757, -31606.27593312021, 96640.31779374913, -330652.47233609785]"
41,0,0,,"[303.052005091884, -1242.421765850926, -9241.837565308604, 4.4585074430805856, 3.6429407566708467, 0.7603127396885857, 0.03151912983650007, 0.5517923639774853, -7.67677237483922, 4.469582620565742, -12.310930605202293, -6.752675755050549, 111273.42454647229, -67697.19882691705, -30818.18683584477]"
42,0,0,,"[5567.25676299959, 5053.036437492812, 6230.567408647765, 5.803979274342989, 1.9500308974498088, 3.1847490024350082, 6.439342694873844, 0.45913600982319736, 0.7752841691278061, -10.021393593976427, -8.522344762333134, -8.961897129430833, -143904.3072477357, -31890.51040521238, -326225.3305166881]"
43,0,0,,"[6366.8221558837795, -9717.451300575207, -600.8625473899283, 2.4888475149586577, 2.5574000257722975, 5.569035729015, -10.28221134564544, -6.827590592294865, 9.352892172216258, -10.201414948216579, 1.4222205858555181, -5.7502541282639115, -25170.365620042605, -74846.08366603193, -261905.11261438206]"
44,0,0,,"[-4196.090323204291, 1140.4001837316937, -5472.048777950334, 0.2567991664395054, 2.3886012682991113, 2.3728706243030877, -10.440109826059864, -5.0021880268150465, 2.4358291035133046, 7.030796215118613, -2.3772973994711695, 0.4326045184090166, -39668.363251999355, 89756.7342793851, -382641.4630550987]"
45,"[array([653501.17748652, 412034.30485442, 156757.76055194]), array([653501.17748652, 412034.30485442, 156757.76055194])]","[array([-14.5467 , -82.2512 ,  84.67954]), array([ 14.5467 ,  82.2512 , -84.67954])]",,"[-4810.347395548107, 1882.0176434012992, -5882.665558843813, 3.787157596605078, 5.672753852727687, 3.40622067874319, 5.457906336377842, -2.7443603214899728, 12.241506920098644, 10.181780772077932, 0.4961277748963582, 7.11959192467479, -133900.32835926948, 97561.48304436452, -43806.77923333808]"
46,"[array([726265.9292275 , 279428.41533251, 341804.76753944]), array([726265.9292275 , 279428.41533251, 341804.76753944])]","[array([-132.5914 ,  -18.10399, -130.13912]), array([132.5914 ,  18.10399, 130.13912])]",,"[-6926.100316752914, -1830.3748054622247, 6401.7379390696515, 2.340973422072997, 1.576606912486756, 2.8496080164812536, 8.243861737641073, -7.427936693794847, -3.914265940609906, 7.300978164665327, 0.22731536905157768, 3.2688747877824937, -92732.25486398298, 51577.74505837652, -157045.7066427077]"
47,0,0,,"[4933.7153235369115, -6446.309000772106, 1323.3984127629392, 1.8522037579310382, 5.22812920255674, 5.0007814764765, 3.17169949490248, 6.2765162443932, -2.529376292642378, -7.134000677583375, -9.5350523518993, -2.663188117461079, 30211.542928245937, -21041.939169908, -23137.124319170078]"
48,0,0,,"[3286.828814243858, 259.7892741638443, -3598.58166522548, 2.7264269246988757, 5.226321633897094, 4.845118473713966, 9.252236812488345, -3.8731004009313237, 7.382350766486317, -8.721309157500952, -10.915682396151936, -8.963580786779637, 105544.21897335767, -67031.10426217754, -176080.95528801292]"
49,0,0,,"[1630.9469084393495, -939.5259074412661, 936.0281280566469, 5.447403264329847, 0.22300163687250618, 3.642863245414282, -11.122268382985402, 4.540631033946404, 6.134017778824548, -12.41138572262813, -1.8515528576589126, -5.086037610250651, 31273.512931821257, 11826.879772486369, -76013.08917633106]"
50,"[array([1718787.86948049,  551541.76376363,  501864.45471263])]","[array([-172.31117,  -17.78618, -241.54831])]",,"[-9568.445591250415, -632.5519352718675, 3972.524941055053, 4.403053554667717, 5.4335589178022285, 1.2154205116803019, 3.747267611640389, 9.492861385666224, 1.8929404458815267, 8.183521738081165, -11.344559996037948, -2.911949150423343, -74834.2046180634, 16526.922159462178, -301736.31184744474]"
51,"[array([196641.7021531 , 337263.25990787, 473297.86496071]), array([196641.7021531 , 337263.25990787, 473297.86496071])]","[array([-58.20883,  88.0016 , -80.32232]), array([ 58.20883, -88.0016 ,  80.32232])]",,"[-8103.048616028763, 1483.289113252904, -7567.217575390312, 3.6954965904377564, 3.942146859500933, 2.4054812543085204, 7.253248794731366, -5.0538738007251105, 4.287230614926516, -4.923316067268464, 6.903818708864669, 4.431899106881257, 87237.50168500462, 110772.02415381285, -60147.03078961477]"
52,"[array([1493631.54256327,  373823.52037152,  236252.78123307]), array([1493631.54256327,  373823.52037152,  236252.78123307])]","[array([ -28.5887 ,  130.83757, -132.78583]), array([  28.5887 , -130.83757,  132.78583])]",,"[586.2403429919941, -5345.431724076055, 6723.140057140172, 3.820847076987934, 5.038740033588733, 5.568032199397945, -3.5469478497662372, -6.612855625487489, 9.155295731777716, 8.001491758826045, -0.2914593260402256, -4.357037923077362, -45353.81163954623, 127530.66707618203, -116390.63376053469]"
53,0,0,,"[-1751.7002253184219, 1188.7717416618852, 8271.064343939805, 0.18945525557083198, 2.1919377270117484, 3.1898510873330843, 0.7869346977037637, 10.216263752928441, 9.467609349765063, -10.516461457907322, 5.210957884724511, -12.273502422642082, -21586.396031736134, 129679.0736366742, -252479.78435990177]"
54,0,0,,"[5000.832165116783, -7130.387456610379, 269.7327333819667, 4.372154599690547, 5.859795883407733, 3.8816011457804955, -7.473798235070565, -5.398084929058491, 0.4062326968018475, -2.2963975230823372, -8.32111305926544, -8.694618705938312, 131999.76907444652, -33014.42674142722, -145964.1295583223]"
55,"[array([ 379422.68741778,  748464.51506428, 1095740.44504017]), array([ 379422.68741778,  748464.51506428, 1095740.44504017])]","[array([-139.09524,   30.25446, -155.94524]), array([139.09524, -30.25446, 155.94524])]",,"[8748.618793083508, 99.3623081712667, -9655.709826527946, 2.93202216688959, 2.235782728983401, 1.7751662425236616, 6.522300916649083, 8.896826831230818, 9.486492864487136, 8.168867226494005, -0.8564837503372811, -9.514743045565023, 51155.8045191814, 142078.44625319785, -199623.17272843968]"
56,"[array([726259.16376844, 152962.87610269, 386971.04876484]), array([726259.16376844, 152962.87610269, 386971.04876484])]","[array([-138.9471 ,   52.96055,  -71.54378]), array([138.9471 , -52.96055,  71.54378])]",,"[8653.441939024651, 7250.6649552472045, 7522.342377768586, 0.5848645179090611, 4.53547236573176, 0.6052174129930435, 11.48942461063902, 10.69915064899201, 8.186562147248374, -5.478571129432615, 3.2840869056799935, 2.0554459576417408, 132866.9029905905, 46662.38935603987, -224864.7999770471]"
57,0,0,,"[5569.5161712701665, -2771.701980111885, 4009.217056289868, 4.74238160879471, 3.7194540201539503, 5.520951104656919, -0.2528905603776419, 4.196838809683644, -7.9309775538584, 5.017917193778629, -3.0570480588643, -9.280400706198545, -52584.40223749934, -115274.45942959319, -384977.38261166]"
58,0,0,,"[802.2591067118319, 1760.2262181868628, 901.5713365764404, 3.8098491916390547, 2.8304657841327807, 1.364547606232016, 4.897474344378942, 0.9014499766178226, 3.8608984757412816, 11.461699569619341, -7.2106111788036005, -11.321930662449187, 103127.20531618455, 33475.46475702795, -157263.59029277542]"
59,0,0,,"[7147.619125696623, -1073.7547493769653, -6915.340774056387, 0.45075705254842524, 3.1385068739902118, 5.588955859354599, -5.579773871560301, 7.249206040856578, 3.5635707655474658, 0.11630589060200869, -12.095681688326852, -9.068399173332697, 71893.96074208478, 61337.13864800683, -280406.4309718566]"
60,0,0,,"[8862.305187036894, -2560.742050524059, -4250.78761519098, 4.432816331339433, 2.7661772189017233, 0.14317926224324246, 4.587590878611024, 3.3705452102311924, -4.546288601355609, 9.034060800489382, -6.01817890104236, -5.845130261309687, 119035.38218242611, -69281.38020079088, -380286.20423881605]"
61,0,0,,"[-9246.198200930217, 4546.619310838514, -7568.958421465419, 3.2616771207019593, 2.0705271441172575, 5.515527326137, -7.23521718604984, -0.18449418647618998, -6.8173781789541765, -6.83911835747268, 0.7786605776579183, -2.6833219411011644, -77277.737770854, 70965.80028910114, -37656.356693630456]"
62,"[array([1.38228353e+08, 7.73451116e+05, 3.72534443e+07]), array([1.38228353e+08, 7.73451116e+05, 3.72534443e+07])]","[array([-1.82543358e+03, -1.00541000e+00, -1.52475496e+03]), array([1.82543358e+03, 1.00541000e+00, 1.52475496e+03])]",,"[2834.890765619424, 4183.634125530258, -4120.3525251355595, 2.1310965162680184, 5.035011820097365, 4.376166538148083, 10.344824658894623, -6.03154706221593, -0.30745720415907574, 1.4441375907588885, -2.8516032957505626, -5.729643426268987, 41354.41424962261, -74074.11057936952, -393113.3193982093]"
63,0,0,,"[-1569.2719246840297, 2430.4292819537495, 7267.962138059433, 2.999279735890294, 5.409883457815604, 2.1081695574142003, -8.637201173380852, -0.32312997308482316, -0.35758255410331863, -10.40347907547659, -2.0286260837300336, 6.585998363189244, 57108.44576843805, -60467.247133130106, -158368.01096346587]"
64,"[array([1121863.40724898,  116908.76296828,  470167.64187402]), array([1121863.40724898,  116908.76296828,  470167.64187402])]","[array([-110.01242,   81.4687 , -134.72183]), array([110.01242, -81.4687 , 134.72183])]",,"[-2067.788977128682, -9679.534885753808, 328.93052355802683, 3.8370444773389156, 0.7673702216616763, 3.8201993758912387, 7.271756043364153, -4.973480731949607, 3.57293063519551, 2.3550866977692344, 5.100432236145764, -5.74501559127882, 35325.890633129224, 138879.13230338186, -173666.68537186072]"
65,0,0,,"[381.72838415980914, -7972.497542924375, 6447.102595907596, 2.23832805948604, 5.39360514425553, 1.6978191579291173, 8.48748115751767, 12.263385175822929, 2.48556711998798, -1.0612922050335225, -11.359714582655204, -9.361785481523633, -88421.52724477439, -85330.42348990575, -270007.35522265686]"
66,0,0,,"[-9992.360331060303, -89.22981961275036, -9488.167939823887, 3.945371499756563, 2.4374563871805304, 2.227864512807088, -5.447093322825401, 4.014532351995053, 7.142363196383252, -11.044391187292653, -4.315121663835775, 0.8780484712851955, 75654.75569856248, 22792.46331158816, -163878.45886840473]"
67,0,0,,"[6981.759544886707, 7474.216848762804, 9513.76094679713, 3.3881328361094734, 2.2095132772904726, 1.9844997645383753, 4.464743693616825, -7.654399988689901, 9.292078655800271, 8.515900111065402, -10.121615627779157, 1.2520837183258244, -105240.23950633034, -7721.083626813866, -371316.00463916303]"
68,"[array([459535.82399166, 320593.41559028, 207536.51691064]), array([459535.82399166, 320593.41559028, 207536.51691064])]","[array([-78.23806,  58.40042, -94.58964]), array([ 78.23806, -58.40042,  94.58964])]",,"[-1576.6341490485174, 209.62953145814572, 9292.972190657292, 2.6791046904092166, 0.8334629560135692, 2.146984611405735, -0.39637152925908126, 8.38509439993408, 12.438436502910061, 8.194994640935771, -0.659608685790003, -5.719392087435001, 64371.07818095881, 97816.64968483854, -160571.4051389389]"
69,"[array([398527.57513552,  73798.28591808, 135381.03519903]), array([1553097.85992302,  348714.76006677,  157564.56301613]), array([398527.57513552,  73798.28591808, 135381.03519903])]","[array([-70.85833,  64.25668, -65.63699]), array([ -54.31275, -153.73249, -182.92322]), array([ 70.85833, -64.25668,  65.63699])]",,"[-850.9794302798346, 7434.266205505926, 3191.243974723033, 5.483927403264859, 4.905686872838454, 2.3068162731477293, -8.569185885901657, -1.8348460999736806, 9.70018455922646, 4.034331055418736, -3.543995254621386, -3.897192179878779, 34575.85780131593, -62517.48430350803, -100438.47311383177]"
70,0,0,,"[-4929.134796173891, -8425.988704292662, -4602.249674413825, 3.4322681485902478, 3.80695174167247, 5.751465270967648, 10.772635228128404, -6.344658124780379, 9.08714925651617, 9.76712375182791, -11.801442574626531, 2.163635575416235, -47779.75538422527, -15026.216147783794, -362158.9750909358]"
71,"[array([ 63382.0720434 , 229546.90578058, 184216.09522346]), array([ 63382.0720434 , 229546.90578058, 184216.09522346])]","[array([-40.81746,  53.97621,  26.91922]), array([ 40.81746, -53.97621, -26.91922])]",,"[-190.1310611763347, 9013.36280949035, -4351.525553381035, 0.9989149359458847, 4.453265261295357, 3.0735664613768194, 5.518942235501907, 10.482096723455612, 8.388286248374978, 6.283930396840155, 3.6661539668981113, 6.806338140702202, 74166.74992346502, -75428.96410895698, -370.36433114571264]"
72,"[array([684310.98583602, 196310.19400909, 373586.55903231]), array([684310.98583602, 196310.19400909, 373586.55903231])]","[array([ -83.96324,   53.37815, -112.35036]), array([ 83.96324, -53.37815, 112.35036])]",,"[7999.458636253257, 7171.9704150924845, -8063.20644388254, 5.481209873960941, 2.9846258735833824, 2.586512081285841, 4.96090733105428, 6.4888368773780325, 3.3549880683206386, 4.295785518972945, -1.624627257109717, -3.9366357233937705, -8403.926395787508, 135977.25602101424, -135996.14797528187]"
