,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[51013.45957094995, 193354.02627472486, 26599.04237874691, 2.9862859518701073, 5.082088123742465, 3.7688524920290005, 9.523168021509338, -4.454336982504158, -7.296671325043014, 2.1249460230701036, 6.217603817932481, 1.5376366669680248, -30079.56799862825, -88061.87191882617, -107750.4651285244]","[array([-324.03339,  -15.24984, -302.72205]), array([324.03339,  15.24984, 302.72205])]","[array([5129555.83826597,  369620.46616791, 2390836.7115208 ]), array([5129555.83826597,  369620.46616791, 2390836.7115208 ])]",Time Taken
1,"[107546.12571752128, 15127.08107309449, 189535.86657419574, 1.854833307266286, 4.796599855838334, 4.185951159512177, 7.090233297997965, -2.658202449879444, 8.891893058630028, 10.031566889501494, -1.3665231769857211, -9.510413069014236, -55528.019793200016, -61676.08255865016, -161379.0970936934]","[array([-230.47422,  -16.74818, -195.84693]), array([230.47422,  16.74818, 195.84693])]","[array([ 783531.60643526, 1745018.99316909, 1376571.59908734]), array([ 783531.60643526, 1745018.99316909, 1376571.59908734])]",29.636528491973877
2,"[115601.44104231903, 76483.8725510142, 99617.75137339224, 1.3521794777450813, 2.9018919444845817, 5.602411637419859, 0.35144648599741224, 5.775691429829189, -0.40205844816301006, -11.246826467851504, -4.117843850219614, -3.8133383098627007, 131246.27982421214, -43641.7652404579, -91435.7924363992]",0,0,
3,"[157135.8096395703, 70800.9669706307, 109508.86504850753, 0.8359378628834435, 3.2583147694362813, 6.856496835076561, 1.9842032761876514, 12.031892760072044, -2.835686771466584, 5.675148220390877, -10.770322072039793, -5.082178684275275, -111098.40484919767, 86299.47540114913, -385916.0757363551]",0,0,
4,"[116734.82894177573, 185589.44330442193, 120176.54261142641, 1.4326539663621036, 6.679312314705123, 5.650137976752801, -3.946920007888391, -2.303488071358286, 10.061063308138781, -8.657730023681307, -11.50972744332946, 1.4755639582967035, 42275.871842611145, -131659.23106415765, -216499.48871572898]",0,0,
