,Roots,Real Roots,Accuracy,Paths,Other Info
31,[-0.046+0.j     3.557-0.j     1.651+0.001j  0.   +0.007j],,"[4.440892100568578e-16, 7.105427357601002e-15, 0.0, 1.694065907130375e-21]",-,
32,[ 0.021-4.100e-02j -1.778+3.080e+00j  0.261-1.639e+00j  0.006+3.000e-03j],,"[1.1102230246251565e-16, 6.493828912101929e-16, 9.930136612989092e-16, 7.990892842627365e-21]",-,
33,[ 0.021-0.041j -1.778+3.08j   0.262-1.639j -0.   +0.j   ],,"[5.551115123125783e-17, 3.552713678800501e-15, 9.930136612989092e-16, 6.923243462746033e-60]",-,
34,[ 0.021-4.100e-02j -1.778+3.080e+00j  0.262-1.638e+00j -0.006-3.000e-03j],,"[1.942890293094024e-16, 7.683725573078989e-15, 4.440892098500626e-16, 5.099813672857922e-21]",-,
35,[ 0.021+4.100e-02j -1.778-3.080e+00j  0.261+1.639e+00j  0.006-3.000e-03j],,"[1.3877787807814457e-16, 6.492202608843201e-16, 9.930136612989092e-16, 3.492406309907713e-21]",-,
36,[ 0.021+4.100e-02j -1.778-3.080e+00j  0.262+1.638e+00j -0.006+3.000e-03j],,"[4.742874840267547e-16, 7.7338309367736e-15, 8.881784197001252e-16, 3.618526336874044e-21]",-,
37,[ 0.021+0.041j -1.778-3.08j   0.262+1.639j  0.   -0.j   ],,"[2.7755575615628914e-17, 3.552713678800501e-15, 9.930136612989092e-16, 1.232077882590049e-59]",-,
38,[ 0.025-0.048j -1.778+3.08j   1.347+1.105j -0.007-0.004j],,"[4.449557262054371e-16, 2.7097464896930212e-15, 8.881784197001252e-16, 3.4144989710325696e-21]",-,
39,[ 0.025-0.048j -1.778+3.08j   1.347+1.105j  0.   +0.j   ],,"[4.90457592513324e-16, 3.552713678800501e-15, 1.3322676295501878e-15, 6.684918363419747e-62]",-,
40,[ 0.025-0.048j -1.778+3.08j   1.347+1.106j  0.007+0.004j],,"[4.460365043975677e-16, 7.998206131343746e-15, 1.9860273225978185e-15, 8.470329472543003e-22]",-,
41,[ 0.025+0.048j -1.778-3.08j   1.347-1.106j  0.007-0.004j],,"[5.389157964038493e-16, 7.998206131343746e-15, 4.440892098500626e-16, 6.828997942065139e-21]",-,
42,[ 0.025+0.048j -1.778-3.08j   1.347-1.105j -0.007+0.004j],,"[1.3917283301960348e-15, 8.355013396062485e-15, 4.440892098500626e-16, 4.235164736271502e-22]",-,
43,[ 0.025+0.048j -1.778-3.08j   1.347-1.105j  0.   -0.j   ],,"[5.810469165661947e-16, 3.552713678800501e-15, 1.9860273225978185e-15, 2.693570523241605e-61]",-,
44,[ 0.028-0.04j  -1.778+3.08j  -1.597+0.533j -0.006-0.004j],,"[1.6653345369377348e-16, 2.2622962531082536e-15, 1.831026719408895e-15, 3.788046498485219e-21]",-,
45,[ 0.028-0.04j  -1.778+3.08j  -1.597+0.533j -0.   -0.j   ],,"[5.551115123125783e-17, 3.552713678800501e-15, 4.440892098500626e-16, 1.5101610553162514e-60]",-,
46,[ 0.028-0.04j  -1.778+3.08j  -1.596+0.533j  0.006+0.004j],,"[0.0, 1.0142711323601894e-16, 6.280369834735101e-16, 4.791541927135544e-21]",-,
47,[ 0.028+0.04j  -1.778-3.08j  -1.597-0.533j -0.006+0.004j],,"[1.942890293094024e-16, 2.262350463216878e-15, 8.881784197001252e-16, 3.3881317890172014e-21]",-,
48,[ 0.028+0.04j  -1.778-3.08j  -1.597-0.533j  0.   +0.j   ],,"[5.551115123125783e-17, 3.552713678800501e-15, 4.440892098500626e-16, 1.2980435111857399e-60]",-,
49,[ 0.028+0.04j  -1.778-3.08j  -1.596-0.533j  0.006-0.004j],,"[0.0, 1.0164395367051604e-16, 6.280369834735101e-16, 3.492406309907713e-21]",-,
50,[ 0.234-3.874j  3.362-0.024j  5.806+2.885j -0.591-0.036j],,"[1.6091724337024826e-14, 1.1102230246251565e-16, 6.355287432313019e-14, 4.440892098500626e-16]",-,
51,[ 0.234+3.874j  3.362+0.024j  5.806-2.885j -0.591+0.036j],,"[1.6091724337024826e-14, 3.3306690738754696e-16, 6.07087979554246e-14, 4.440892098500626e-16]",-,
52,[ 0.294-2.926j  3.446-0.023j -5.446+2.65j   0.446+0.045j],,"[3.1086244689504383e-15, 7.106294666405892e-15, 0.0, 4.965068306494546e-16]",-,
53,[ 0.294+2.926j  3.446+0.023j -5.446-2.65j   0.446-0.045j],,"[6.661338147750939e-15, 7.106294666405892e-15, 0.0, 4.440892098500626e-16]",-,
54,[0.315-4.089j 3.557+0.j    6.294+3.852j 0.   +0.j   ],,"[1.0042407593586172e-13, 7.105427357601002e-15, 5.783398860650275e-14, 0.0]",-,
55,[0.315+4.089j 3.557-0.j    6.294-3.852j 0.   +0.j   ],,"[4.440892098500626e-16, 7.105427357601002e-15, 1.7763568394002505e-14, 0.0]",-,
56,[ 0.358-3.015j  3.557-0.j    -5.909+3.108j  0.   +0.j   ],,"[2.36370627642857e-14, 7.105427357601002e-15, 2.1316282072803006e-14, 1.7361213322964413e-77]",-,
