,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[-3692.863757618048, 576.9898752040444, 4831.411654156684, 5.283756538918526, 2.841679059920228, 0.6250440642455585, -5.623241333474996, 5.264024124648845, -6.577870264767384, 8.862705871373674, -2.601885422486319, 3.9537078411537756, -92014.30462354567, 53260.677538015356, -219092.89255273066]","[array([-2.5480329e+02, -1.0843000e-01, -4.3727713e+02]), array([2.5480329e+02, 1.0843000e-01, 4.3727713e+02])]","[array([3828782.96821188,  380061.48785401, 1432887.14543699]), array([3828782.96821188,  380061.48785401, 1432887.14543699])]",Time Taken
1,"[4809.297252997338, 8283.683654724264, -268.1602655311326, 2.9498976128983596, 1.6318327577075957, 5.185840797312169, -10.598785249484916, -2.52359910159673, -3.5770311590911748, 12.377945568926336, 1.2573663482879898, -9.84462950804384, -45629.97330135062, 68629.78953041037, -353726.1590311496]",0,0,5222.690408945084
2,"[-9421.951840603133, 3665.801216654416, -2373.292538308682, 0.1217979839612672, 4.2148355837166775, 5.577999208664548, 8.10402375591216, -5.519774924713181, 6.9536387834847435, -4.3662350612180685, 3.0936285567090405, 4.687245226956904, 4931.074275747582, 128806.07844649232, -257588.81958559822]","[array([-82.89611,  92.44531, -98.23549]), array([ 82.89611, -92.44531,  98.23549])]","[array([166043.96896356, 468023.27719936, 882052.90606104]), array([166043.96896356, 468023.27719936, 882052.90606104])]",
3,"[1463.0576286730538, 5259.12233064236, 1678.3679813016588, 1.0763476519120416, 1.6354356150512328, 0.6538527113012009, 5.871808565416334, -1.859781335430113, -0.2185108481990552, 3.764379901140291, -4.045579121639259, 1.7397971385115358, 36667.725481195055, 42400.41421247236, -338130.2389066113]",0,0,
4,"[6290.6624981006535, 2466.290334897494, -5055.444138741401, 2.784212729827005, 3.3139789308587404, 0.8300017425630595, 0.6735638454884061, -0.4167961472743835, 0.5303387240211812, -0.4392615084031437, -0.469653738493621, -9.63364305739366, -92617.58251362544, -67474.0150175829, -20084.101443959866]",0,0,
5,"[-5824.822078682368, 3229.3711042072355, 7025.414685819556, 2.0212869186406928, 4.049899854428241, 1.6296149077426836, -6.688843923988083, 12.450274146962446, -4.985554033776621, -4.713420514788228, 3.4326141123948766, 0.7753187671270627, -76276.70801660608, -24541.516632269137, -81011.14003967139]",0,0,
6,"[5375.208102241291, 2117.9386689196344, 9173.827669671555, 0.7210543160541822, 1.2657212068444783, 4.415613860731567, -1.0308368714469243, 6.26286849782095, -4.83656752838741, 0.06286079910770503, -5.226346227732567, -4.458504092670074, -78757.38317233846, -4440.0568301434105, -148193.2575927433]",0,0,
7,"[7233.539437394891, 6649.692168774454, 3423.678624307031, 1.048901605979772, 1.5303706438049758, 4.722299865462852, 0.32689803094535286, 3.5369543963567036, 10.662024820435104, -7.038834704616914, -6.3983581305386386, -11.007729659970327, -52594.55601749255, -112017.68338702261, -68525.3654022321]",0,0,
8,"[-2323.3455799231506, 5139.396811013879, 1021.7487006242573, 1.8394740807669951, 0.32776082557509506, 4.946351754178526, -12.447725417123744, -7.917275217493806, -0.930929655930262, 5.215615556517303, -11.708255962971073, -4.911997933914514, 56964.24870442733, 8856.03686635592, -339027.4347353477]",0,0,
9,"[-6664.135331382199, 586.226840926156, 1402.632710853697, 0.1597730972806814, 2.6317231504820753, 3.5148585569138593, 1.6772656916881612, -3.8466181173225316, 12.134890789050168, -5.73765076789031, -11.254147194742997, -7.338938983579818, 40905.01733661894, -2183.6845098384365, -272694.47808467166]",0,0,
10,"[9376.908868454851, -671.4066449044694, -5494.0161467612825, 4.533777587446046, 1.839083368038116, 2.2857712486704282, 11.860518549471912, 11.395458506279244, -3.0286163897972003, 7.111719232341738, 0.25974287807164664, 5.507055157127464, 94812.43912967239, -95125.45284964857, -55065.32241048361]","[array([-56.60208,   0.29682, -55.80579]), array([-25.23982,  65.92518,  37.95034]), array([ 25.23982, -65.92518, -37.95034]), array([56.60208, -0.29682, 55.80579])]","[array([316945.61622326, 122983.47249026,  38860.94416975]), array([252886.32677984, 104687.39262942, 140344.46926864]), array([252886.32677984, 104687.39262942, 140344.46926864]), array([316945.61622326, 122983.47249026,  38860.94416975])]",
11,"[-1411.6728483142178, 7997.473837248053, 2554.037465831074, 5.0517831525365136, 4.721898013102184, 3.841185874281317, -6.251922989564595, 2.085202715870972, 11.432892617032003, 7.670669592179003, 5.9731083410414065, 5.326096308298972, -96099.55909759302, 130358.13311107567, -196928.0064419993]","[array([-43.31121,  46.7192 , -78.20949]), array([ 43.31121, -46.7192 ,  78.20949])]","[array([144399.36818125, 405474.81282251, 364355.87830706]), array([144399.36818125, 405474.81282251, 364355.87830706])]",
12,"[498.5523736362902, 9440.82964749069, -2319.5686679630253, 2.3649284002476185, 1.2497242872239345, 0.7003628471564096, -7.146888991394789, 6.731824935110273, 4.888847287973126, 2.783963900024238, -9.193648851316429, -2.9902676743489387, 76378.96569295222, -15674.674222528702, -119838.77109585266]",0,0,
13,"[3419.734643706777, 7385.914737529787, -7668.350572935238, 3.0246258720893717, 1.2887571515620315, 0.9668796693361256, -1.834413148470528, 4.405322158460875, -3.7662125453849162, 6.267824183283391, -11.55738484111675, 7.899362457528309, -42859.616390806725, 84043.06060769924, -22064.663520064263]",0,0,
14,"[-4203.6589659263955, -5089.010907027698, -5150.89789321856, 4.401710813828289, 1.8693497968165773, 0.6880659643044069, -12.386685443904948, 1.8797151939913803, -3.0089520051844207, 0.537704789939438, 7.49063996507757, -1.8960973533190266, -128966.19824027712, -70655.32632329004, -310271.6536885784]",0,0,
15,"[3669.969481018905, 1271.3355768099682, -7099.993335395791, 3.526775509798279, 1.1020369283156204, 3.6920392030003244, 5.65675343480892, 0.5375695498716695, 2.1069474018890375, 9.567279538423179, -11.80643654875141, -11.013615489962552, 91943.87966527045, -117824.9640909771, -394765.27155422786]",0,0,
16,"[-3944.7780528402254, -4833.870893834324, -554.2876143256817, 1.4582377276883243, 1.7884994653359871, 2.739378911367889, -4.7126721540989065, 8.209538159707602, 6.280628014788743, -1.9868970274667799, 7.5681472271647365, -5.361217887293466, 15257.975683340948, 104904.48446682456, -233050.15702098788]",0,0,
17,"[-9936.437425597422, -3294.4655055981493, -8238.301303140342, 4.323930847171022, 2.504484342349749, 5.224350248675901, 6.10500015804341, 4.230577508344547, 11.572755570264132, 3.7998821934974103, -1.9830240422153942, -6.944683170727862, 24927.181385224132, 67722.14690128018, -308522.84368947207]","[array([-101.40163,   34.95606, -101.3819 ]), array([101.40163, -34.95606, 101.3819 ])]","[array([860006.3699593 , 606645.87510556, 260799.51614527]), array([860006.3699593 , 606645.87510556, 260799.51614527])]",
18,"[-4382.523109758214, 9680.716614305387, 1692.7764962554156, 5.854778501025931, 5.30109247994322, 1.0049191037951284, 1.45789890244858, 1.1806264721864252, -7.614868332998992, 6.945908607198504, -10.73454397209537, 4.817404236288034, -135286.84128466793, 52843.20891202873, -336236.9848553808]",0,0,
19,"[-6242.360338459983, 2104.1436457065884, 7369.509097556609, 4.3201106016335125, 1.7062923420241065, 1.5845065319595604, 1.4208726561009346, 11.116349907037783, 12.151122458663949, -2.3466763373544968, -2.2784925463008943, 1.5964087108437628, 52535.96411002893, 49978.4677879487, -174535.04538744845]","[array([-72.33565,  72.59614, -65.21276]), array([ 72.33565, -72.59614,  65.21276])]","[array([ 66622.13005193, 442568.47371347, 354047.18290213]), array([ 66622.13005193, 442568.47371347, 354047.18290213])]",
20,"[5002.276925635741, -5559.3357613517865, 7492.984806549426, 3.780845033117048, 2.906085351622829, 1.5343003074338768, 3.196267971872361, -6.104459824122281, -0.20907065898327204, 9.7012594825465, -3.1969261744486914, -7.802880225778807, -6486.645614346518, -36816.49440011164, -338337.6924565692]",0,0,
21,"[6599.8989974966535, 8001.476498869295, -652.2933805965222, 1.6351425164715014, 2.0926746021459266, 3.6692088074970566, 1.1627030790312105, 1.4140830568157448, -0.756898141754677, -6.455975349028992, -10.88818033426749, 2.8048819943117618, -95379.51885011076, -82849.04291575188, -352129.64567687915]",0,0,
22,"[-7248.989627488112, -1218.3038186560952, 2897.1688634133443, 5.097029472760159, 2.5873387951370286, 3.3346331559413724, 0.1451846655910991, 10.32478162106096, -0.6390003124991699, 5.645577947989985, -6.528380151001252, -4.37695436762041, -45076.19824230627, -141567.38848337354, -269733.4558592888]","[array([-191.06348,  -48.73461, -216.31213])]","[array([2777218.13075869,  506781.58449703,  894050.45869092])]",
23,"[-3578.2629939884655, -5781.588418933994, -7327.548635226209, 2.6845618785659253, 2.303432217908403, 1.1171708218880358, -5.645969043982227, -4.9623698954888305, 8.326248336205271, 9.468885682983036, -9.566079823143225, -8.717060174320961, -122292.90574188813, 86036.36687878799, -293954.9033687165]",0,0,
24,"[-4743.435676926962, 153.19759547484136, 3703.1913656066226, 2.595761503843005, 1.2636082288288444, 0.7713713548222084, -4.889184272088536, -4.571144453830999, 2.9202044846137785, 8.218796805372811, 7.0839597516725625, -9.302631240133934, -104946.09756815757, -51375.08380206143, -266196.8041092149]",0,0,
25,"[3630.420787435465, 537.2628108493245, -216.46874242488957, 4.75075267129414, 3.6100116425673865, 3.7333061119930098, 2.844214181819181, 7.8738653918124655, 6.374926977258257, -5.106021180482676, 3.455359724803106, -8.122500930195608, -143385.37163862743, -44555.36095935639, -343658.50550516293]","[array([-162.46123,  -60.17131, -159.03595])]","[array([1935632.34948611,  792692.67861559,  397087.00829445])]",
26,"[-7916.456902415989, 8531.546672100263, -8206.746837843768, 5.230424767098227, 0.9281045311276769, 5.4446776374543555, 2.756025010847191, 3.6613197726348012, 1.92462699525265, -12.215120396917452, -8.844811927989706, -7.831242256076832, 111298.94479154667, 58902.28465040197, -363883.03016824817]",0,0,
