,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[-3180.0405473276714, 9050.72005952186, -1093.5595411812483, 5.816711608281881, 0.7573016355044673, 0.342339875940636, -6.897310067486676, 4.328829932872896, 9.945583508610532, 11.222277090767328, 6.923782371562911, 1.4629433307122888, 6958.296669729403, -15469.565086608403, -329716.81550778996]","[array([ -75.23281,   -3.31551, -152.21161]), array([ 75.23281,   3.31551, 152.21161])]","[array([979941.87458039, 177303.49814101, 552035.50665674]), array([979941.87458039, 177303.49814101, 552035.50665674])]",Time Taken
1,"[-7092.80963777191, 5464.865219631407, 1303.405456128432, 1.7541209590306686, 4.394644755595433, 1.5504509073694428, 8.326474245409543, 4.564686664799302, 10.366407687552972, 10.674208640787697, -12.490470991183951, 4.453781396991822, -27714.0818523903, 88651.6517496983, -351427.0836013849]",0,0,552.6057522296906
2,"[8185.068990749398, -8301.34853504441, -8362.455833790373, 4.105676839339084, 2.900585822686703, 0.67903561802297, -3.4409122189204844, -2.226976141785358, 7.920329731115851, -8.301818395000344, -8.361446177761742, -10.255391943238369, 59448.331540139945, -20882.84775656702, -210034.0425898367]",0,0,
3,"[7253.793810316038, 1865.2103046639004, -7113.982346014143, 5.95343406269227, 4.095660268297002, 0.19011833077192677, 11.838117969719224, -4.199068693794831, 4.29315685496128, 2.211235207539726, -6.650055815734703, -2.3271911815112567, -53566.15916247471, -52872.031362559006, -344705.03045055765]",0,0,
4,"[9016.78697288569, -5605.202834565339, 2188.8417616655624, 5.23279990725187, 0.8512421519605853, 2.0652376998337516, 1.5054288341358184, -0.7024723945748903, 5.867529836014718, 0.08639087531280687, -11.55999731779133, -5.7129835608910655, -84693.70019460352, 14206.888909987872, -74829.42851264216]",0,0,
5,"[-2667.040047675777, -8313.11161671793, 3400.005142030226, 2.3065579309876667, 3.7309934872770225, 3.2448619098006013, -5.4377116038395465, 6.2264906752635785, 0.42885918966435277, -9.087023419534436, -10.141272667579827, 0.9917395812382548, -103172.4412203049, 51521.35214289944, -163262.5069436492]",0,0,
6,"[-4676.438793388625, -5687.973856182511, -8632.260413778387, 5.052785754220869, 2.6573095140714593, 0.5933792124197662, -9.4197241668142, 8.254022668723302, 1.527969666216629, -7.451574806966603, 5.661559738753823, -8.204315745543504, -38185.0303123402, -88441.11794259827, -268273.3664605984]",0,0,
7,"[-7881.568134431751, 8935.981924669188, 9635.313800584823, 5.018281424849207, 5.776648873139558, 0.24280460390494105, 12.14521781922808, -0.05149708482207416, 9.947807209144333, 7.543721515376813, -10.894251857039986, -1.494611013709461, -31328.462057821904, 61271.731101220794, -338780.4205195042]",0,0,
8,"[-5500.242110577831, 5284.566175828208, 4298.603773578876, 1.9254130614931795, 0.5512773492828006, 2.0414436186945015, 11.690965923505928, 10.146198755077698, 2.6253415597886356, 9.641168086822702, -12.519826082515024, 4.7026256031939475, -119090.27788402593, -49775.12360117347, -159115.4725278809]",0,0,
9,"[-1903.5843810136166, -9036.833251155334, 7423.5356931203205, 1.5972588047699185, 1.9724017814277375, 1.7895699235743685, -5.445360412340873, -1.7172627021084717, 9.00008816557763, 1.1755350543192744, 1.237614179895406, -2.461136779721203, 2081.9707608747412, -73995.78784887808, -285195.17888861685]",0,0,
10,"[3032.03735841211, -2231.7277147468076, 9791.383906255985, 2.2795498549073523, 1.5046933004901695, 0.9245501505611938, -0.3681296616904053, 1.7062626430798158, 3.1677643433788045, -12.018513296170488, -2.482469356331679, -8.649585503490329, 139568.37986054207, 43800.36954766381, -398777.88018208253]",0,0,
11,"[4931.921662238827, 8782.210310133076, -6252.664861206594, 2.5786890383522403, 3.9120276016624667, 1.672893950338187, -5.74936644011442, 9.322752047067276, -3.01594786269336, 9.990107553500074, -9.85271854819398, -9.419448721041917, 20712.564867630455, -114981.43646527725, -236170.9256891652]",0,0,
12,"[6218.29267432117, -1398.483644525817, 4541.1916718339835, 4.3869969153909345, 1.901442058785339, 2.8335342014368323, 12.093859915494907, 8.207408749093002, 10.249990546671267, -1.911153473919578, -8.806626756217625, -1.0800583839857403, 6978.803696785035, -9006.631124583364, -194695.25389839205]","[array([-75.38307,  -2.08988, -83.96055])]","[array([430979.9136522 , 321075.80786224, 109039.54625123])]",
13,"[5406.288519159611, -8604.101768981025, 919.0082419639548, 2.1320053402855392, 2.658188090394045, 5.781523643011802, 11.12130894333529, 0.020366849378694596, -2.050726519404976, -2.3096740733406147, 4.68991253184852, -10.372093080617002, -83014.22649774434, -51720.56518336864, -363233.753894409]",0,0,
14,"[-5903.210023789898, -909.8182816907738, -5911.417707387039, 1.511643468581105, 0.7432116947094536, 0.538224009136003, 8.75618562982454, 3.3669255602783768, 4.864313677722901, 2.755884371516654, -8.225845512629785, -9.690171215712864, 136256.94980498916, 54237.068811420264, -359249.4469100143]",0,0,
15,"[3629.8427499469326, 5564.400106617546, 6081.018677432758, 2.9662705994940466, 0.641857309376085, 2.0286433368893197, -2.599449733547658, 4.060478773048807, -2.9751648330780336, -9.855872027619286, 6.95286386932921, -10.787687808083932, -124539.76136837562, 73672.32206486008, -55426.20728980424]",0,0,
16,"[-6210.547357811926, 4769.261646733676, -73.42346661233387, 5.870487636142954, 4.45171939262827, 1.0719462090730032, -1.055784067520145, 10.36230513939995, 10.203505554360667, -11.183059421524355, 1.229504713829746, -10.248400651833078, 34400.94936791519, -28450.302536099596, -47251.89746744273]","[array([-51.37893,  -6.89334, -83.97297]), array([51.37893,  6.89334, 83.97297])]","[array([217425.09466868,  71837.68313504,  90903.70968605]), array([217425.09466868,  71837.68313504,  90903.70968605])]",
